#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    72   0.191056E+04  -0.661583E+01   0.532816E-03  -0.661583E+01   0.353704E+00  -0.110207E-05   0.532816E-03  -0.110207E-05   0.120715E-06
    73   0.193529E+04  -0.708778E+01   0.524905E-03  -0.708778E+01   0.367322E+00  -0.104069E-05   0.524905E-03  -0.104069E-05   0.120033E-06
    74   0.196038E+04  -0.757257E+01   0.517257E-03  -0.757257E+01   0.381145E+00  -0.958348E-06   0.517257E-03  -0.958348E-06   0.119351E-06
    75   0.198583E+04  -0.806977E+01   0.509839E-03  -0.806977E+01   0.395162E+00  -0.868216E-06   0.509839E-03  -0.868216E-06   0.118667E-06
    76   0.201159E+04  -0.857883E+01   0.502619E-03  -0.857883E+01   0.409360E+00  -0.782168E-06   0.502619E-03  -0.782168E-06   0.117982E-06
    77   0.203753E+04  -0.909830E+01   0.495571E-03  -0.909830E+01   0.423727E+00  -0.706873E-06   0.495571E-03  -0.706873E-06   0.117296E-06
    78   0.206364E+04  -0.962773E+01   0.488671E-03  -0.962773E+01   0.438251E+00  -0.647695E-06   0.488671E-03  -0.647695E-06   0.116610E-06
    79   0.208996E+04  -0.101670E+02   0.481895E-03  -0.101670E+02   0.452921E+00  -0.610002E-06   0.481895E-03  -0.610002E-06   0.115924E-06
    80   0.211652E+04  -0.107160E+02   0.475221E-03  -0.107160E+02   0.467726E+00  -0.599159E-06   0.475221E-03  -0.599159E-06   0.115238E-06
    81   0.214333E+04  -0.112745E+02   0.468629E-03  -0.112745E+02   0.482653E+00  -0.618364E-06   0.468629E-03  -0.618364E-06   0.114553E-06
    82   0.217042E+04  -0.118422E+02   0.462127E-03  -0.118422E+02   0.497694E+00  -0.662140E-06   0.462127E-03  -0.662140E-06   0.113869E-06
    83   0.219775E+04  -0.124187E+02   0.455728E-03  -0.124187E+02   0.512837E+00  -0.722844E-06   0.455728E-03  -0.722844E-06   0.113187E-06
    84   0.222532E+04  -0.130036E+02   0.449447E-03  -0.130036E+02   0.528070E+00  -0.792830E-06   0.449447E-03  -0.792830E-06   0.112506E-06
    85   0.225313E+04  -0.135966E+02   0.443295E-03  -0.135966E+02   0.543383E+00  -0.864455E-06   0.443295E-03  -0.864455E-06   0.111828E-06
    86   0.228118E+04  -0.141971E+02   0.437285E-03  -0.141971E+02   0.558766E+00  -0.931254E-06   0.437285E-03  -0.931254E-06   0.111151E-06
    87   0.230944E+04  -0.148046E+02   0.431415E-03  -0.148046E+02   0.574206E+00  -0.991487E-06   0.431415E-03  -0.991487E-06   0.110477E-06
    88   0.233787E+04  -0.154187E+02   0.425686E-03  -0.154187E+02   0.589690E+00  -0.104460E-05   0.425686E-03  -0.104460E-05   0.109806E-06
    89   0.236650E+04  -0.160389E+02   0.420093E-03  -0.160389E+02   0.605204E+00  -0.109002E-05   0.420093E-03  -0.109002E-05   0.109137E-06
    90   0.239533E+04  -0.166648E+02   0.414636E-03  -0.166648E+02   0.620733E+00  -0.112720E-05   0.414636E-03  -0.112720E-05   0.108470E-06
    91   0.242437E+04  -0.172961E+02   0.409311E-03  -0.172961E+02   0.636261E+00  -0.115579E-05   0.409311E-03  -0.115579E-05   0.107807E-06
    92   0.245361E+04  -0.179324E+02   0.404116E-03  -0.179324E+02   0.651775E+00  -0.117624E-05   0.404116E-03  -0.117624E-05   0.107147E-06
    93   0.248307E+04  -0.185732E+02   0.399045E-03  -0.185732E+02   0.667260E+00  -0.118922E-05   0.399045E-03  -0.118922E-05   0.106489E-06
    94   0.251275E+04  -0.192184E+02   0.394094E-03  -0.192184E+02   0.682703E+00  -0.119542E-05   0.394094E-03  -0.119542E-05   0.105835E-06
    95   0.254266E+04  -0.198675E+02   0.389259E-03  -0.198675E+02   0.698089E+00  -0.119548E-05   0.389259E-03  -0.119548E-05   0.105184E-06
    96   0.257279E+04  -0.205199E+02   0.384536E-03  -0.205199E+02   0.713404E+00  -0.119010E-05   0.384536E-03  -0.119010E-05   0.104536E-06
    97   0.260315E+04  -0.211753E+02   0.379919E-03  -0.211753E+02   0.728633E+00  -0.117992E-05   0.379919E-03  -0.117992E-05   0.103892E-06
    98   0.263374E+04  -0.218332E+02   0.375406E-03  -0.218332E+02   0.743762E+00  -0.116563E-05   0.375406E-03  -0.116563E-05   0.103250E-06
    99   0.266453E+04  -0.224931E+02   0.370990E-03  -0.224931E+02   0.758775E+00  -0.114790E-05   0.370990E-03  -0.114790E-05   0.102613E-06
