#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.553123E-03   0.197226E+08   0.197216E+08   0.580785E+07   0.556237E+07   0.196206E+08   0.197220E+08   0.197224E+08   0.197234E+08  -0.471292E+00   0.104120E+08   0.104117E+08   0.183953E+03
   0.610752E-03   0.197095E+08   0.197083E+08   0.419714E+07   0.397413E+07   0.195852E+08   0.197087E+08   0.197093E+08   0.197098E+08  -0.470948E+00   0.104050E+08   0.104046E+08   0.187897E+03
   0.674386E-03   0.196939E+08   0.196926E+08   0.290554E+07   0.271911E+07   0.195427E+08   0.196930E+08   0.196937E+08   0.196938E+08  -0.470548E+00   0.103966E+08   0.103962E+08   0.189412E+03
   0.744649E-03   0.196756E+08   0.196741E+08   0.199264E+07   0.185409E+07   0.194920E+08   0.196745E+08   0.196754E+08   0.196750E+08  -0.470084E+00   0.103867E+08   0.103863E+08   0.188211E+03
   0.822233E-03   0.196541E+08   0.196524E+08   0.144867E+07   0.136284E+07   0.194315E+08   0.196528E+08   0.196538E+08   0.196532E+08  -0.469547E+00   0.103751E+08   0.103747E+08   0.184183E+03
   0.907901E-03   0.196288E+08   0.196270E+08   0.117990E+07   0.114223E+07   0.193597E+08   0.196273E+08   0.196286E+08   0.196276E+08  -0.468926E+00   0.103616E+08   0.103611E+08   0.177433E+03
   0.100249E-02   0.195994E+08   0.195975E+08   0.103102E+07   0.102742E+07   0.192747E+08   0.195976E+08   0.195991E+08   0.195979E+08  -0.468207E+00   0.103458E+08   0.103453E+08   0.168277E+03
   0.110694E-02   0.195652E+08   0.195631E+08   0.855098E+06   0.866232E+06   0.191744E+08   0.195631E+08   0.195649E+08   0.195633E+08  -0.467375E+00   0.103275E+08   0.103269E+08   0.157190E+03
   0.122227E-02   0.195255E+08   0.195234E+08   0.603327E+06   0.612326E+06   0.190567E+08   0.195231E+08   0.195252E+08   0.195232E+08  -0.466413E+00   0.103063E+08   0.103057E+08   0.144722E+03
   0.134962E-02   0.194796E+08   0.194774E+08   0.357352E+06   0.356438E+06   0.189194E+08   0.194768E+08   0.194793E+08   0.194768E+08  -0.465301E+00   0.102818E+08   0.102813E+08   0.131449E+03
   0.149024E-02   0.194267E+08   0.194245E+08   0.233391E+06   0.223970E+06   0.187609E+08   0.194234E+08   0.194264E+08   0.194234E+08  -0.464022E+00   0.102536E+08   0.102531E+08   0.117985E+03
   0.164550E-02   0.193659E+08   0.193636E+08   0.221742E+06  -0.172429E+06   0.185791E+08   0.193620E+08   0.193655E+08   0.193620E+08  -0.462551E+00   0.102212E+08   0.102207E+08   0.105021E+03
   0.181694E-02   0.192961E+08   0.192939E+08   0.186278E+06  -0.140907E+06   0.183723E+08   0.192916E+08   0.192958E+08   0.192916E+08  -0.460868E+00   0.101841E+08   0.101836E+08   0.932315E+02
   0.200625E-02   0.192164E+08   0.192142E+08   0.902129E+05  -0.115089E+06   0.181392E+08   0.192112E+08   0.192161E+08   0.192112E+08  -0.458945E+00   0.101417E+08   0.101412E+08   0.830575E+02
   0.221528E-02   0.191256E+08   0.191233E+08   0.524548E+05  -0.939464E+05   0.178788E+08   0.191196E+08   0.191253E+08   0.191196E+08  -0.456756E+00   0.100934E+08   0.100929E+08   0.745607E+02
   0.244608E-02   0.190225E+08   0.190201E+08   0.596011E+05  -0.766386E+05   0.175907E+08   0.190157E+08   0.190221E+08   0.190157E+08  -0.454271E+00   0.100386E+08   0.100381E+08   0.675079E+02
   0.270094E-02   0.189059E+08   0.189033E+08   0.241674E+05  -0.624737E+05   0.172750E+08   0.188982E+08   0.189055E+08   0.188982E+08  -0.451462E+00   0.997662E+07   0.997612E+07   0.614518E+02
   0.298234E-02   0.187745E+08   0.187717E+08   0.245749E+05  -0.508858E+05   0.169313E+08   0.187658E+08   0.187741E+08   0.187658E+08  -0.448299E+00   0.990683E+07   0.990633E+07   0.558556E+02
   0.329307E-02   0.186270E+08   0.186240E+08   0.104495E+05  -0.414102E+05   0.165593E+08   0.186172E+08   0.186265E+08   0.186172E+08  -0.444750E+00   0.982854E+07   0.982805E+07   0.504435E+02
