#    L    TT             EE             TE             PP             TP          
   101   0.272528E+04   0.725954E+00  -0.226345E+02   0.415501E+07   0.560474E+04
   102   0.275666E+04   0.739933E+00  -0.232733E+02   0.412875E+07   0.553801E+04
   103   0.278823E+04   0.753792E+00  -0.239127E+02   0.410264E+07   0.547245E+04
   104   0.282000E+04   0.767501E+00  -0.245525E+02   0.407668E+07   0.540804E+04
   105   0.285195E+04   0.781055E+00  -0.251921E+02   0.405087E+07   0.534474E+04
   106   0.288408E+04   0.794441E+00  -0.258310E+02   0.402522E+07   0.528253E+04
   107   0.291639E+04   0.807653E+00  -0.264686E+02   0.399973E+07   0.522138E+04
   108   0.294886E+04   0.820670E+00  -0.271045E+02   0.397440E+07   0.516125E+04
   109   0.298150E+04   0.833487E+00  -0.277381E+02   0.394924E+07   0.510213E+04
   110   0.301430E+04   0.846083E+00  -0.283690E+02   0.392424E+07   0.504397E+04
   111   0.304724E+04   0.858451E+00  -0.289968E+02   0.389942E+07   0.498675E+04
   112   0.308034E+04   0.870585E+00  -0.296206E+02   0.387476E+07   0.493047E+04
   113   0.311357E+04   0.882463E+00  -0.302402E+02   0.385028E+07   0.487511E+04
   114   0.314694E+04   0.894069E+00  -0.308549E+02   0.382597E+07   0.482067E+04
   115   0.318043E+04   0.905404E+00  -0.314642E+02   0.380183E+07   0.476714E+04
   116   0.321405E+04   0.916452E+00  -0.320677E+02   0.377786E+07   0.471452E+04
   117   0.324779E+04   0.927193E+00  -0.326647E+02   0.375407E+07   0.466279E+04
   118   0.328163E+04   0.937624E+00  -0.332547E+02   0.373044E+07   0.461195E+04
   119   0.331557E+04   0.947733E+00  -0.338373E+02   0.370699E+07   0.456200E+04
   120   0.334960E+04   0.957510E+00  -0.344118E+02   0.368371E+07   0.451293E+04
   121   0.338372E+04   0.966942E+00  -0.349778E+02   0.366060E+07   0.446472E+04
   122   0.341791E+04   0.976021E+00  -0.355348E+02   0.363767E+07   0.441738E+04
   123   0.345216E+04   0.984740E+00  -0.360822E+02   0.361490E+07   0.437089E+04
   124   0.348648E+04   0.993083E+00  -0.366194E+02   0.359231E+07   0.432526E+04
   125   0.352085E+04   0.100105E+01  -0.371461E+02   0.356989E+07   0.428046E+04
   126   0.355526E+04   0.100863E+01  -0.376618E+02   0.354764E+07   0.423651E+04
   127   0.358970E+04   0.101582E+01  -0.381658E+02   0.352557E+07   0.419338E+04
   128   0.362417E+04   0.102260E+01  -0.386577E+02   0.350367E+07   0.415107E+04
   129   0.365866E+04   0.102898E+01  -0.391371E+02   0.348194E+07   0.410958E+04
   130   0.369315E+04   0.103494E+01  -0.396034E+02   0.346038E+07   0.406890E+04
   131   0.372764E+04   0.104048E+01  -0.400562E+02   0.343900E+07   0.402901E+04
   132   0.376212E+04   0.104559E+01  -0.404949E+02   0.341779E+07   0.398990E+04
   133   0.379659E+04   0.105027E+01  -0.409191E+02   0.339675E+07   0.395153E+04
   134   0.383104E+04   0.105453E+01  -0.413284E+02   0.337587E+07   0.391389E+04
   135   0.386547E+04   0.105833E+01  -0.417224E+02   0.335517E+07   0.387694E+04
   136   0.389986E+04   0.106170E+01  -0.421004E+02   0.333463E+07   0.384065E+04
   137   0.393422E+04   0.106461E+01  -0.424621E+02   0.331427E+07   0.380501E+04
   138   0.396854E+04   0.106707E+01  -0.428071E+02   0.329406E+07   0.376998E+04
   139   0.400279E+04   0.106908E+01  -0.431351E+02   0.327402E+07   0.373553E+04
   140   0.403700E+04   0.107063E+01  -0.434455E+02   0.325414E+07   0.370165E+04
   141   0.407115E+04   0.107174E+01  -0.437380E+02   0.323443E+07   0.366829E+04
   142   0.410522E+04   0.107239E+01  -0.440122E+02   0.321487E+07   0.363544E+04
   143   0.413922E+04   0.107258E+01  -0.442678E+02   0.319548E+07   0.360307E+04
   144   0.417313E+04   0.107233E+01  -0.445044E+02   0.317624E+07   0.357115E+04
   145   0.420696E+04   0.107161E+01  -0.447214E+02   0.315716E+07   0.353965E+04
   146   0.424067E+04   0.107045E+01  -0.449187E+02   0.313824E+07   0.350855E+04
   147   0.427426E+04   0.106885E+01  -0.450957E+02   0.311947E+07   0.347782E+04
   148   0.430772E+04   0.106681E+01  -0.452522E+02   0.310086E+07   0.344744E+04
   149   0.434104E+04   0.106434E+01  -0.453876E+02   0.308240E+07   0.341737E+04
   150   0.437420E+04   0.106143E+01  -0.455017E+02   0.306409E+07   0.338759E+04
   151   0.440718E+04   0.105811E+01  -0.455942E+02   0.304594E+07   0.335808E+04
   152   0.443999E+04   0.105436E+01  -0.456646E+02   0.302793E+07   0.332883E+04
   153   0.447262E+04   0.105020E+01  -0.457127E+02   0.301007E+07   0.329984E+04
   154   0.450506E+04   0.104565E+01  -0.457383E+02   0.299236E+07   0.327111E+04
   155   0.453731E+04   0.104069E+01  -0.457410E+02   0.297480E+07   0.324266E+04
   156   0.456938E+04   0.103535E+01  -0.457205E+02   0.295738E+07   0.321446E+04
   157   0.460123E+04   0.102963E+01  -0.456766E+02   0.294011E+07   0.318653E+04
   158   0.463289E+04   0.102355E+01  -0.456091E+02   0.292298E+07   0.315886E+04
   159   0.466433E+04   0.101710E+01  -0.455175E+02   0.290600E+07   0.313146E+04
   160   0.469555E+04   0.101031E+01  -0.454018E+02   0.288916E+07   0.310433E+04
   161   0.472653E+04   0.100319E+01  -0.452616E+02   0.287246E+07   0.307746E+04
   162   0.475725E+04   0.995747E+00  -0.450968E+02   0.285590E+07   0.305086E+04
   163   0.478772E+04   0.988007E+00  -0.449069E+02   0.283948E+07   0.302452E+04
   164   0.481790E+04   0.979968E+00  -0.446921E+02   0.282319E+07   0.299845E+04
   165   0.484779E+04   0.971648E+00  -0.444518E+02   0.280705E+07   0.297265E+04
   166   0.487739E+04   0.963067E+00  -0.441861E+02   0.279104E+07   0.294711E+04
   167   0.490669E+04   0.954243E+00  -0.438946E+02   0.277516E+07   0.292185E+04
   168   0.493567E+04   0.945194E+00  -0.435775E+02   0.275943E+07   0.289685E+04
   169   0.496434E+04   0.935940E+00  -0.432346E+02   0.274382E+07   0.287212E+04
