#    L    TT             EE             BB             TE             PP             TP             EP          
   141   0.407887E+04   0.111796E+01   0.000000E+00  -0.448652E+02   0.786707E-07   0.238528E-03  -0.121441E-05
   142   0.411303E+04   0.111715E+01   0.000000E+00  -0.451018E+02   0.782015E-07   0.236367E-03  -0.120744E-05
   143   0.414711E+04   0.111586E+01   0.000000E+00  -0.453177E+02   0.777361E-07   0.234238E-03  -0.119933E-05
   144   0.418107E+04   0.111408E+01   0.000000E+00  -0.455124E+02   0.772744E-07   0.232140E-03  -0.119018E-05
   145   0.421492E+04   0.111181E+01   0.000000E+00  -0.456855E+02   0.768164E-07   0.230070E-03  -0.118011E-05
   146   0.424863E+04   0.110907E+01   0.000000E+00  -0.458367E+02   0.763621E-07   0.228027E-03  -0.116920E-05
   147   0.428220E+04   0.110586E+01   0.000000E+00  -0.459655E+02   0.759115E-07   0.226010E-03  -0.115756E-05
   148   0.431561E+04   0.110218E+01   0.000000E+00  -0.460714E+02   0.754646E-07   0.224017E-03  -0.114528E-05
   149   0.434885E+04   0.109804E+01   0.000000E+00  -0.461543E+02   0.750212E-07   0.222048E-03  -0.113248E-05
   150   0.438190E+04   0.109345E+01   0.000000E+00  -0.462135E+02   0.745815E-07   0.220099E-03  -0.111925E-05
   151   0.441474E+04   0.108842E+01   0.000000E+00  -0.462487E+02   0.741453E-07   0.218170E-03  -0.110567E-05
   152   0.444738E+04   0.108294E+01   0.000000E+00  -0.462598E+02   0.737127E-07   0.216261E-03  -0.109178E-05
   153   0.447981E+04   0.107705E+01   0.000000E+00  -0.462464E+02   0.732836E-07   0.214372E-03  -0.107761E-05
   154   0.451201E+04   0.107075E+01   0.000000E+00  -0.462083E+02   0.728579E-07   0.212501E-03  -0.106317E-05
   155   0.454399E+04   0.106404E+01   0.000000E+00  -0.461452E+02   0.724358E-07   0.210651E-03  -0.104848E-05
   156   0.457575E+04   0.105694E+01   0.000000E+00  -0.460569E+02   0.720170E-07   0.208819E-03  -0.103357E-05
   157   0.460728E+04   0.104946E+01   0.000000E+00  -0.459431E+02   0.716017E-07   0.207006E-03  -0.101847E-05
   158   0.463856E+04   0.104163E+01   0.000000E+00  -0.458035E+02   0.711898E-07   0.205213E-03  -0.100318E-05
   159   0.466960E+04   0.103343E+01   0.000000E+00  -0.456380E+02   0.707813E-07   0.203438E-03  -0.987730E-06
   160   0.470038E+04   0.102491E+01   0.000000E+00  -0.454464E+02   0.703761E-07   0.201682E-03  -0.972147E-06
   161   0.473088E+04   0.101606E+01   0.000000E+00  -0.452284E+02   0.699743E-07   0.199945E-03  -0.956449E-06
   162   0.476109E+04   0.100691E+01   0.000000E+00  -0.449839E+02   0.695758E-07   0.198226E-03  -0.940658E-06
   163   0.479100E+04   0.997491E+00   0.000000E+00  -0.447126E+02   0.691805E-07   0.196525E-03  -0.924794E-06
   164   0.482060E+04   0.987793E+00   0.000000E+00  -0.444143E+02   0.687885E-07   0.194843E-03  -0.908881E-06
   165   0.484988E+04   0.977843E+00   0.000000E+00  -0.440889E+02   0.683997E-07   0.193180E-03  -0.892939E-06
   166   0.487882E+04   0.967663E+00   0.000000E+00  -0.437363E+02   0.680142E-07   0.191534E-03  -0.876990E-06
   167   0.490742E+04   0.957274E+00   0.000000E+00  -0.433562E+02   0.676318E-07   0.189906E-03  -0.861055E-06
   168   0.493567E+04   0.946701E+00   0.000000E+00  -0.429488E+02   0.672527E-07   0.188296E-03  -0.845156E-06
   169   0.496356E+04   0.935963E+00   0.000000E+00  -0.425139E+02   0.668766E-07   0.186704E-03  -0.829314E-06
   170   0.499108E+04   0.925078E+00   0.000000E+00  -0.420514E+02   0.665037E-07   0.185130E-03  -0.813552E-06
   171   0.501822E+04   0.914073E+00   0.000000E+00  -0.415613E+02   0.661339E-07   0.183573E-03  -0.797889E-06
   172   0.504499E+04   0.902971E+00   0.000000E+00  -0.410435E+02   0.657672E-07   0.182034E-03  -0.782349E-06
   173   0.507136E+04   0.891795E+00   0.000000E+00  -0.404980E+02   0.654035E-07   0.180512E-03  -0.766953E-06
   174   0.509733E+04   0.880567E+00   0.000000E+00  -0.399248E+02   0.650428E-07   0.179008E-03  -0.751721E-06
   175   0.512289E+04   0.869324E+00   0.000000E+00  -0.393239E+02   0.646852E-07   0.177520E-03  -0.736676E-06
   176   0.514803E+04   0.858080E+00   0.000000E+00  -0.386953E+02   0.643306E-07   0.176050E-03  -0.721833E-06
   177   0.517274E+04   0.846873E+00   0.000000E+00  -0.380391E+02   0.639789E-07   0.174596E-03  -0.707187E-06
   178   0.519701E+04   0.835724E+00   0.000000E+00  -0.373553E+02   0.636302E-07   0.173159E-03  -0.692725E-06
   179   0.522083E+04   0.824658E+00   0.000000E+00  -0.366439E+02   0.632843E-07   0.171738E-03  -0.678436E-06
   180   0.524421E+04   0.813709E+00   0.000000E+00  -0.359050E+02   0.629414E-07   0.170332E-03  -0.664308E-06
   181   0.526712E+04   0.802909E+00   0.000000E+00  -0.351389E+02   0.626012E-07   0.168942E-03  -0.650330E-06
   182   0.528957E+04   0.792287E+00   0.000000E+00  -0.343455E+02   0.622639E-07   0.167567E-03  -0.636490E-06
   183   0.531154E+04   0.781865E+00   0.000000E+00  -0.335250E+02   0.619294E-07   0.166207E-03  -0.622776E-06
   184   0.533304E+04   0.771681E+00   0.000000E+00  -0.326778E+02   0.615977E-07   0.164860E-03  -0.609176E-06
   185   0.535404E+04   0.761771E+00   0.000000E+00  -0.318036E+02   0.612687E-07   0.163528E-03  -0.595679E-06
   186   0.537455E+04   0.752159E+00   0.000000E+00  -0.309028E+02   0.609424E-07   0.162209E-03  -0.582273E-06
   187   0.539456E+04   0.742873E+00   0.000000E+00  -0.299756E+02   0.606188E-07   0.160904E-03  -0.568946E-06
   188   0.541406E+04   0.733955E+00   0.000000E+00  -0.290222E+02   0.602978E-07   0.159612E-03  -0.555687E-06
   189   0.543304E+04   0.725436E+00   0.000000E+00  -0.280429E+02   0.599795E-07   0.158332E-03  -0.542484E-06
   190   0.545150E+04   0.717350E+00   0.000000E+00  -0.270378E+02   0.596637E-07   0.157064E-03  -0.529326E-06
   191   0.546943E+04   0.709729E+00   0.000000E+00  -0.260073E+02   0.593505E-07   0.155809E-03  -0.516200E-06
   192   0.548682E+04   0.702607E+00   0.000000E+00  -0.249514E+02   0.590399E-07   0.154565E-03  -0.503095E-06
   193   0.550366E+04   0.696019E+00   0.000000E+00  -0.238706E+02   0.587317E-07   0.153332E-03  -0.490000E-06
   194   0.551996E+04   0.690000E+00   0.000000E+00  -0.227651E+02   0.584261E-07   0.152110E-03  -0.476902E-06
   195   0.553570E+04   0.684585E+00   0.000000E+00  -0.216353E+02   0.581229E-07   0.150898E-03  -0.463790E-06
   196   0.555089E+04   0.679811E+00   0.000000E+00  -0.204815E+02   0.578221E-07   0.149697E-03  -0.450653E-06
   197   0.556552E+04   0.675714E+00   0.000000E+00  -0.193042E+02   0.575238E-07   0.148506E-03  -0.437478E-06
   198   0.557960E+04   0.672331E+00   0.000000E+00  -0.181036E+02   0.572278E-07   0.147324E-03  -0.424255E-06
   199   0.559310E+04   0.669696E+00   0.000000E+00  -0.168800E+02   0.569341E-07   0.146151E-03  -0.410970E-06
   200   0.560604E+04   0.667846E+00   0.000000E+00  -0.156341E+02   0.566428E-07   0.144987E-03  -0.397614E-06
   201   0.561840E+04   0.666818E+00   0.000000E+00  -0.143659E+02   0.563537E-07   0.143832E-03  -0.384176E-06
   202   0.563017E+04   0.666649E+00   0.000000E+00  -0.130762E+02   0.560669E-07   0.142685E-03  -0.370658E-06
   203   0.564134E+04   0.667374E+00   0.000000E+00  -0.117651E+02   0.557824E-07   0.141546E-03  -0.357062E-06
   204   0.565191E+04   0.669031E+00   0.000000E+00  -0.104331E+02   0.555001E-07   0.140416E-03  -0.343392E-06
   205   0.566186E+04   0.671657E+00   0.000000E+00  -0.908072E+01   0.552200E-07   0.139294E-03  -0.329650E-06
   206   0.567118E+04   0.675287E+00   0.000000E+00  -0.770830E+01   0.549422E-07   0.138180E-03  -0.315841E-06
   207   0.567986E+04   0.679960E+00   0.000000E+00  -0.631621E+01   0.546664E-07   0.137075E-03  -0.301968E-06
   208   0.568790E+04   0.685711E+00   0.000000E+00  -0.490506E+01   0.543929E-07   0.135977E-03  -0.288033E-06
   209   0.569533E+04   0.692576E+00   0.000000E+00  -0.347538E+01   0.541215E-07   0.134888E-03  -0.274040E-06
   210   0.570212E+04   0.700594E+00   0.000000E+00  -0.202774E+01   0.538522E-07   0.133806E-03  -0.259992E-06
   211   0.570830E+04   0.709801E+00   0.000000E+00  -0.562676E+00   0.535850E-07   0.132733E-03  -0.245892E-06
   212   0.571387E+04   0.720232E+00   0.000000E+00   0.919249E+00   0.533199E-07   0.131667E-03  -0.231744E-06
   213   0.571883E+04   0.731926E+00   0.000000E+00   0.241748E+01   0.530568E-07   0.130610E-03  -0.217550E-06
   214   0.572319E+04   0.744919E+00   0.000000E+00   0.393146E+01   0.527958E-07   0.129560E-03  -0.203314E-06
   215   0.572695E+04   0.759240E+00   0.000000E+00   0.546061E+01   0.525368E-07   0.128518E-03  -0.189040E-06
   216   0.573010E+04   0.774936E+00   0.000000E+00   0.700432E+01   0.522799E-07   0.127483E-03  -0.174730E-06
   217   0.573263E+04   0.792036E+00   0.000000E+00   0.856199E+01   0.520249E-07   0.126457E-03  -0.160387E-06
   218   0.573455E+04   0.810570E+00   0.000000E+00   0.101331E+02   0.517719E-07   0.125437E-03  -0.146015E-06
   219   0.573584E+04   0.830582E+00   0.000000E+00   0.117170E+02   0.515208E-07   0.124426E-03  -0.131617E-06
