#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.559256E-03   0.198067E+08   0.198056E+08   0.550285E+07   0.525463E+07   0.000000E+00   0.198065E+08   0.198065E+08   0.198083E+08  -0.468769E+00   0.103411E+08   0.103408E+08   0.188870E+03
   0.617794E-03   0.197906E+08   0.197894E+08   0.392804E+07   0.370586E+07   0.000000E+00   0.197904E+08   0.197904E+08   0.197917E+08  -0.468354E+00   0.103326E+08   0.103322E+08   0.192584E+03
   0.682458E-03   0.197717E+08   0.197704E+08   0.269257E+07   0.251083E+07   0.000000E+00   0.197715E+08   0.197715E+08   0.197724E+08  -0.467872E+00   0.103225E+08   0.103221E+08   0.193746E+03
   0.753891E-03   0.197495E+08   0.197480E+08   0.184614E+07   0.171564E+07   0.000000E+00   0.197493E+08   0.197493E+08   0.197499E+08  -0.467318E+00   0.103107E+08   0.103103E+08   0.192088E+03
   0.832801E-03   0.197235E+08   0.197218E+08   0.136275E+07   0.128679E+07   0.000000E+00   0.197232E+08   0.197232E+08   0.197237E+08  -0.466680E+00   0.102970E+08   0.102965E+08   0.187527E+03
   0.919970E-03   0.196932E+08   0.196913E+08   0.113123E+07   0.110287E+07   0.000000E+00   0.196929E+08   0.196929E+08   0.196933E+08  -0.465946E+00   0.102809E+08   0.102805E+08   0.180206E+03
   0.101626E-02   0.196581E+08   0.196560E+08   0.987820E+06   0.990559E+06   0.000000E+00   0.196577E+08   0.196577E+08   0.196581E+08  -0.465103E+00   0.102624E+08   0.102619E+08   0.170480E+03
   0.112264E-02   0.196174E+08   0.196153E+08   0.796138E+06   0.809316E+06   0.000000E+00   0.196171E+08   0.196171E+08   0.196173E+08  -0.464132E+00   0.102410E+08   0.102405E+08   0.158848E+03
   0.124014E-02   0.195706E+08   0.195683E+08   0.534978E+06   0.542403E+06   0.000000E+00   0.195702E+08   0.195702E+08   0.195704E+08  -0.463017E+00   0.102165E+08   0.102159E+08   0.145876E+03
   0.136995E-02   0.195168E+08   0.195145E+08   0.307603E+06   0.303730E+06   0.000000E+00   0.195164E+08   0.195164E+08   0.195165E+08  -0.461737E+00   0.101883E+08   0.101877E+08   0.132152E+03
   0.151334E-02   0.194551E+08   0.194528E+08   0.216648E+06   0.205055E+06   0.000000E+00   0.194547E+08   0.194547E+08   0.194548E+08  -0.460272E+00   0.101560E+08   0.101554E+08   0.118326E+03
   0.167174E-02   0.193847E+08   0.193823E+08   0.213521E+06  -0.177756E+06   0.000000E+00   0.193843E+08   0.193843E+08   0.193843E+08  -0.458600E+00   0.101192E+08   0.101186E+08   0.105122E+03
   0.184672E-02   0.193044E+08   0.193021E+08   0.159590E+06  -0.145049E+06   0.000000E+00   0.193041E+08   0.193041E+08   0.193041E+08  -0.456700E+00   0.100772E+08   0.100767E+08   0.932206E+02
   0.204002E-02   0.192134E+08   0.192110E+08   0.660937E+05  -0.118292E+06   0.000000E+00   0.192130E+08   0.192130E+08   0.192130E+08  -0.454543E+00   0.100296E+08   0.100291E+08   0.830161E+02
   0.225355E-02   0.191102E+08   0.191078E+08   0.505140E+05  -0.964094E+05   0.000000E+00   0.191099E+08   0.191099E+08   0.191099E+08  -0.452101E+00   0.997574E+07   0.997523E+07   0.745220E+02
   0.248943E-02   0.189939E+08   0.189913E+08   0.497942E+05  -0.785192E+05   0.000000E+00   0.189935E+08   0.189935E+08   0.189935E+08  -0.449346E+00   0.991494E+07   0.991443E+07   0.674701E+02
   0.275000E-02   0.188630E+08   0.188603E+08   0.157089E+05  -0.638976E+05   0.000000E+00   0.188625E+08   0.188625E+08   0.188625E+08  -0.446247E+00   0.984655E+07   0.984605E+07   0.613628E+02
   0.303784E-02   0.187162E+08   0.187133E+08   0.235253E+05  -0.519528E+05   0.000000E+00   0.187157E+08   0.187157E+08   0.187157E+08  -0.442773E+00   0.976990E+07   0.976939E+07   0.556607E+02
   0.335581E-02   0.185522E+08   0.185492E+08   0.153165E+04  -0.421994E+05   0.000000E+00   0.185517E+08   0.185517E+08   0.185517E+08  -0.438893E+00   0.968426E+07   0.968375E+07   0.501405E+02
   0.370706E-02   0.183696E+08   0.183664E+08   0.431612E+04  -0.342399E+05   0.000000E+00   0.183691E+08   0.183691E+08   0.183691E+08  -0.434571E+00   0.958890E+07   0.958841E+07   0.449350E+02
   0.409508E-02   0.181670E+08   0.181635E+08  -0.653064E+04  -0.277485E+05   0.000000E+00   0.181664E+08   0.181664E+08   0.181664E+08  -0.429777E+00   0.948311E+07   0.948261E+07   0.403532E+02
   0.452372E-02   0.179430E+08   0.179391E+08  -0.309754E+04  -0.224583E+05   0.000000E+00   0.179424E+08   0.179424E+08   0.179424E+08  -0.424475E+00   0.936613E+07   0.936563E+07   0.364372E+02
   0.499721E-02   0.176962E+08   0.176919E+08   0.487439E+03  -0.181505E+05   0.000000E+00   0.176955E+08   0.176955E+08   0.176955E+08  -0.418635E+00   0.923725E+07   0.923675E+07   0.329047E+02
   0.552027E-02   0.174252E+08   0.174205E+08  -0.233244E+04  -0.146459E+05   0.000000E+00   0.174245E+08   0.174245E+08   0.174245E+08  -0.412223E+00   0.909576E+07   0.909527E+07   0.295857E+02
   0.609808E-02   0.171288E+08   0.171235E+08  -0.433574E+04  -0.117976E+05   0.000000E+00   0.171280E+08   0.171280E+08   0.171280E+08  -0.405208E+00   0.894098E+07   0.894050E+07   0.266319E+02
   0.673636E-02   0.168057E+08   0.167996E+08  -0.389515E+04  -0.948527E+04   0.000000E+00   0.168048E+08   0.168048E+08   0.168048E+08  -0.397561E+00   0.877225E+07   0.877177E+07   0.240599E+02
   0.744146E-02   0.164547E+08   0.164478E+08  -0.385781E+04  -0.761046E+04   0.000000E+00   0.164536E+08   0.164536E+08   0.164536E+08  -0.389254E+00   0.858894E+07   0.858846E+07   0.217016E+02
   0.822036E-02   0.160746E+08   0.160667E+08  -0.199679E+04  -0.609242E+04   0.000000E+00   0.160734E+08   0.160734E+08   0.160734E+08  -0.380258E+00   0.839046E+07   0.838998E+07   0.196191E+02
   0.908078E-02   0.156644E+08   0.156553E+08  -0.153337E+04  -0.486510E+04   0.000000E+00   0.156630E+08   0.156630E+08   0.156630E+08  -0.370549E+00   0.817623E+07   0.817575E+07   0.177616E+02
   0.100313E-01   0.152231E+08   0.152125E+08  -0.232945E+04  -0.387443E+04   0.000000E+00   0.152215E+08   0.152215E+08   0.152215E+08  -0.360104E+00   0.794575E+07   0.794527E+07   0.161066E+02
   0.110812E-01   0.147498E+08   0.147375E+08  -0.107402E+04  -0.307620E+04   0.000000E+00   0.147479E+08   0.147479E+08   0.147479E+08  -0.348900E+00   0.769853E+07   0.769804E+07   0.146536E+02
   0.122411E-01   0.142437E+08   0.142294E+08  -0.130898E+04  -0.243430E+04   0.000000E+00   0.142414E+08   0.142414E+08   0.142414E+08  -0.336918E+00   0.743415E+07   0.743366E+07   0.133561E+02
