#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   148   0.430772E+04  -0.452522E+02   0.203356E-03  -0.452522E+02   0.106681E+01  -0.966738E-06   0.203356E-03  -0.966738E-06   0.673378E-07
   149   0.434104E+04  -0.453876E+02   0.201569E-03  -0.453876E+02   0.106434E+01  -0.955874E-06   0.201569E-03  -0.955874E-06   0.669309E-07
   150   0.437420E+04  -0.455017E+02   0.199799E-03  -0.455017E+02   0.106143E+01  -0.945288E-06   0.199799E-03  -0.945288E-06   0.665275E-07
   151   0.440718E+04  -0.455942E+02   0.198045E-03  -0.455942E+02   0.105811E+01  -0.935039E-06   0.198045E-03  -0.935039E-06   0.661274E-07
   152   0.443999E+04  -0.456646E+02   0.196308E-03  -0.456646E+02   0.105436E+01  -0.925119E-06   0.196308E-03  -0.925119E-06   0.657308E-07
   153   0.447262E+04  -0.457127E+02   0.194586E-03  -0.457127E+02   0.105020E+01  -0.915504E-06   0.194586E-03  -0.915504E-06   0.653376E-07
   154   0.450506E+04  -0.457383E+02   0.192880E-03  -0.457383E+02   0.104565E+01  -0.906171E-06   0.192880E-03  -0.906171E-06   0.649477E-07
   155   0.453731E+04  -0.457410E+02   0.191190E-03  -0.457410E+02   0.104069E+01  -0.897096E-06   0.191190E-03  -0.897096E-06   0.645611E-07
   156   0.456938E+04  -0.457205E+02   0.189516E-03  -0.457205E+02   0.103535E+01  -0.888257E-06   0.189516E-03  -0.888257E-06   0.641778E-07
   157   0.460123E+04  -0.456766E+02   0.187857E-03  -0.456766E+02   0.102963E+01  -0.879629E-06   0.187857E-03  -0.879629E-06   0.637978E-07
   158   0.463289E+04  -0.456091E+02   0.186215E-03  -0.456091E+02   0.102355E+01  -0.871189E-06   0.186215E-03  -0.871189E-06   0.634211E-07
   159   0.466433E+04  -0.455175E+02   0.184589E-03  -0.455175E+02   0.101710E+01  -0.862913E-06   0.184589E-03  -0.862913E-06   0.630476E-07
   160   0.469555E+04  -0.454018E+02   0.182979E-03  -0.454018E+02   0.101031E+01  -0.854778E-06   0.182979E-03  -0.854778E-06   0.626773E-07
   161   0.472653E+04  -0.452616E+02   0.181384E-03  -0.452616E+02   0.100319E+01  -0.846761E-06   0.181384E-03  -0.846761E-06   0.623102E-07
   162   0.475725E+04  -0.450968E+02   0.179806E-03  -0.450968E+02   0.995747E+00  -0.838838E-06   0.179806E-03  -0.838838E-06   0.619462E-07
   163   0.478772E+04  -0.449069E+02   0.178244E-03  -0.449069E+02   0.988007E+00  -0.830984E-06   0.178244E-03  -0.830984E-06   0.615854E-07
   164   0.481790E+04  -0.446921E+02   0.176698E-03  -0.446921E+02   0.979968E+00  -0.823178E-06   0.176698E-03  -0.823178E-06   0.612277E-07
   165   0.484779E+04  -0.444518E+02   0.175168E-03  -0.444518E+02   0.971648E+00  -0.815395E-06   0.175168E-03  -0.815395E-06   0.608730E-07
   166   0.487739E+04  -0.441861E+02   0.173653E-03  -0.441861E+02   0.963067E+00  -0.807612E-06   0.173653E-03  -0.807612E-06   0.605215E-07
   167   0.490669E+04  -0.438946E+02   0.172155E-03  -0.438946E+02   0.954243E+00  -0.799805E-06   0.172155E-03  -0.799805E-06   0.601730E-07
   168   0.493567E+04  -0.435775E+02   0.170673E-03  -0.435775E+02   0.945194E+00  -0.791950E-06   0.170673E-03  -0.791950E-06   0.598275E-07
   169   0.496434E+04  -0.432346E+02   0.169207E-03  -0.432346E+02   0.935940E+00  -0.784025E-06   0.169207E-03  -0.784025E-06   0.594850E-07
   170   0.499267E+04  -0.428657E+02   0.167758E-03  -0.428657E+02   0.926492E+00  -0.776006E-06   0.167758E-03  -0.776006E-06   0.591454E-07
   171   0.502066E+04  -0.424708E+02   0.166324E-03  -0.424708E+02   0.916876E+00  -0.767869E-06   0.166324E-03  -0.767869E-06   0.588089E-07
   172   0.504832E+04  -0.420498E+02   0.164906E-03  -0.420498E+02   0.907110E+00  -0.759591E-06   0.164906E-03  -0.759591E-06   0.584752E-07
   173   0.507562E+04  -0.416025E+02   0.163505E-03  -0.416025E+02   0.897214E+00  -0.751147E-06   0.163505E-03  -0.751147E-06   0.581444E-07
   174   0.510256E+04  -0.411290E+02   0.162120E-03  -0.411290E+02   0.887206E+00  -0.742516E-06   0.162120E-03  -0.742516E-06   0.578165E-07
   175   0.512912E+04  -0.406294E+02   0.160751E-03  -0.406294E+02   0.877120E+00  -0.733672E-06   0.160751E-03  -0.733672E-06   0.574915E-07
   176   0.515531E+04  -0.401035E+02   0.159398E-03  -0.401035E+02   0.866966E+00  -0.724599E-06   0.159398E-03  -0.724599E-06   0.571693E-07
   177   0.518112E+04  -0.395513E+02   0.158060E-03  -0.395513E+02   0.856777E+00  -0.715297E-06   0.158060E-03  -0.715297E-06   0.568499E-07
   178   0.520652E+04  -0.389728E+02   0.156739E-03  -0.389728E+02   0.846570E+00  -0.705773E-06   0.156739E-03  -0.705773E-06   0.565332E-07
