#    L    TT             EE             BB             TE             PP             TP             EP          
    48   0.138000E+04   0.103794E+00   0.000000E+00   0.900634E+00   0.135419E-06   0.812078E-03  -0.344129E-06
    49   0.139981E+04   0.110943E+00   0.000000E+00   0.738374E+00   0.134929E-06   0.795848E-03  -0.334892E-06
    50   0.141982E+04   0.118375E+00   0.000000E+00   0.562214E+00   0.134421E-06   0.780091E-03  -0.373541E-06
    51   0.144009E+04   0.126096E+00   0.000000E+00   0.372064E+00   0.133897E-06   0.764790E-03  -0.477572E-06
    52   0.146056E+04   0.134108E+00   0.000000E+00   0.168873E+00   0.133357E-06   0.749956E-03  -0.622823E-06
    53   0.148116E+04   0.142415E+00   0.000000E+00  -0.463560E-01   0.132803E-06   0.735610E-03  -0.774791E-06
    54   0.150188E+04   0.151018E+00   0.000000E+00  -0.273481E+00   0.132236E-06   0.721772E-03  -0.899048E-06
    55   0.152271E+04   0.159920E+00   0.000000E+00  -0.512730E+00   0.131655E-06   0.708461E-03  -0.961233E-06
    56   0.154375E+04   0.169120E+00   0.000000E+00  -0.764972E+00   0.131064E-06   0.695687E-03  -0.937604E-06
    57   0.156511E+04   0.178614E+00   0.000000E+00  -0.103109E+01   0.130461E-06   0.683403E-03  -0.846660E-06
    58   0.158676E+04   0.188400E+00   0.000000E+00  -0.131128E+01   0.129849E-06   0.671555E-03  -0.717401E-06
    59   0.160859E+04   0.198478E+00   0.000000E+00  -0.160547E+01   0.129226E-06   0.660084E-03  -0.578774E-06
    60   0.163060E+04   0.208840E+00   0.000000E+00  -0.191315E+01   0.128594E-06   0.648935E-03  -0.459675E-06
    61   0.165278E+04   0.219480E+00   0.000000E+00  -0.223384E+01   0.127954E-06   0.638057E-03  -0.383722E-06
    62   0.167515E+04   0.230393E+00   0.000000E+00  -0.256757E+01   0.127306E-06   0.627419E-03  -0.353595E-06
    63   0.169771E+04   0.241577E+00   0.000000E+00  -0.291445E+01   0.126652E-06   0.616998E-03  -0.366748E-06
    64   0.172049E+04   0.253031E+00   0.000000E+00  -0.327463E+01   0.125992E-06   0.606769E-03  -0.420641E-06
    65   0.174350E+04   0.264753E+00   0.000000E+00  -0.364828E+01   0.125327E-06   0.596708E-03  -0.512743E-06
    66   0.176677E+04   0.276736E+00   0.000000E+00  -0.403564E+01   0.124659E-06   0.586802E-03  -0.637732E-06
    67   0.179030E+04   0.288973E+00   0.000000E+00  -0.443615E+01   0.123988E-06   0.577084E-03  -0.779119E-06
    68   0.181404E+04   0.301456E+00   0.000000E+00  -0.484911E+01   0.123314E-06   0.567598E-03  -0.917646E-06
    69   0.183795E+04   0.314176E+00   0.000000E+00  -0.527382E+01   0.122637E-06   0.558388E-03  -0.103408E-05
    70   0.186200E+04   0.327127E+00   0.000000E+00  -0.570979E+01   0.121959E-06   0.549499E-03  -0.110921E-05
    71   0.188616E+04   0.340304E+00   0.000000E+00  -0.615682E+01   0.121280E-06   0.540961E-03  -0.112924E-05
    72   0.191056E+04   0.353704E+00   0.000000E+00  -0.661583E+01   0.120600E-06   0.532754E-03  -0.110199E-05
    73   0.193529E+04   0.367322E+00   0.000000E+00  -0.708778E+01   0.119918E-06   0.524844E-03  -0.104062E-05
    74   0.196038E+04   0.381145E+00   0.000000E+00  -0.757257E+01   0.119235E-06   0.517198E-03  -0.958312E-06
    75   0.198583E+04   0.395162E+00   0.000000E+00  -0.806977E+01   0.118551E-06   0.509780E-03  -0.868216E-06
    76   0.201159E+04   0.409360E+00   0.000000E+00  -0.857883E+01   0.117865E-06   0.502561E-03  -0.782180E-06
    77   0.203753E+04   0.423727E+00   0.000000E+00  -0.909830E+01   0.117179E-06   0.495514E-03  -0.706880E-06
    78   0.206364E+04   0.438251E+00   0.000000E+00  -0.962773E+01   0.116493E-06   0.488615E-03  -0.647694E-06
    79   0.208996E+04   0.452921E+00   0.000000E+00  -0.101670E+02   0.115806E-06   0.481841E-03  -0.609997E-06
    80   0.211652E+04   0.467726E+00   0.000000E+00  -0.107160E+02   0.115121E-06   0.475167E-03  -0.599159E-06
    81   0.214333E+04   0.482653E+00   0.000000E+00  -0.112745E+02   0.114435E-06   0.468576E-03  -0.618376E-06
    82   0.217042E+04   0.497694E+00   0.000000E+00  -0.118422E+02   0.113752E-06   0.462076E-03  -0.662161E-06
    83   0.219775E+04   0.512837E+00   0.000000E+00  -0.124187E+02   0.113069E-06   0.455678E-03  -0.722864E-06
    84   0.222532E+04   0.528070E+00   0.000000E+00  -0.130036E+02   0.112388E-06   0.449398E-03  -0.792840E-06
    85   0.225313E+04   0.543383E+00   0.000000E+00  -0.135966E+02   0.111710E-06   0.443247E-03  -0.864455E-06
    86   0.228118E+04   0.558766E+00   0.000000E+00  -0.141971E+02   0.111033E-06   0.437238E-03  -0.931253E-06
    87   0.230944E+04   0.574206E+00   0.000000E+00  -0.148046E+02   0.110359E-06   0.431369E-03  -0.991493E-06
    88   0.233787E+04   0.589690E+00   0.000000E+00  -0.154187E+02   0.109687E-06   0.425640E-03  -0.104461E-05
    89   0.236650E+04   0.605204E+00   0.000000E+00  -0.160389E+02   0.109018E-06   0.420049E-03  -0.109003E-05
    90   0.239533E+04   0.620733E+00   0.000000E+00  -0.166648E+02   0.108352E-06   0.414593E-03  -0.112720E-05
    91   0.242437E+04   0.636261E+00   0.000000E+00  -0.172961E+02   0.107689E-06   0.409270E-03  -0.115576E-05
    92   0.245361E+04   0.651775E+00   0.000000E+00  -0.179324E+02   0.107029E-06   0.404076E-03  -0.117617E-05
    93   0.248307E+04   0.667260E+00   0.000000E+00  -0.185732E+02   0.106372E-06   0.399007E-03  -0.118911E-05
    94   0.251275E+04   0.682703E+00   0.000000E+00  -0.192184E+02   0.105718E-06   0.394058E-03  -0.119525E-05
    95   0.254266E+04   0.698089E+00   0.000000E+00  -0.198675E+02   0.105067E-06   0.389225E-03  -0.119526E-05
    96   0.257279E+04   0.713404E+00   0.000000E+00  -0.205199E+02   0.104419E-06   0.384503E-03  -0.118983E-05
    97   0.260315E+04   0.728633E+00   0.000000E+00  -0.211753E+02   0.103775E-06   0.379888E-03  -0.117961E-05
    98   0.263374E+04   0.743762E+00   0.000000E+00  -0.218332E+02   0.103134E-06   0.375376E-03  -0.116529E-05
    99   0.266453E+04   0.758775E+00   0.000000E+00  -0.224931E+02   0.102496E-06   0.370962E-03  -0.114753E-05
   100   0.269556E+04   0.773662E+00   0.000000E+00  -0.231545E+02   0.101862E-06   0.366642E-03  -0.112700E-05
   101   0.272679E+04   0.788408E+00   0.000000E+00  -0.238169E+02   0.101231E-06   0.362411E-03  -0.110438E-05
   102   0.275825E+04   0.802991E+00   0.000000E+00  -0.244800E+02   0.100604E-06   0.358266E-03  -0.108032E-05
   103   0.278991E+04   0.817410E+00   0.000000E+00  -0.251429E+02   0.999804E-07   0.354201E-03  -0.105551E-05
   104   0.282178E+04   0.831637E+00   0.000000E+00  -0.258054E+02   0.993605E-07   0.350213E-03  -0.103061E-05
   105   0.285384E+04   0.845665E+00   0.000000E+00  -0.264669E+02   0.987444E-07   0.346297E-03  -0.100629E-05
   106   0.288608E+04   0.859477E+00   0.000000E+00  -0.271266E+02   0.981320E-07   0.342449E-03  -0.983214E-06
   107   0.291852E+04   0.873068E+00   0.000000E+00  -0.277841E+02   0.975235E-07   0.338665E-03  -0.962054E-06
   108   0.295112E+04   0.886416E+00   0.000000E+00  -0.284389E+02   0.969189E-07   0.334939E-03  -0.943476E-06
   109   0.298389E+04   0.899512E+00   0.000000E+00  -0.290903E+02   0.963183E-07   0.331269E-03  -0.928148E-06
