#    L    TT             EE             TE             PP             TP          
   102   0.275825E+04   0.802991E+00  -0.244800E+02   0.458217E+07   0.603959E+04
   103   0.278991E+04   0.817411E+00  -0.251430E+02   0.455436E+07   0.597185E+04
   104   0.282178E+04   0.831638E+00  -0.258055E+02   0.452670E+07   0.590537E+04
   105   0.285384E+04   0.845665E+00  -0.264669E+02   0.449918E+07   0.584007E+04
   106   0.288609E+04   0.859478E+00  -0.271266E+02   0.447181E+07   0.577589E+04
   107   0.291852E+04   0.873069E+00  -0.277842E+02   0.444459E+07   0.571275E+04
   108   0.295112E+04   0.886416E+00  -0.284390E+02   0.441753E+07   0.565057E+04
   109   0.298389E+04   0.899513E+00  -0.290904E+02   0.439063E+07   0.558930E+04
   110   0.301683E+04   0.912336E+00  -0.297379E+02   0.436390E+07   0.552884E+04
   111   0.304992E+04   0.924879E+00  -0.303811E+02   0.433733E+07   0.546915E+04
   112   0.308316E+04   0.937135E+00  -0.310192E+02   0.431093E+07   0.541022E+04
   113   0.311655E+04   0.949080E+00  -0.316518E+02   0.428470E+07   0.535205E+04
   114   0.315008E+04   0.960699E+00  -0.322782E+02   0.425864E+07   0.529464E+04
   115   0.318373E+04   0.971993E+00  -0.328980E+02   0.423275E+07   0.523800E+04
   116   0.321751E+04   0.982946E+00  -0.335105E+02   0.420703E+07   0.518213E+04
   117   0.325141E+04   0.993536E+00  -0.341151E+02   0.418148E+07   0.512704E+04
   118   0.328542E+04   0.100376E+01  -0.347113E+02   0.415610E+07   0.507273E+04
   119   0.331953E+04   0.101361E+01  -0.352986E+02   0.413089E+07   0.501920E+04
   120   0.335374E+04   0.102307E+01  -0.358764E+02   0.410586E+07   0.496646E+04
   121   0.338803E+04   0.103213E+01  -0.364441E+02   0.408100E+07   0.491451E+04
   122   0.342240E+04   0.104079E+01  -0.370012E+02   0.405631E+07   0.486336E+04
   123   0.345684E+04   0.104902E+01  -0.375472E+02   0.403179E+07   0.481301E+04
   124   0.349134E+04   0.105683E+01  -0.380813E+02   0.400745E+07   0.476346E+04
   125   0.352589E+04   0.106420E+01  -0.386032E+02   0.398328E+07   0.471473E+04
   126   0.356049E+04   0.107113E+01  -0.391123E+02   0.395929E+07   0.466680E+04
   127   0.359512E+04   0.107760E+01  -0.396081E+02   0.393547E+07   0.461969E+04
   128   0.362977E+04   0.108362E+01  -0.400900E+02   0.391183E+07   0.457341E+04
   129   0.366445E+04   0.108918E+01  -0.405575E+02   0.388836E+07   0.452794E+04
   130   0.369913E+04   0.109425E+01  -0.410101E+02   0.386507E+07   0.448331E+04
   131   0.373380E+04   0.109885E+01  -0.414473E+02   0.384196E+07   0.443950E+04
   132   0.376848E+04   0.110298E+01  -0.418685E+02   0.381902E+07   0.439650E+04
   133   0.380313E+04   0.110661E+01  -0.422733E+02   0.379626E+07   0.435429E+04
   134   0.383777E+04   0.110976E+01  -0.426611E+02   0.377367E+07   0.431283E+04
   135   0.387236E+04   0.111241E+01  -0.430318E+02   0.375125E+07   0.427210E+04
