#    L    TT             EE             BB             TE             PP             TP             EP          
   102   0.275825E+04   0.802991E+00   0.000000E+00  -0.244800E+02   0.100440E-06   0.358011E-03  -0.108033E-05
   103   0.278991E+04   0.817410E+00   0.000000E+00  -0.251429E+02   0.998206E-07   0.353953E-03  -0.105551E-05
   104   0.282178E+04   0.831637E+00   0.000000E+00  -0.258054E+02   0.992045E-07   0.349972E-03  -0.103061E-05
   105   0.285384E+04   0.845665E+00   0.000000E+00  -0.264669E+02   0.985921E-07   0.346063E-03  -0.100629E-05
   106   0.288608E+04   0.859477E+00   0.000000E+00  -0.271266E+02   0.979835E-07   0.342222E-03  -0.983217E-06
   107   0.291852E+04   0.873068E+00   0.000000E+00  -0.277841E+02   0.973788E-07   0.338444E-03  -0.962057E-06
   108   0.295112E+04   0.886416E+00   0.000000E+00  -0.284389E+02   0.967780E-07   0.334726E-03  -0.943480E-06
   109   0.298389E+04   0.899512E+00   0.000000E+00  -0.290903E+02   0.961812E-07   0.331062E-03  -0.928152E-06
   110   0.301683E+04   0.912336E+00   0.000000E+00  -0.297379E+02   0.955884E-07   0.327448E-03  -0.916740E-06
   111   0.304992E+04   0.924879E+00   0.000000E+00  -0.303811E+02   0.949998E-07   0.323882E-03  -0.909742E-06
   112   0.308316E+04   0.937134E+00   0.000000E+00  -0.310192E+02   0.944152E-07   0.320362E-03  -0.906981E-06
   113   0.311655E+04   0.949079E+00   0.000000E+00  -0.316518E+02   0.938347E-07   0.316888E-03  -0.908108E-06
   114   0.315007E+04   0.960699E+00   0.000000E+00  -0.322782E+02   0.932584E-07   0.313461E-03  -0.912780E-06
   115   0.318373E+04   0.971993E+00   0.000000E+00  -0.328979E+02   0.926861E-07   0.310081E-03  -0.920648E-06
   116   0.321751E+04   0.982946E+00   0.000000E+00  -0.335104E+02   0.921180E-07   0.306748E-03  -0.931368E-06
   117   0.325141E+04   0.993536E+00   0.000000E+00  -0.341151E+02   0.915539E-07   0.303462E-03  -0.944593E-06
   118   0.328542E+04   0.100376E+01   0.000000E+00  -0.347113E+02   0.909939E-07   0.300223E-03  -0.959978E-06
   119   0.331953E+04   0.101361E+01   0.000000E+00  -0.352986E+02   0.904380E-07   0.297032E-03  -0.977178E-06
   120   0.335374E+04   0.102307E+01   0.000000E+00  -0.358764E+02   0.898862E-07   0.293889E-03  -0.995847E-06
   121   0.338803E+04   0.103213E+01   0.000000E+00  -0.364441E+02   0.893384E-07   0.290793E-03  -0.101564E-05
   122   0.342240E+04   0.104079E+01   0.000000E+00  -0.370012E+02   0.887948E-07   0.287746E-03  -0.103621E-05
   123   0.345684E+04   0.104902E+01   0.000000E+00  -0.375471E+02   0.882552E-07   0.284747E-03  -0.105722E-05
   124   0.349134E+04   0.105683E+01   0.000000E+00  -0.380813E+02   0.877197E-07   0.281797E-03  -0.107832E-05
   125   0.352589E+04   0.106420E+01   0.000000E+00  -0.386032E+02   0.871883E-07   0.278895E-03  -0.109916E-05
   126   0.356049E+04   0.107112E+01   0.000000E+00  -0.391123E+02   0.866610E-07   0.276042E-03  -0.111940E-05
   127   0.359512E+04   0.107760E+01   0.000000E+00  -0.396081E+02   0.861377E-07   0.273238E-03  -0.113870E-05
   128   0.362977E+04   0.108362E+01   0.000000E+00  -0.400900E+02   0.856186E-07   0.270483E-03  -0.115672E-05
   129   0.366444E+04   0.108918E+01   0.000000E+00  -0.405575E+02   0.851035E-07   0.267777E-03  -0.117310E-05
   130   0.369913E+04   0.109425E+01   0.000000E+00  -0.410101E+02   0.845925E-07   0.265122E-03  -0.118751E-05
   131   0.373380E+04   0.109885E+01   0.000000E+00  -0.414472E+02   0.840856E-07   0.262515E-03  -0.119967E-05
   132   0.376848E+04   0.110298E+01   0.000000E+00  -0.418684E+02   0.835827E-07   0.259957E-03  -0.120961E-05
   133   0.380313E+04   0.110661E+01   0.000000E+00  -0.422732E+02   0.830839E-07   0.257446E-03  -0.121743E-05
   134   0.383776E+04   0.110976E+01   0.000000E+00  -0.426611E+02   0.825891E-07   0.254980E-03  -0.122323E-05
   135   0.387236E+04   0.111241E+01   0.000000E+00  -0.430317E+02   0.820982E-07   0.252558E-03  -0.122711E-05
   136   0.390692E+04   0.111458E+01   0.000000E+00  -0.433845E+02   0.816113E-07   0.250178E-03  -0.122916E-05
   137   0.394144E+04   0.111624E+01   0.000000E+00  -0.437188E+02   0.811283E-07   0.247839E-03  -0.122949E-05
   138   0.397590E+04   0.111741E+01   0.000000E+00  -0.440345E+02   0.806491E-07   0.245539E-03  -0.122819E-05
   139   0.401029E+04   0.111809E+01   0.000000E+00  -0.443311E+02   0.801739E-07   0.243276E-03  -0.122537E-05
   140   0.404462E+04   0.111827E+01   0.000000E+00  -0.446081E+02   0.797025E-07   0.241050E-03  -0.122111E-05
   141   0.407887E+04   0.111796E+01   0.000000E+00  -0.448651E+02   0.792348E-07   0.238859E-03  -0.121553E-05
   142   0.411303E+04   0.111715E+01   0.000000E+00  -0.451018E+02   0.787710E-07   0.236701E-03  -0.120871E-05
