#    L    TT             EE             TE             PP             TP          
   108   0.295112E+04   0.886416E+00  -0.284389E+02   0.444094E+07   0.565702E+04
   109   0.298389E+04   0.899512E+00  -0.290903E+02   0.441417E+07   0.559574E+04
   110   0.301683E+04   0.912336E+00  -0.297379E+02   0.438755E+07   0.553528E+04
   111   0.304992E+04   0.924879E+00  -0.303811E+02   0.436111E+07   0.547558E+04
   112   0.308316E+04   0.937134E+00  -0.310192E+02   0.433483E+07   0.541665E+04
   113   0.311655E+04   0.949079E+00  -0.316518E+02   0.430871E+07   0.535847E+04
   114   0.315007E+04   0.960699E+00  -0.322782E+02   0.428277E+07   0.530107E+04
   115   0.318373E+04   0.971993E+00  -0.328979E+02   0.425700E+07   0.524443E+04
   116   0.321751E+04   0.982946E+00  -0.335104E+02   0.423139E+07   0.518856E+04
   117   0.325141E+04   0.993536E+00  -0.341151E+02   0.420596E+07   0.513348E+04
   118   0.328542E+04   0.100376E+01  -0.347113E+02   0.418069E+07   0.507917E+04
   119   0.331953E+04   0.101361E+01  -0.352986E+02   0.415560E+07   0.502565E+04
   120   0.335374E+04   0.102307E+01  -0.358764E+02   0.413067E+07   0.497292E+04
   121   0.338803E+04   0.103213E+01  -0.364441E+02   0.410592E+07   0.492098E+04
   122   0.342240E+04   0.104079E+01  -0.370012E+02   0.408134E+07   0.486983E+04
   123   0.345684E+04   0.104902E+01  -0.375471E+02   0.405693E+07   0.481949E+04
   124   0.349134E+04   0.105683E+01  -0.380813E+02   0.403270E+07   0.476995E+04
   125   0.352589E+04   0.106420E+01  -0.386032E+02   0.400864E+07   0.472122E+04
   126   0.356049E+04   0.107112E+01  -0.391123E+02   0.398475E+07   0.467330E+04
   127   0.359512E+04   0.107760E+01  -0.396081E+02   0.396104E+07   0.462619E+04
   128   0.362977E+04   0.108362E+01  -0.400900E+02   0.393750E+07   0.457991E+04
   129   0.366444E+04   0.108918E+01  -0.405575E+02   0.391414E+07   0.453444E+04
   130   0.369913E+04   0.109425E+01  -0.410101E+02   0.389095E+07   0.448980E+04
   131   0.373380E+04   0.109885E+01  -0.414472E+02   0.386794E+07   0.444599E+04
   132   0.376848E+04   0.110298E+01  -0.418684E+02   0.384510E+07   0.440299E+04
   133   0.380313E+04   0.110661E+01  -0.422732E+02   0.382244E+07   0.436076E+04
   134   0.383776E+04   0.110976E+01  -0.426611E+02   0.379995E+07   0.431929E+04
   135   0.387236E+04   0.111241E+01  -0.430317E+02   0.377763E+07   0.427855E+04
   136   0.390692E+04   0.111458E+01  -0.433845E+02   0.375548E+07   0.423851E+04
   137   0.394144E+04   0.111624E+01  -0.437188E+02   0.373350E+07   0.419915E+04
   138   0.397590E+04   0.111741E+01  -0.440345E+02   0.371170E+07   0.416045E+04
   139   0.401029E+04   0.111809E+01  -0.443311E+02   0.369006E+07   0.412238E+04
   140   0.404462E+04   0.111827E+01  -0.446081E+02   0.366858E+07   0.408491E+04
   141   0.407887E+04   0.111796E+01  -0.448651E+02   0.364727E+07   0.404802E+04
   142   0.411303E+04   0.111715E+01  -0.451018E+02   0.362613E+07   0.401168E+04
   143   0.414710E+04   0.111586E+01  -0.453177E+02   0.360515E+07   0.397588E+04
   144   0.418107E+04   0.111408E+01  -0.455124E+02   0.358434E+07   0.394057E+04
   145   0.421492E+04   0.111181E+01  -0.456855E+02   0.356368E+07   0.390575E+04
   146   0.424863E+04   0.110907E+01  -0.458367E+02   0.354319E+07   0.387138E+04
   147   0.428220E+04   0.110586E+01  -0.459654E+02   0.352286E+07   0.383744E+04
   148   0.431561E+04   0.110218E+01  -0.460714E+02   0.350269E+07   0.380390E+04
   149   0.434885E+04   0.109804E+01  -0.461542E+02   0.348267E+07   0.377074E+04
   150   0.438190E+04   0.109345E+01  -0.462134E+02   0.346281E+07   0.373793E+04
   151   0.441474E+04   0.108842E+01  -0.462487E+02   0.344311E+07   0.370545E+04
   152   0.444738E+04   0.108294E+01  -0.462598E+02   0.342356E+07   0.367330E+04
   153   0.447981E+04   0.107705E+01  -0.462464E+02   0.340416E+07   0.364148E+04
   154   0.451201E+04   0.107075E+01  -0.462083E+02   0.338492E+07   0.360998E+04
   155   0.454399E+04   0.106404E+01  -0.461452E+02   0.336583E+07   0.357880E+04
   156   0.457575E+04   0.105694E+01  -0.460569E+02   0.334690E+07   0.354794E+04
   157   0.460727E+04   0.104946E+01  -0.459430E+02   0.332811E+07   0.351739E+04
   158   0.463856E+04   0.104163E+01  -0.458035E+02   0.330947E+07   0.348716E+04
   159   0.466960E+04   0.103343E+01  -0.456380E+02   0.329098E+07   0.345725E+04
   160   0.470038E+04   0.102491E+01  -0.454464E+02   0.327264E+07   0.342765E+04
   161   0.473087E+04   0.101606E+01  -0.452284E+02   0.325444E+07   0.339836E+04
   162   0.476109E+04   0.100691E+01  -0.449839E+02   0.323639E+07   0.336938E+04
   163   0.479100E+04   0.997491E+00  -0.447126E+02   0.321849E+07   0.334071E+04
   164   0.482060E+04   0.987793E+00  -0.444143E+02   0.320073E+07   0.331234E+04
   165   0.484987E+04   0.977843E+00  -0.440889E+02   0.318311E+07   0.328428E+04
   166   0.487881E+04   0.967663E+00  -0.437363E+02   0.316564E+07   0.325652E+04
   167   0.490741E+04   0.957275E+00  -0.433562E+02   0.314831E+07   0.322906E+04
   168   0.493566E+04   0.946701E+00  -0.429488E+02   0.313111E+07   0.320189E+04
   169   0.496355E+04   0.935964E+00  -0.425139E+02   0.311406E+07   0.317503E+04
   170   0.499108E+04   0.925078E+00  -0.420514E+02   0.309714E+07   0.314846E+04
   171   0.501822E+04   0.914073E+00  -0.415613E+02   0.308037E+07   0.312219E+04
   172   0.504499E+04   0.902972E+00  -0.410435E+02   0.306373E+07   0.309620E+04
   173   0.507136E+04   0.891796E+00  -0.404980E+02   0.304722E+07   0.307051E+04
   174   0.509733E+04   0.880567E+00  -0.399247E+02   0.303085E+07   0.304511E+04
   175   0.512289E+04   0.869324E+00  -0.393239E+02   0.301462E+07   0.301999E+04
   176   0.514803E+04   0.858080E+00  -0.386953E+02   0.299851E+07   0.299516E+04
   177   0.517274E+04   0.846873E+00  -0.380391E+02   0.298254E+07   0.297061E+04
   178   0.519700E+04   0.835725E+00  -0.373553E+02   0.296670E+07   0.294633E+04
   179   0.522083E+04   0.824658E+00  -0.366439E+02   0.295099E+07   0.292232E+04
   180   0.524421E+04   0.813709E+00  -0.359050E+02   0.293541E+07   0.289857E+04
   181   0.526712E+04   0.802909E+00  -0.351389E+02   0.291995E+07   0.287507E+04
   182   0.528957E+04   0.792287E+00  -0.343455E+02   0.290462E+07   0.285183E+04
   183   0.531154E+04   0.781866E+00  -0.335250E+02   0.288942E+07   0.282884E+04
   184   0.533303E+04   0.771681E+00  -0.326778E+02   0.287434E+07   0.280608E+04
   185   0.535404E+04   0.761772E+00  -0.318036E+02   0.285938E+07   0.278356E+04
   186   0.537455E+04   0.752159E+00  -0.309028E+02   0.284454E+07   0.276126E+04
   187   0.539456E+04   0.742873E+00  -0.299756E+02   0.282982E+07   0.273919E+04
   188   0.541406E+04   0.733955E+00  -0.290222E+02   0.281522E+07   0.271733E+04
   189   0.543304E+04   0.725436E+00  -0.280429E+02   0.280074E+07   0.269568E+04
   190   0.545150E+04   0.717350E+00  -0.270378E+02   0.278637E+07   0.267424E+04
   191   0.546943E+04   0.709729E+00  -0.260073E+02   0.277212E+07   0.265300E+04
   192   0.548682E+04   0.702607E+00  -0.249514E+02   0.275798E+07   0.263195E+04
   193   0.550366E+04   0.696019E+00  -0.238706E+02   0.274396E+07   0.261109E+04
   194   0.551996E+04   0.690000E+00  -0.227651E+02   0.273004E+07   0.259041E+04
   195   0.553570E+04   0.684586E+00  -0.216353E+02   0.271624E+07   0.256991E+04
   196   0.555089E+04   0.679811E+00  -0.204815E+02   0.270254E+07   0.254957E+04
   197   0.556552E+04   0.675715E+00  -0.193042E+02   0.268895E+07   0.252941E+04
   198   0.557960E+04   0.672331E+00  -0.181036E+02   0.267547E+07   0.250940E+04
   199   0.559310E+04   0.669696E+00  -0.168801E+02   0.266209E+07   0.248954E+04
   200   0.560603E+04   0.667846E+00  -0.156341E+02   0.264882E+07   0.246983E+04
   201   0.561839E+04   0.666818E+00  -0.143660E+02   0.263565E+07   0.245026E+04
   202   0.563017E+04   0.666649E+00  -0.130762E+02   0.262258E+07   0.243084E+04
   203   0.564134E+04   0.667374E+00  -0.117651E+02   0.260961E+07   0.241155E+04
   204   0.565191E+04   0.669031E+00  -0.104331E+02   0.259675E+07   0.239241E+04
   205   0.566185E+04   0.671657E+00  -0.908074E+01   0.258398E+07   0.237340E+04
   206   0.567117E+04   0.675287E+00  -0.770831E+01   0.257131E+07   0.235453E+04
   207   0.567986E+04   0.679960E+00  -0.631622E+01   0.255874E+07   0.233580E+04
   208   0.568790E+04   0.685711E+00  -0.490508E+01   0.254626E+07   0.231720E+04
   209   0.569533E+04   0.692577E+00  -0.347540E+01   0.253388E+07   0.229874E+04
   210   0.570212E+04   0.700594E+00  -0.202776E+01   0.252160E+07   0.228041E+04
   211   0.570830E+04   0.709801E+00  -0.562695E+00   0.250941E+07   0.226221E+04
   212   0.571387E+04   0.720233E+00   0.919229E+00   0.249732E+07   0.224415E+04
   213   0.571883E+04   0.731926E+00   0.241746E+01   0.248532E+07   0.222622E+04
   214   0.572319E+04   0.744919E+00   0.393144E+01   0.247341E+07   0.220842E+04
   215   0.572695E+04   0.759241E+00   0.546059E+01   0.246159E+07   0.219074E+04
   216   0.573010E+04   0.774936E+00   0.700430E+01   0.244986E+07   0.217320E+04
   217   0.573263E+04   0.792036E+00   0.856197E+01   0.243822E+07   0.215579E+04
   218   0.573454E+04   0.810570E+00   0.101331E+02   0.242667E+07   0.213850E+04
   219   0.573584E+04   0.830582E+00   0.117170E+02   0.241521E+07   0.212134E+04
   220   0.573650E+04   0.852102E+00   0.133131E+02   0.240383E+07   0.210431E+04
   221   0.573654E+04   0.875159E+00   0.149207E+02   0.239255E+07   0.208740E+04
   222   0.573595E+04   0.899799E+00   0.165394E+02   0.238134E+07   0.207062E+04
   223   0.573472E+04   0.926043E+00   0.181683E+02   0.237022E+07   0.205395E+04
   224   0.573287E+04   0.953929E+00   0.198070E+02   0.235919E+07   0.203741E+04
   225   0.573040E+04   0.983479E+00   0.214545E+02   0.234824E+07   0.202099E+04
   226   0.572730E+04   0.101474E+01   0.231105E+02   0.233737E+07   0.200470E+04
   227   0.572357E+04   0.104773E+01   0.247741E+02   0.232658E+07   0.198852E+04
   228   0.571922E+04   0.108249E+01   0.264446E+02   0.231587E+07   0.197246E+04
   229   0.571426E+04   0.111905E+01   0.281215E+02   0.230525E+07   0.195652E+04
