#    L    TT             EE             TE             PP             TP          
   229   0.571426E+04   0.111905E+01   0.281215E+02   0.231506E+07   0.195876E+04
   230   0.570867E+04   0.115743E+01   0.298040E+02   0.230461E+07   0.194295E+04
   231   0.570247E+04   0.119765E+01   0.314914E+02   0.229422E+07   0.192725E+04
   232   0.569565E+04   0.123976E+01   0.331830E+02   0.228392E+07   0.191167E+04
   233   0.568823E+04   0.128377E+01   0.348781E+02   0.227369E+07   0.189621E+04
   234   0.568018E+04   0.132971E+01   0.365760E+02   0.226354E+07   0.188085E+04
   235   0.567153E+04   0.137762E+01   0.382760E+02   0.225346E+07   0.186562E+04
   236   0.566227E+04   0.142751E+01   0.399773E+02   0.224345E+07   0.185049E+04
   237   0.565241E+04   0.147941E+01   0.416792E+02   0.223352E+07   0.183547E+04
   238   0.564196E+04   0.153333E+01   0.433811E+02   0.222366E+07   0.182057E+04
   239   0.563090E+04   0.158929E+01   0.450821E+02   0.221387E+07   0.180577E+04
   240   0.561926E+04   0.164734E+01   0.467814E+02   0.220414E+07   0.179108E+04
   241   0.560702E+04   0.170748E+01   0.484785E+02   0.219449E+07   0.177650E+04
   242   0.559419E+04   0.176973E+01   0.501725E+02   0.218491E+07   0.176203E+04
   243   0.558079E+04   0.183411E+01   0.518626E+02   0.217539E+07   0.174766E+04
   244   0.556681E+04   0.190063E+01   0.535482E+02   0.216595E+07   0.173339E+04
   245   0.555227E+04   0.196933E+01   0.552286E+02   0.215656E+07   0.171924E+04
   246   0.553716E+04   0.204020E+01   0.569030E+02   0.214725E+07   0.170518E+04
   247   0.552149E+04   0.211326E+01   0.585707E+02   0.213799E+07   0.169123E+04
   248   0.550528E+04   0.218854E+01   0.602309E+02   0.212880E+07   0.167738E+04
   249   0.548852E+04   0.226603E+01   0.618831E+02   0.211968E+07   0.166363E+04
   250   0.547122E+04   0.234576E+01   0.635263E+02   0.211061E+07   0.164998E+04
   251   0.545338E+04   0.242772E+01   0.651597E+02   0.210161E+07   0.163643E+04
   252   0.543500E+04   0.251194E+01   0.667826E+02   0.209267E+07   0.162298E+04
   253   0.541609E+04   0.259840E+01   0.683943E+02   0.208379E+07   0.160963E+04
   254   0.539666E+04   0.268713E+01   0.699938E+02   0.207496E+07   0.159637E+04
   255   0.537669E+04   0.277812E+01   0.715804E+02   0.206620E+07   0.158321E+04
   256   0.535620E+04   0.287138E+01   0.731533E+02   0.205749E+07   0.157014E+04
   257   0.533520E+04   0.296691E+01   0.747120E+02   0.204885E+07   0.155717E+04
   258   0.531369E+04   0.306471E+01   0.762554E+02   0.204026E+07   0.154430E+04
   259   0.529170E+04   0.316479E+01   0.777840E+02   0.203173E+07   0.153151E+04
   260   0.526924E+04   0.326714E+01   0.792955E+02   0.202326E+07   0.151882E+04
   261   0.524631E+04   0.337177E+01   0.807906E+02   0.201484E+07   0.150622E+04
   262   0.522293E+04   0.347867E+01   0.822679E+02   0.200648E+07   0.149371E+04
   263   0.519912E+04   0.358784E+01   0.837274E+02   0.199817E+07   0.148129E+04
   264   0.517487E+04   0.369928E+01   0.851676E+02   0.198992E+07   0.146896E+04
   265   0.515019E+04   0.381297E+01   0.865892E+02   0.198172E+07   0.145672E+04
   266   0.512509E+04   0.392890E+01   0.879901E+02   0.197358E+07   0.144456E+04
   267   0.509958E+04   0.404706E+01   0.893694E+02   0.196549E+07   0.143249E+04
   268   0.507366E+04   0.416744E+01   0.907279E+02   0.195746E+07   0.142051E+04
   269   0.504733E+04   0.429004E+01   0.920634E+02   0.194948E+07   0.140861E+04
   270   0.502060E+04   0.441482E+01   0.933766E+02   0.194155E+07   0.139680E+04
   271   0.499349E+04   0.454180E+01   0.946653E+02   0.193367E+07   0.138506E+04
   272   0.496599E+04   0.467094E+01   0.959303E+02   0.192584E+07   0.137342E+04
   273   0.493814E+04   0.480221E+01   0.971700E+02   0.191806E+07   0.136185E+04
   274   0.490992E+04   0.493561E+01   0.983853E+02   0.191034E+07   0.135036E+04
   275   0.488135E+04   0.507112E+01   0.995738E+02   0.190266E+07   0.133896E+04
   276   0.485246E+04   0.520871E+01   0.100736E+03   0.189504E+07   0.132763E+04
   277   0.482324E+04   0.534837E+01   0.101871E+03   0.188746E+07   0.131639E+04
   278   0.479370E+04   0.549008E+01   0.102978E+03   0.187993E+07   0.130522E+04
   279   0.476385E+04   0.563378E+01   0.104058E+03   0.187245E+07   0.129412E+04
   280   0.473371E+04   0.577947E+01   0.105108E+03   0.186502E+07   0.128311E+04
   281   0.470329E+04   0.592712E+01   0.106129E+03   0.185763E+07   0.127217E+04
   282   0.467259E+04   0.607668E+01   0.107121E+03   0.185029E+07   0.126130E+04
   283   0.464163E+04   0.622814E+01   0.108082E+03   0.184300E+07   0.125051E+04
   284   0.461041E+04   0.638146E+01   0.109013E+03   0.183575E+07   0.123979E+04
   285   0.457894E+04   0.653661E+01   0.109912E+03   0.182855E+07   0.122914E+04
   286   0.454724E+04   0.669356E+01   0.110779E+03   0.182139E+07   0.121857E+04
   287   0.451532E+04   0.685225E+01   0.111615E+03   0.181428E+07   0.120806E+04
   288   0.448318E+04   0.701267E+01   0.112418E+03   0.180721E+07   0.119762E+04
   289   0.445084E+04   0.717477E+01   0.113188E+03   0.180019E+07   0.118726E+04
   290   0.441831E+04   0.733850E+01   0.113925E+03   0.179320E+07   0.117696E+04
   291   0.438561E+04   0.750386E+01   0.114628E+03   0.178626E+07   0.116673E+04
   292   0.435272E+04   0.767071E+01   0.115297E+03   0.177937E+07   0.115657E+04
   293   0.431968E+04   0.783911E+01   0.115931E+03   0.177251E+07   0.114647E+04
   294   0.428648E+04   0.800900E+01   0.116530E+03   0.176569E+07   0.113643E+04
   295   0.425314E+04   0.818023E+01   0.117094E+03   0.175892E+07   0.112647E+04
   296   0.421966E+04   0.835287E+01   0.117623E+03   0.175219E+07   0.111656E+04
   297   0.418605E+04   0.852678E+01   0.118114E+03   0.174549E+07   0.110672E+04
   298   0.415233E+04   0.870194E+01   0.118570E+03   0.173883E+07   0.109694E+04
   299   0.411850E+04   0.887830E+01   0.118988E+03   0.173222E+07   0.108722E+04
   300   0.408458E+04   0.905577E+01   0.119370E+03   0.172564E+07   0.107756E+04
   301   0.405058E+04   0.923443E+01   0.119714E+03   0.171910E+07   0.106796E+04
   302   0.401651E+04   0.941406E+01   0.120022E+03   0.171260E+07   0.105842E+04
   303   0.398238E+04   0.959472E+01   0.120292E+03   0.170613E+07   0.104894E+04
   304   0.394821E+04   0.977636E+01   0.120525E+03   0.169970E+07   0.103952E+04
   305   0.391401E+04   0.995888E+01   0.120720E+03   0.169331E+07   0.103016E+04
   306   0.387978E+04   0.101423E+02   0.120878E+03   0.168695E+07   0.102086E+04
   307   0.384554E+04   0.103265E+02   0.120997E+03   0.168063E+07   0.101162E+04
   308   0.381130E+04   0.105114E+02   0.121079E+03   0.167435E+07   0.100244E+04
   309   0.377707E+04   0.106969E+02   0.121123E+03   0.166810E+07   0.993320E+03
   310   0.374285E+04   0.108830E+02   0.121129E+03   0.166189E+07   0.984264E+03
   311   0.370867E+04   0.110697E+02   0.121095E+03   0.165571E+07   0.975269E+03
   312   0.367451E+04   0.112569E+02   0.121024E+03   0.164957E+07   0.966335E+03
   313   0.364041E+04   0.114444E+02   0.120914E+03   0.164347E+07   0.957463E+03
   314   0.360636E+04   0.116323E+02   0.120765E+03   0.163739E+07   0.948653E+03
   315   0.357238E+04   0.118204E+02   0.120578E+03   0.163135E+07   0.939906E+03
   316   0.353848E+04   0.120088E+02   0.120352E+03   0.162535E+07   0.931220E+03
   317   0.350467E+04   0.121973E+02   0.120089E+03   0.161938E+07   0.922597E+03
