#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    37   0.115115E+04   0.174387E+01   0.968556E-03   0.174387E+01   0.390932E-01  -0.733237E-06   0.968556E-03  -0.733237E-06   0.128161E-06
    38   0.116944E+04   0.170707E+01   0.945385E-03   0.170707E+01   0.428033E-01  -0.693534E-06   0.945385E-03  -0.693534E-06   0.127940E-06
    39   0.118799E+04   0.166124E+01   0.923259E-03   0.166124E+01   0.467488E-01  -0.539589E-06   0.923259E-03  -0.539589E-06   0.127683E-06
    40   0.120675E+04   0.160580E+01   0.902172E-03   0.160580E+01   0.509244E-01  -0.363355E-06   0.902172E-03  -0.363355E-06   0.127391E-06
    41   0.122563E+04   0.154042E+01   0.882095E-03   0.154042E+01   0.553276E-01  -0.239432E-06   0.882095E-03  -0.239432E-06   0.127066E-06
    42   0.124465E+04   0.146587E+01   0.862906E-03   0.146587E+01   0.599652E-01  -0.173000E-06   0.862906E-03  -0.173000E-06   0.126711E-06
    43   0.126380E+04   0.138277E+01   0.844459E-03   0.138277E+01   0.648463E-01  -0.151886E-06   0.844459E-03  -0.151886E-06   0.126327E-06
    44   0.128313E+04   0.129014E+01   0.826611E-03   0.129014E+01   0.699778E-01  -0.163917E-06   0.826611E-03  -0.163917E-06   0.125918E-06
    45   0.130270E+04   0.118671E+01   0.809214E-03   0.118671E+01   0.753638E-01  -0.196918E-06   0.809214E-03  -0.196918E-06   0.125484E-06
    46   0.132246E+04   0.107172E+01   0.792159E-03   0.107172E+01   0.810061E-01  -0.239842E-06   0.792159E-03  -0.239842E-06   0.125029E-06
    47   0.134241E+04   0.944647E+00   0.775470E-03   0.944647E+00   0.869094E-01  -0.286142E-06   0.775470E-03  -0.286142E-06   0.124554E-06
    48   0.136252E+04   0.805024E+00   0.759206E-03   0.805024E+00   0.930719E-01  -0.330395E-06   0.759206E-03  -0.330395E-06   0.124061E-06
    49   0.138279E+04   0.652446E+00   0.743424E-03   0.652446E+00   0.994912E-01  -0.367178E-06   0.743424E-03  -0.367178E-06   0.123551E-06
    50   0.140327E+04   0.486652E+00   0.728185E-03   0.486652E+00   0.106176E+00  -0.391071E-06   0.728185E-03  -0.391071E-06   0.123025E-06
    51   0.142403E+04   0.307664E+00   0.713528E-03   0.307664E+00   0.113135E+00  -0.399615E-06   0.713528E-03  -0.399615E-06   0.122485E-06
    52   0.144501E+04   0.116435E+00   0.699420E-03   0.116435E+00   0.120370E+00  -0.402211E-06   0.699420E-03  -0.402211E-06   0.121931E-06
    53   0.146613E+04  -0.860573E-01   0.685812E-03  -0.860573E-01   0.127878E+00  -0.411221E-06   0.685812E-03  -0.411221E-06   0.121366E-06
    54   0.148735E+04  -0.299695E+00   0.672652E-03  -0.299695E+00   0.135657E+00  -0.439010E-06   0.672652E-03  -0.439010E-06   0.120789E-06
    55   0.150868E+04  -0.524729E+00   0.659889E-03  -0.524729E+00   0.143707E+00  -0.497942E-06   0.659889E-03  -0.497942E-06   0.120202E-06
    56   0.153020E+04  -0.762039E+00   0.647483E-03  -0.762039E+00   0.152021E+00  -0.594070E-06   0.647483E-03  -0.594070E-06   0.119606E-06
    57   0.155204E+04  -0.101245E+01   0.635439E-03  -0.101245E+01   0.160601E+00  -0.708203E-06   0.635439E-03  -0.708203E-06   0.119000E-06
    58   0.157414E+04  -0.127610E+01   0.623771E-03  -0.127610E+01   0.169449E+00  -0.814838E-06   0.623771E-03  -0.814838E-06   0.118387E-06
    59   0.159643E+04  -0.155284E+01   0.612493E-03  -0.155284E+01   0.178570E+00  -0.888473E-06   0.612493E-03  -0.888473E-06   0.117765E-06
    60   0.161890E+04  -0.184209E+01   0.601620E-03  -0.184209E+01   0.187961E+00  -0.903606E-06   0.601620E-03  -0.903606E-06   0.117136E-06
    61   0.164156E+04  -0.214335E+01   0.591156E-03  -0.214335E+01   0.197620E+00  -0.844000E-06   0.591156E-03  -0.844000E-06   0.116500E-06
    62   0.166440E+04  -0.245671E+01   0.581059E-03  -0.245671E+01   0.207540E+00  -0.730482E-06   0.581059E-03  -0.730482E-06   0.115858E-06
    63   0.168745E+04  -0.278243E+01   0.571278E-03  -0.278243E+01   0.217718E+00  -0.593145E-06   0.571278E-03  -0.593145E-06   0.115211E-06
    64   0.171070E+04  -0.312076E+01   0.561760E-03  -0.312076E+01   0.228147E+00  -0.462082E-06   0.561760E-03  -0.462082E-06   0.114560E-06
    65   0.173417E+04  -0.347202E+01   0.552454E-03  -0.347202E+01   0.238826E+00  -0.367386E-06   0.552454E-03  -0.367386E-06   0.113905E-06
    66   0.175790E+04  -0.383650E+01   0.543317E-03  -0.383650E+01   0.249745E+00  -0.332103E-06   0.543317E-03  -0.332103E-06   0.113249E-06
    67   0.178186E+04  -0.421365E+01   0.534344E-03  -0.421365E+01   0.260900E+00  -0.351095E-06   0.534344E-03  -0.351095E-06   0.112590E-06
    68   0.180603E+04  -0.460271E+01   0.525539E-03  -0.460271E+01   0.272283E+00  -0.412175E-06   0.525539E-03  -0.412175E-06   0.111930E-06
    69   0.183035E+04  -0.500293E+01   0.516907E-03  -0.500293E+01   0.283891E+00  -0.503159E-06   0.516907E-03  -0.503159E-06   0.111268E-06
    70   0.185480E+04  -0.541375E+01   0.508452E-03  -0.541375E+01   0.295719E+00  -0.611860E-06   0.508452E-03  -0.611860E-06   0.110606E-06
    71   0.187936E+04  -0.583497E+01   0.500180E-03  -0.583497E+01   0.307765E+00  -0.726661E-06   0.500180E-03  -0.726661E-06   0.109944E-06
    72   0.190413E+04  -0.626753E+01   0.492109E-03  -0.626753E+01   0.320028E+00  -0.838213E-06   0.492109E-03  -0.838213E-06   0.109281E-06
    73   0.192925E+04  -0.671248E+01   0.484258E-03  -0.671248E+01   0.332503E+00  -0.937733E-06   0.484258E-03  -0.937733E-06   0.108618E-06
    74   0.195472E+04  -0.716976E+01   0.476647E-03  -0.716976E+01   0.345180E+00  -0.101644E-05   0.476647E-03  -0.101644E-05   0.107954E-06
    75   0.198054E+04  -0.763901E+01   0.469295E-03  -0.763901E+01   0.358048E+00  -0.106555E-05   0.469295E-03  -0.106555E-05   0.107290E-06
    76   0.200667E+04  -0.811974E+01   0.462215E-03  -0.811974E+01   0.371093E+00  -0.107897E-05   0.462215E-03  -0.107897E-05   0.106626E-06
    77   0.203298E+04  -0.861053E+01   0.455391E-03  -0.861053E+01   0.384309E+00  -0.106139E-05   0.455391E-03  -0.106139E-05   0.105962E-06
    78   0.205944E+04  -0.911094E+01   0.448801E-03  -0.911094E+01   0.397686E+00  -0.102015E-05   0.448801E-03  -0.102015E-05   0.105299E-06
    79   0.208610E+04  -0.962082E+01   0.442423E-03  -0.962082E+01   0.411215E+00  -0.962640E-06   0.442423E-03  -0.962640E-06   0.104636E-06
    80   0.211296E+04  -0.101402E+02   0.436235E-03  -0.101402E+02   0.424889E+00  -0.896215E-06   0.436235E-03  -0.896215E-06   0.103975E-06
    81   0.214005E+04  -0.106688E+02   0.430214E-03  -0.106688E+02   0.438698E+00  -0.827602E-06   0.430214E-03  -0.827602E-06   0.103315E-06
    82   0.216737E+04  -0.112063E+02   0.424346E-03  -0.112063E+02   0.452632E+00  -0.760965E-06   0.424346E-03  -0.760965E-06   0.102657E-06
    83   0.219492E+04  -0.117526E+02   0.418618E-03  -0.117526E+02   0.466679E+00  -0.699825E-06   0.418618E-03  -0.699825E-06   0.102001E-06
    84   0.222270E+04  -0.123071E+02   0.413013E-03  -0.123071E+02   0.480828E+00  -0.647706E-06   0.413013E-03  -0.647706E-06   0.101347E-06
    85   0.225070E+04  -0.128696E+02   0.407520E-03  -0.128696E+02   0.495068E+00  -0.608129E-06   0.407520E-03  -0.608129E-06   0.100695E-06
    86   0.227893E+04  -0.134398E+02   0.402126E-03  -0.134398E+02   0.509388E+00  -0.583544E-06   0.402126E-03  -0.583544E-06   0.100047E-06
    87   0.230735E+04  -0.140171E+02   0.396827E-03  -0.140171E+02   0.523778E+00  -0.572114E-06   0.396827E-03  -0.572114E-06   0.994010E-07
    88   0.233595E+04  -0.146011E+02   0.391625E-03  -0.146011E+02   0.538228E+00  -0.570929E-06   0.391625E-03  -0.570929E-06   0.987582E-07
    89   0.236472E+04  -0.151913E+02   0.386517E-03  -0.151913E+02   0.552728E+00  -0.577080E-06   0.386517E-03  -0.577080E-06   0.981184E-07
    90   0.239367E+04  -0.157874E+02   0.381504E-03  -0.157874E+02   0.567263E+00  -0.587655E-06   0.381504E-03  -0.587655E-06   0.974818E-07
    91   0.242281E+04  -0.163890E+02   0.376585E-03  -0.163890E+02   0.581823E+00  -0.600211E-06   0.376585E-03  -0.600211E-06   0.968484E-07
    92   0.245213E+04  -0.169959E+02   0.371758E-03  -0.169959E+02   0.596394E+00  -0.614161E-06   0.371758E-03  -0.614161E-06   0.962183E-07
    93   0.248166E+04  -0.176077E+02   0.367022E-03  -0.176077E+02   0.610964E+00  -0.629383E-06   0.367022E-03  -0.629383E-06   0.955916E-07
    94   0.251138E+04  -0.182241E+02   0.362374E-03  -0.182241E+02   0.625521E+00  -0.645757E-06   0.362374E-03  -0.645757E-06   0.949682E-07
    95   0.254132E+04  -0.188447E+02   0.357812E-03  -0.188447E+02   0.640051E+00  -0.663160E-06   0.357812E-03  -0.663160E-06   0.943483E-07
    96   0.257146E+04  -0.194692E+02   0.353336E-03  -0.194692E+02   0.654542E+00  -0.681473E-06   0.353336E-03  -0.681473E-06   0.937319E-07
    97   0.260181E+04  -0.200971E+02   0.348943E-03  -0.200971E+02   0.668980E+00  -0.700572E-06   0.348943E-03  -0.700572E-06   0.931191E-07
    98   0.263237E+04  -0.207280E+02   0.344630E-03  -0.207280E+02   0.683353E+00  -0.720337E-06   0.344630E-03  -0.720337E-06   0.925098E-07
    99   0.266313E+04  -0.213615E+02   0.340397E-03  -0.213615E+02   0.697647E+00  -0.740647E-06   0.340397E-03  -0.740647E-06   0.919041E-07
   100   0.269410E+04  -0.219972E+02   0.336241E-03  -0.219972E+02   0.711851E+00  -0.761380E-06   0.336241E-03  -0.761380E-06   0.913021E-07
   101   0.272528E+04  -0.226345E+02   0.332161E-03  -0.226345E+02   0.725954E+00  -0.782415E-06   0.332161E-03  -0.782415E-06   0.907038E-07
