#    L    TT             EE             BB             TE          
   307   0.416986E+04   0.936109E+01   0.268371E-01   0.121790E+03
   308   0.413651E+04   0.954056E+01   0.269643E-01   0.122142E+03
   309   0.410308E+04   0.972110E+01   0.270909E-01   0.122460E+03
   310   0.406959E+04   0.990257E+01   0.272168E-01   0.122743E+03
   311   0.403605E+04   0.100851E+02   0.273420E-01   0.122989E+03
   312   0.400248E+04   0.102684E+02   0.274665E-01   0.123201E+03
   313   0.396887E+04   0.104527E+02   0.275903E-01   0.123376E+03
   314   0.393525E+04   0.106376E+02   0.277134E-01   0.123515E+03
   315   0.390162E+04   0.108233E+02   0.278358E-01   0.123618E+03
   316   0.386799E+04   0.110097E+02   0.279575E-01   0.123684E+03
   317   0.383437E+04   0.111967E+02   0.280785E-01   0.123715E+03
   318   0.380078E+04   0.113843E+02   0.281988E-01   0.123709E+03
   319   0.376722E+04   0.115723E+02   0.283184E-01   0.123665E+03
   320   0.373369E+04   0.117608E+02   0.284373E-01   0.123586E+03
   321   0.370023E+04   0.119497E+02   0.285555E-01   0.123470E+03
   322   0.366682E+04   0.121389E+02   0.286729E-01   0.123317E+03
   323   0.363348E+04   0.123283E+02   0.287897E-01   0.123126E+03
   324   0.360022E+04   0.125179E+02   0.289058E-01   0.122900E+03
   325   0.356705E+04   0.127076E+02   0.290211E-01   0.122637E+03
   326   0.353397E+04   0.128975E+02   0.291358E-01   0.122337E+03
   327   0.350100E+04   0.130873E+02   0.292498E-01   0.121999E+03
   328   0.346815E+04   0.132771E+02   0.293630E-01   0.121625E+03
   329   0.343542E+04   0.134667E+02   0.294756E-01   0.121216E+03
   330   0.340282E+04   0.136561E+02   0.295876E-01   0.120769E+03
   331   0.337036E+04   0.138453E+02   0.296988E-01   0.120286E+03
   332   0.333806E+04   0.140343E+02   0.298094E-01   0.119766E+03
   333   0.330590E+04   0.142228E+02   0.299193E-01   0.119211E+03
   334   0.327391E+04   0.144108E+02   0.300286E-01   0.118619E+03
   335   0.324210E+04   0.145984E+02   0.301372E-01   0.117992E+03
   336   0.321047E+04   0.147854E+02   0.302452E-01   0.117330E+03
   337   0.317903E+04   0.149718E+02   0.303525E-01   0.116632E+03
   338   0.314779E+04   0.151575E+02   0.304593E-01   0.115900E+03
   339   0.311675E+04   0.153425E+02   0.305654E-01   0.115133E+03
   340   0.308593E+04   0.155267E+02   0.306709E-01   0.114332E+03
   341   0.305533E+04   0.157100E+02   0.307759E-01   0.113497E+03
   342   0.302495E+04   0.158924E+02   0.308803E-01   0.112628E+03
   343   0.299481E+04   0.160738E+02   0.309841E-01   0.111725E+03
   344   0.296489E+04   0.162541E+02   0.310874E-01   0.110788E+03
   345   0.293521E+04   0.164332E+02   0.311901E-01   0.109818E+03
   346   0.290578E+04   0.166111E+02   0.312923E-01   0.108814E+03
   347   0.287659E+04   0.167877E+02   0.313941E-01   0.107777E+03
   348   0.284765E+04   0.169628E+02   0.314953E-01   0.106707E+03
   349   0.281899E+04   0.171366E+02   0.315960E-01   0.105606E+03
   350   0.279058E+04   0.173090E+02   0.316963E-01   0.104473E+03
   351   0.276246E+04   0.174799E+02   0.317962E-01   0.103309E+03
   352   0.273463E+04   0.176494E+02   0.318956E-01   0.102115E+03
