#    L    TT             EE             BB             TE             PP             TP             EP          
   102   0.275666E+04   0.739933E+00   0.000000E+00  -0.232733E+02   0.901097E-07   0.328158E-03  -0.803663E-06
   103   0.278823E+04   0.753792E+00   0.000000E+00  -0.239127E+02   0.895190E-07   0.324223E-03  -0.824936E-06
   104   0.282000E+04   0.767501E+00   0.000000E+00  -0.245525E+02   0.889321E-07   0.320358E-03  -0.846145E-06
   105   0.285195E+04   0.781055E+00   0.000000E+00  -0.251921E+02   0.883491E-07   0.316561E-03  -0.867169E-06
   106   0.288408E+04   0.794441E+00   0.000000E+00  -0.258310E+02   0.877700E-07   0.312831E-03  -0.887887E-06
   107   0.291639E+04   0.807653E+00   0.000000E+00  -0.264686E+02   0.871948E-07   0.309165E-03  -0.908178E-06
   108   0.294886E+04   0.820670E+00   0.000000E+00  -0.271045E+02   0.866237E-07   0.305561E-03  -0.927920E-06
   109   0.298150E+04   0.833487E+00   0.000000E+00  -0.277381E+02   0.860567E-07   0.302018E-03  -0.946994E-06
   110   0.301430E+04   0.846083E+00   0.000000E+00  -0.283690E+02   0.854939E-07   0.298535E-03  -0.965277E-06
   111   0.304724E+04   0.858451E+00   0.000000E+00  -0.289968E+02   0.849352E-07   0.295108E-03  -0.982667E-06
   112   0.308034E+04   0.870585E+00   0.000000E+00  -0.296206E+02   0.843807E-07   0.291738E-03  -0.999135E-06
   113   0.311357E+04   0.882463E+00   0.000000E+00  -0.302402E+02   0.838303E-07   0.288425E-03  -0.101467E-05
   114   0.314694E+04   0.894069E+00   0.000000E+00  -0.308549E+02   0.832841E-07   0.285167E-03  -0.102926E-05
   115   0.318043E+04   0.905404E+00   0.000000E+00  -0.314642E+02   0.827420E-07   0.281965E-03  -0.104289E-05
   116   0.321405E+04   0.916452E+00   0.000000E+00  -0.320677E+02   0.822041E-07   0.278817E-03  -0.105556E-05
   117   0.324779E+04   0.927193E+00   0.000000E+00  -0.326647E+02   0.816703E-07   0.275724E-03  -0.106725E-05
   118   0.328163E+04   0.937624E+00   0.000000E+00  -0.332547E+02   0.811406E-07   0.272684E-03  -0.107795E-05
