#    L    TT             EE             TE             PP             TP          
   118   0.328542E+04   0.100376E+01  -0.347113E+02   0.418580E+07   0.507946E+04
   119   0.331953E+04   0.101361E+01  -0.352986E+02   0.416069E+07   0.502593E+04
   120   0.335374E+04   0.102307E+01  -0.358764E+02   0.413575E+07   0.497318E+04
   121   0.338803E+04   0.103213E+01  -0.364441E+02   0.411098E+07   0.492123E+04
   122   0.342240E+04   0.104079E+01  -0.370012E+02   0.408639E+07   0.487007E+04
   123   0.345684E+04   0.104902E+01  -0.375471E+02   0.406196E+07   0.481972E+04
   124   0.349134E+04   0.105683E+01  -0.380813E+02   0.403771E+07   0.477016E+04
   125   0.352589E+04   0.106420E+01  -0.386032E+02   0.401363E+07   0.472142E+04
   126   0.356049E+04   0.107112E+01  -0.391123E+02   0.398973E+07   0.467349E+04
   127   0.359512E+04   0.107760E+01  -0.396081E+02   0.396600E+07   0.462637E+04
   128   0.362977E+04   0.108362E+01  -0.400900E+02   0.394244E+07   0.458007E+04
   129   0.366444E+04   0.108918E+01  -0.405575E+02   0.391906E+07   0.453460E+04
   130   0.369913E+04   0.109425E+01  -0.410101E+02   0.389585E+07   0.448995E+04
   131   0.373380E+04   0.109885E+01  -0.414472E+02   0.387282E+07   0.444613E+04
   132   0.376848E+04   0.110298E+01  -0.418684E+02   0.384997E+07   0.440311E+04
   133   0.380313E+04   0.110661E+01  -0.422732E+02   0.382729E+07   0.436088E+04
   134   0.383776E+04   0.110976E+01  -0.426611E+02   0.380478E+07   0.431940E+04
   135   0.387236E+04   0.111241E+01  -0.430317E+02   0.378244E+07   0.427864E+04
   136   0.390692E+04   0.111458E+01  -0.433845E+02   0.376028E+07   0.423860E+04
   137   0.394144E+04   0.111624E+01  -0.437188E+02   0.373828E+07   0.419923E+04
   138   0.397590E+04   0.111741E+01  -0.440345E+02   0.371646E+07   0.416052E+04
   139   0.401029E+04   0.111809E+01  -0.443311E+02   0.369480E+07   0.412244E+04
   140   0.404462E+04   0.111827E+01  -0.446081E+02   0.367331E+07   0.408496E+04
   141   0.407887E+04   0.111796E+01  -0.448651E+02   0.365198E+07   0.404806E+04
   142   0.411303E+04   0.111715E+01  -0.451018E+02   0.363082E+07   0.401172E+04
   143   0.414710E+04   0.111586E+01  -0.453177E+02   0.360982E+07   0.397591E+04
   144   0.418107E+04   0.111408E+01  -0.455124E+02   0.358899E+07   0.394060E+04
   145   0.421492E+04   0.111181E+01  -0.456855E+02   0.356832E+07   0.390576E+04
   146   0.424863E+04   0.110907E+01  -0.458367E+02   0.354781E+07   0.387139E+04
   147   0.428220E+04   0.110586E+01  -0.459654E+02   0.352746E+07   0.383744E+04
   148   0.431561E+04   0.110218E+01  -0.460714E+02   0.350727E+07   0.380389E+04
   149   0.434885E+04   0.109804E+01  -0.461542E+02   0.348723E+07   0.377073E+04
   150   0.438190E+04   0.109345E+01  -0.462134E+02   0.346735E+07   0.373791E+04
   151   0.441474E+04   0.108842E+01  -0.462487E+02   0.344763E+07   0.370543E+04
   152   0.444738E+04   0.108294E+01  -0.462598E+02   0.342807E+07   0.367328E+04
   153   0.447981E+04   0.107705E+01  -0.462464E+02   0.340865E+07   0.364144E+04
   154   0.451201E+04   0.107075E+01  -0.462083E+02   0.338939E+07   0.360994E+04
   155   0.454399E+04   0.106404E+01  -0.461452E+02   0.337029E+07   0.357875E+04
   156   0.457575E+04   0.105694E+01  -0.460569E+02   0.335133E+07   0.354788E+04
   157   0.460727E+04   0.104946E+01  -0.459430E+02   0.333253E+07   0.351734E+04
   158   0.463856E+04   0.104163E+01  -0.458035E+02   0.331387E+07   0.348710E+04
   159   0.466960E+04   0.103343E+01  -0.456380E+02   0.329536E+07   0.345719E+04
