#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    57   0.156511E+04  -0.103109E+01   0.683403E-03  -0.103109E+01   0.178614E+00  -0.847022E-06   0.683403E-03  -0.847022E-06   0.130461E-06
    58   0.158676E+04  -0.131128E+01   0.671554E-03  -0.131128E+01   0.188400E+00  -0.717728E-06   0.671554E-03  -0.717728E-06   0.129849E-06
    59   0.160859E+04  -0.160547E+01   0.660084E-03  -0.160547E+01   0.198478E+00  -0.578951E-06   0.660084E-03  -0.578951E-06   0.129226E-06
    60   0.163060E+04  -0.191315E+01   0.648935E-03  -0.191315E+01   0.208840E+00  -0.459675E-06   0.648935E-03  -0.459675E-06   0.128594E-06
    61   0.165278E+04  -0.223384E+01   0.638057E-03  -0.223384E+01   0.219480E+00  -0.383623E-06   0.638057E-03  -0.383623E-06   0.127954E-06
    62   0.167515E+04  -0.256757E+01   0.627419E-03  -0.256757E+01   0.230393E+00  -0.353479E-06   0.627419E-03  -0.353479E-06   0.127306E-06
    63   0.169771E+04  -0.291445E+01   0.616998E-03  -0.291445E+01   0.241577E+00  -0.366668E-06   0.616998E-03  -0.366668E-06   0.126652E-06
    64   0.172049E+04  -0.327463E+01   0.606769E-03  -0.327463E+01   0.253031E+00  -0.420614E-06   0.606769E-03  -0.420614E-06   0.125992E-06
    65   0.174350E+04  -0.364828E+01   0.596708E-03  -0.364828E+01   0.264753E+00  -0.512743E-06   0.596708E-03  -0.512743E-06   0.125327E-06
    66   0.176677E+04  -0.403564E+01   0.586802E-03  -0.403564E+01   0.276736E+00  -0.637705E-06   0.586802E-03  -0.637705E-06   0.124659E-06
    67   0.179030E+04  -0.443615E+01   0.577084E-03  -0.443615E+01   0.288973E+00  -0.779053E-06   0.577084E-03  -0.779053E-06   0.123988E-06
    68   0.181404E+04  -0.484911E+01   0.567598E-03  -0.484911E+01   0.301456E+00  -0.917567E-06   0.567598E-03  -0.917567E-06   0.123314E-06
    69   0.183795E+04  -0.527382E+01   0.558388E-03  -0.527382E+01   0.314176E+00  -0.103403E-05   0.558388E-03  -0.103403E-05   0.122637E-06
    70   0.186200E+04  -0.570979E+01   0.549499E-03  -0.570979E+01   0.327127E+00  -0.110921E-05   0.549499E-03  -0.110921E-05   0.121959E-06
    71   0.188616E+04  -0.615682E+01   0.540961E-03  -0.615682E+01   0.340304E+00  -0.112930E-05   0.540961E-03  -0.112930E-05   0.121280E-06
    72   0.191056E+04  -0.661583E+01   0.532754E-03  -0.661583E+01   0.353704E+00  -0.110206E-05   0.532754E-03  -0.110206E-05   0.120600E-06
    73   0.193529E+04  -0.708778E+01   0.524844E-03  -0.708778E+01   0.367322E+00  -0.104069E-05   0.524844E-03  -0.104069E-05   0.119918E-06
    74   0.196038E+04  -0.757257E+01   0.517197E-03  -0.757257E+01   0.381145E+00  -0.958348E-06   0.517197E-03  -0.958348E-06   0.119235E-06
    75   0.198583E+04  -0.806977E+01   0.509780E-03  -0.806977E+01   0.395162E+00  -0.868216E-06   0.509780E-03  -0.868216E-06   0.118551E-06
    76   0.201159E+04  -0.857883E+01   0.502561E-03  -0.857883E+01   0.409360E+00  -0.782168E-06   0.502561E-03  -0.782168E-06   0.117865E-06
    77   0.203753E+04  -0.909830E+01   0.495514E-03  -0.909830E+01   0.423727E+00  -0.706873E-06   0.495514E-03  -0.706873E-06   0.117179E-06
    78   0.206364E+04  -0.962773E+01   0.488615E-03  -0.962773E+01   0.438251E+00  -0.647695E-06   0.488615E-03  -0.647695E-06   0.116493E-06
    79   0.208996E+04  -0.101670E+02   0.481841E-03  -0.101670E+02   0.452921E+00  -0.610002E-06   0.481841E-03  -0.610002E-06   0.115806E-06
    80   0.211652E+04  -0.107160E+02   0.475167E-03  -0.107160E+02   0.467726E+00  -0.599159E-06   0.475167E-03  -0.599159E-06   0.115121E-06
    81   0.214333E+04  -0.112745E+02   0.468576E-03  -0.112745E+02   0.482653E+00  -0.618364E-06   0.468576E-03  -0.618364E-06   0.114435E-06
    82   0.217042E+04  -0.118422E+02   0.462076E-03  -0.118422E+02   0.497694E+00  -0.662140E-06   0.462076E-03  -0.662140E-06   0.113752E-06
    83   0.219775E+04  -0.124187E+02   0.455678E-03  -0.124187E+02   0.512837E+00  -0.722844E-06   0.455678E-03  -0.722844E-06   0.113069E-06
    84   0.222532E+04  -0.130036E+02   0.449398E-03  -0.130036E+02   0.528070E+00  -0.792830E-06   0.449398E-03  -0.792830E-06   0.112388E-06
    85   0.225313E+04  -0.135966E+02   0.443247E-03  -0.135966E+02   0.543383E+00  -0.864455E-06   0.443247E-03  -0.864455E-06   0.111710E-06
    86   0.228118E+04  -0.141971E+02   0.437238E-03  -0.141971E+02   0.558766E+00  -0.931254E-06   0.437238E-03  -0.931254E-06   0.111033E-06
    87   0.230944E+04  -0.148046E+02   0.431370E-03  -0.148046E+02   0.574206E+00  -0.991487E-06   0.431370E-03  -0.991487E-06   0.110359E-06
    88   0.233787E+04  -0.154187E+02   0.425641E-03  -0.154187E+02   0.589690E+00  -0.104460E-05   0.425641E-03  -0.104460E-05   0.109687E-06
    89   0.236650E+04  -0.160389E+02   0.420049E-03  -0.160389E+02   0.605204E+00  -0.109002E-05   0.420049E-03  -0.109002E-05   0.109018E-06
    90   0.239533E+04  -0.166648E+02   0.414593E-03  -0.166648E+02   0.620733E+00  -0.112720E-05   0.414593E-03  -0.112720E-05   0.108352E-06
    91   0.242437E+04  -0.172961E+02   0.409270E-03  -0.172961E+02   0.636261E+00  -0.115579E-05   0.409270E-03  -0.115579E-05   0.107689E-06
    92   0.245361E+04  -0.179324E+02   0.404075E-03  -0.179324E+02   0.651775E+00  -0.117624E-05   0.404075E-03  -0.117624E-05   0.107029E-06
    93   0.248307E+04  -0.185732E+02   0.399005E-03  -0.185732E+02   0.667260E+00  -0.118922E-05   0.399005E-03  -0.118922E-05   0.106372E-06
    94   0.251275E+04  -0.192184E+02   0.394055E-03  -0.192184E+02   0.682703E+00  -0.119542E-05   0.394055E-03  -0.119542E-05   0.105718E-06
    95   0.254266E+04  -0.198675E+02   0.389221E-03  -0.198675E+02   0.698089E+00  -0.119548E-05   0.389221E-03  -0.119548E-05   0.105067E-06
    96   0.257279E+04  -0.205199E+02   0.384499E-03  -0.205199E+02   0.713404E+00  -0.119010E-05   0.384499E-03  -0.119010E-05   0.104419E-06
    97   0.260315E+04  -0.211753E+02   0.379884E-03  -0.211753E+02   0.728633E+00  -0.117992E-05   0.379884E-03  -0.117992E-05   0.103775E-06
    98   0.263374E+04  -0.218332E+02   0.375371E-03  -0.218332E+02   0.743762E+00  -0.116563E-05   0.375371E-03  -0.116563E-05   0.103133E-06
    99   0.266453E+04  -0.224931E+02   0.370957E-03  -0.224931E+02   0.758775E+00  -0.114790E-05   0.370957E-03  -0.114790E-05   0.102496E-06
   100   0.269556E+04  -0.231545E+02   0.366637E-03  -0.231545E+02   0.773662E+00  -0.112738E-05   0.366637E-03  -0.112738E-05   0.101861E-06
   101   0.272679E+04  -0.238169E+02   0.362406E-03  -0.238169E+02   0.788408E+00  -0.110476E-05   0.362406E-03  -0.110476E-05   0.101231E-06
   102   0.275825E+04  -0.244800E+02   0.358261E-03  -0.244800E+02   0.802991E+00  -0.108070E-05   0.358261E-03  -0.108070E-05   0.100604E-06
   103   0.278991E+04  -0.251429E+02   0.354197E-03  -0.251429E+02   0.817410E+00  -0.105587E-05   0.354197E-03  -0.105587E-05   0.999800E-07
   104   0.282178E+04  -0.258054E+02   0.350209E-03  -0.258054E+02   0.831637E+00  -0.103093E-05   0.350209E-03  -0.103093E-05   0.993601E-07
   105   0.285384E+04  -0.264669E+02   0.346294E-03  -0.264669E+02   0.845665E+00  -0.100657E-05   0.346294E-03  -0.100657E-05   0.987440E-07
   106   0.288608E+04  -0.271266E+02   0.342446E-03  -0.271266E+02   0.859477E+00  -0.983450E-06   0.342446E-03  -0.983450E-06   0.981317E-07
   107   0.291852E+04  -0.277841E+02   0.338663E-03  -0.277841E+02   0.873068E+00  -0.962235E-06   0.338663E-03  -0.962235E-06   0.975233E-07
   108   0.295112E+04  -0.284389E+02   0.334938E-03  -0.284389E+02   0.886416E+00  -0.943599E-06   0.334938E-03  -0.943599E-06   0.969188E-07
   109   0.298389E+04  -0.290903E+02   0.331268E-03  -0.290903E+02   0.899512E+00  -0.928209E-06   0.331268E-03  -0.928209E-06   0.963183E-07
   110   0.301683E+04  -0.297379E+02   0.327649E-03  -0.297379E+02   0.912336E+00  -0.916736E-06   0.327649E-03  -0.916736E-06   0.957218E-07
   111   0.304992E+04  -0.303811E+02   0.324076E-03  -0.303811E+02   0.924879E+00  -0.909680E-06   0.324076E-03  -0.909680E-06   0.951294E-07
   112   0.308316E+04  -0.310192E+02   0.320550E-03  -0.310192E+02   0.937134E+00  -0.906865E-06   0.320550E-03  -0.906865E-06   0.945411E-07
   113   0.311655E+04  -0.316518E+02   0.317071E-03  -0.316518E+02   0.949079E+00  -0.907944E-06   0.317071E-03  -0.907944E-06   0.939569E-07
   114   0.315007E+04  -0.322782E+02   0.313638E-03  -0.322782E+02   0.960699E+00  -0.912574E-06   0.313638E-03  -0.912574E-06   0.933768E-07
   115   0.318373E+04  -0.328979E+02   0.310252E-03  -0.328979E+02   0.971993E+00  -0.920407E-06   0.310252E-03  -0.920407E-06   0.928008E-07
   116   0.321751E+04  -0.335104E+02   0.306913E-03  -0.335104E+02   0.982946E+00  -0.931099E-06   0.306913E-03  -0.931099E-06   0.922288E-07
