#           k/h    P           
   0.114139E+00   0.468305E+04
   0.116445E+00   0.459041E+04
   0.118797E+00   0.450123E+04
   0.121197E+00   0.441358E+04
   0.123645E+00   0.432562E+04
   0.126143E+00   0.423576E+04
   0.128691E+00   0.414292E+04
   0.131291E+00   0.404629E+04
   0.133943E+00   0.394558E+04
   0.136649E+00   0.384087E+04
   0.139409E+00   0.373319E+04
   0.142226E+00   0.362378E+04
   0.145099E+00   0.351373E+04
   0.148030E+00   0.340421E+04
   0.151020E+00   0.329683E+04
   0.154071E+00   0.319309E+04
   0.157184E+00   0.309421E+04
   0.160359E+00   0.300145E+04
   0.163598E+00   0.291590E+04
   0.166903E+00   0.283696E+04
   0.170275E+00   0.276363E+04
   0.173715E+00   0.269543E+04
   0.177224E+00   0.263133E+04
   0.180804E+00   0.256983E+04
   0.184457E+00   0.250987E+04
   0.188183E+00   0.245050E+04
   0.191985E+00   0.239092E+04
   0.195863E+00   0.233067E+04
   0.199820E+00   0.226953E+04
   0.203856E+00   0.220775E+04
   0.207974E+00   0.214622E+04
   0.212176E+00   0.208599E+04
   0.216462E+00   0.202751E+04
   0.220835E+00   0.197112E+04
   0.225296E+00   0.191754E+04
   0.229847E+00   0.186694E+04
   0.234490E+00   0.181887E+04
   0.239227E+00   0.177309E+04
   0.244060E+00   0.172932E+04
   0.248990E+00   0.168700E+04
   0.254020E+00   0.164558E+04
   0.259152E+00   0.160462E+04
   0.264387E+00   0.156410E+04
   0.269728E+00   0.152422E+04
   0.275177E+00   0.148488E+04
   0.280736E+00   0.144717E+04
   0.286407E+00   0.141052E+04
   0.292193E+00   0.137500E+04
   0.298096E+00   0.134097E+04
   0.304118E+00   0.130859E+04
   0.310261E+00   0.127712E+04
   0.316529E+00   0.124662E+04
   0.322923E+00   0.121696E+04
   0.329447E+00   0.118782E+04
   0.336102E+00   0.115948E+04
   0.342892E+00   0.113180E+04
   0.349819E+00   0.110499E+04
   0.356885E+00   0.107895E+04
   0.364095E+00   0.105398E+04
   0.371450E+00   0.102969E+04
   0.378954E+00   0.100634E+04
   0.386609E+00   0.983741E+03
   0.394419E+00   0.961535E+03
   0.402387E+00   0.940017E+03
   0.410516E+00   0.918924E+03
   0.418809E+00   0.898555E+03
   0.427269E+00   0.878763E+03
   0.435901E+00   0.859684E+03
   0.444706E+00   0.841220E+03
   0.453690E+00   0.823264E+03
   0.462855E+00   0.805850E+03
   0.472206E+00   0.788708E+03
   0.481745E+00   0.772101E+03
   0.491477E+00   0.756004E+03
   0.501405E+00   0.740390E+03
   0.511534E+00   0.725208E+03
   0.521868E+00   0.710484E+03
   0.532411E+00   0.696116E+03
   0.543166E+00   0.682104E+03
   0.554139E+00   0.668419E+03
   0.565333E+00   0.655160E+03
   0.576753E+00   0.642258E+03
   0.588404E+00   0.629680E+03
   0.600291E+00   0.617413E+03
   0.612418E+00   0.605427E+03
   0.624789E+00   0.593752E+03
   0.637411E+00   0.582346E+03
   0.650288E+00   0.571221E+03
   0.663424E+00   0.560362E+03
   0.676826E+00   0.549752E+03
   0.690499E+00   0.539375E+03
   0.704448E+00   0.529221E+03
   0.718679E+00   0.519282E+03
   0.733197E+00   0.509553E+03
   0.748009E+00   0.500026E+03
   0.763119E+00   0.490692E+03
   0.778536E+00   0.481542E+03
   0.794263E+00   0.472565E+03
   0.810308E+00   0.463754E+03
   0.826677E+00   0.455100E+03
   0.843378E+00   0.446599E+03
   0.860415E+00   0.438244E+03
   0.877797E+00   0.430030E+03
   0.895529E+00   0.421950E+03
   0.913620E+00   0.413997E+03
   0.932076E+00   0.406165E+03
   0.950906E+00   0.398448E+03
   0.970115E+00   0.390841E+03
   0.989713E+00   0.383341E+03
   0.100971E+01   0.375944E+03
   0.103010E+01   0.368647E+03
   0.105091E+01   0.361444E+03
   0.107214E+01   0.354333E+03
   0.109380E+01   0.347308E+03
   0.111590E+01   0.340368E+03
   0.113844E+01   0.333509E+03
   0.116144E+01   0.326730E+03
   0.118490E+01   0.320030E+03
   0.120884E+01   0.313406E+03
   0.123326E+01   0.306858E+03
   0.125817E+01   0.300382E+03
   0.128359E+01   0.293976E+03
   0.130952E+01   0.287641E+03
   0.133597E+01   0.281376E+03
   0.136296E+01   0.275181E+03
   0.139049E+01   0.269055E+03
   0.141858E+01   0.263000E+03
   0.144724E+01   0.257014E+03
   0.147648E+01   0.251097E+03
   0.150630E+01   0.245250E+03
   0.153673E+01   0.239472E+03
   0.156778E+01   0.233766E+03
   0.159945E+01   0.228131E+03
   0.163176E+01   0.222569E+03
   0.166472E+01   0.217081E+03
   0.169835E+01   0.211667E+03
   0.173266E+01   0.206328E+03
   0.176766E+01   0.201065E+03
   0.180337E+01   0.195879E+03
   0.183980E+01   0.190772E+03
   0.187697E+01   0.185745E+03
   0.191489E+01   0.180798E+03
   0.195357E+01   0.175933E+03
   0.199304E+01   0.171150E+03
   0.203330E+01   0.166450E+03
   0.207437E+01   0.161834E+03
   0.211628E+01   0.157303E+03
   0.215903E+01   0.152857E+03
   0.220265E+01   0.148498E+03
   0.224714E+01   0.144226E+03
   0.229254E+01   0.140041E+03
   0.233885E+01   0.135943E+03
   0.238610E+01   0.131932E+03
   0.243430E+01   0.128009E+03
   0.248348E+01   0.124173E+03
   0.253365E+01   0.120424E+03
   0.258483E+01   0.116761E+03
   0.263705E+01   0.113184E+03
   0.269032E+01   0.109694E+03
   0.274466E+01   0.106288E+03
   0.280011E+01   0.102966E+03
   0.285668E+01   0.997284E+02
   0.291439E+01   0.965733E+02
   0.297326E+01   0.934999E+02
   0.303332E+01   0.905074E+02
   0.309460E+01   0.875947E+02
   0.315712E+01   0.847606E+02
   0.322090E+01   0.820038E+02
   0.328596E+01   0.793229E+02
   0.335234E+01   0.767166E+02
   0.342006E+01   0.741836E+02
   0.348916E+01   0.717224E+02
   0.355964E+01   0.693317E+02
   0.363155E+01   0.670101E+02
   0.370491E+01   0.647561E+02
   0.377976E+01   0.625684E+02
   0.385611E+01   0.604455E+02
   0.393401E+01   0.583860E+02
   0.401348E+01   0.563885E+02
   0.409456E+01   0.544515E+02
   0.417727E+01   0.525735E+02
   0.426166E+01   0.507533E+02
   0.434775E+01   0.489892E+02
   0.443558E+01   0.472801E+02
   0.452519E+01   0.456245E+02
   0.461660E+01   0.440210E+02
   0.470987E+01   0.424683E+02
   0.480501E+01   0.409651E+02
   0.490208E+01   0.395101E+02
   0.500111E+01   0.381020E+02
   0.510214E+01   0.367394E+02
   0.520521E+01   0.354211E+02
   0.531036E+01   0.341458E+02
   0.541763E+01   0.329124E+02
   0.552708E+01   0.317196E+02
   0.563873E+01   0.305663E+02
   0.575264E+01   0.294513E+02
   0.586885E+01   0.283735E+02
   0.598741E+01   0.273318E+02
   0.610836E+01   0.263253E+02
   0.623176E+01   0.253527E+02
   0.635765E+01   0.244131E+02
   0.648609E+01   0.235056E+02
   0.661711E+01   0.226290E+02
   0.675079E+01   0.217826E+02
   0.688716E+01   0.209653E+02
   0.702629E+01   0.201763E+02
   0.716823E+01   0.194146E+02
   0.731304E+01   0.186795E+02
   0.746077E+01   0.179701E+02
   0.761149E+01   0.172857E+02
   0.776525E+01   0.166253E+02
   0.792212E+01   0.159883E+02
   0.808217E+01   0.153739E+02
   0.824543E+01   0.147814E+02
   0.841200E+01   0.142101E+02
   0.858193E+01   0.136594E+02
   0.875530E+01   0.131284E+02
   0.893217E+01   0.126167E+02
   0.911261E+01   0.121236E+02
   0.929670E+01   0.116484E+02
   0.948451E+01   0.111906E+02
   0.967610E+01   0.107496E+02
   0.987158E+01   0.103248E+02
   0.100710E+02   0.991567E+01
   0.102744E+02   0.952171E+01
   0.104820E+02   0.914240E+01
   0.106938E+02   0.877723E+01
   0.109098E+02   0.842571E+01
   0.111302E+02   0.808738E+01
   0.113550E+02   0.776179E+01
   0.115844E+02   0.744849E+01
   0.118184E+02   0.714705E+01
   0.120572E+02   0.685707E+01
   0.123007E+02   0.657813E+01
   0.125492E+02   0.630987E+01
