#           k/h    P           
   0.101232E+00   0.549759E+04
   0.103277E+00   0.533299E+04
   0.105363E+00   0.518574E+04
   0.107492E+00   0.505571E+04
   0.109663E+00   0.494219E+04
   0.111879E+00   0.484315E+04
   0.114139E+00   0.475643E+04
   0.116445E+00   0.467907E+04
   0.118797E+00   0.460774E+04
   0.121197E+00   0.453909E+04
   0.123645E+00   0.446967E+04
   0.126143E+00   0.439632E+04
   0.128691E+00   0.431638E+04
   0.131291E+00   0.422766E+04
   0.133943E+00   0.412906E+04
   0.136649E+00   0.402008E+04
   0.139409E+00   0.390151E+04
   0.142226E+00   0.377469E+04
   0.145099E+00   0.364188E+04
   0.148030E+00   0.350575E+04
   0.151020E+00   0.336969E+04
   0.154071E+00   0.323724E+04
   0.157184E+00   0.311220E+04
   0.160359E+00   0.299796E+04
   0.163598E+00   0.289724E+04
   0.166903E+00   0.281077E+04
   0.170275E+00   0.273801E+04
   0.173715E+00   0.267739E+04
   0.177224E+00   0.262640E+04
   0.180804E+00   0.258189E+04
   0.184457E+00   0.254065E+04
   0.188183E+00   0.249933E+04
   0.191985E+00   0.245452E+04
   0.195863E+00   0.240331E+04
   0.199820E+00   0.234435E+04
   0.203856E+00   0.227799E+04
   0.207974E+00   0.220617E+04
   0.212176E+00   0.213161E+04
   0.216462E+00   0.205750E+04
   0.220835E+00   0.198699E+04
   0.225296E+00   0.192277E+04
   0.229847E+00   0.186662E+04
   0.234490E+00   0.181900E+04
   0.239227E+00   0.177900E+04
   0.244060E+00   0.174470E+04
   0.248990E+00   0.171345E+04
   0.254020E+00   0.168223E+04
   0.259152E+00   0.164834E+04
   0.264387E+00   0.161033E+04
   0.269728E+00   0.156839E+04
   0.275177E+00   0.152401E+04
   0.280736E+00   0.147917E+04
   0.286407E+00   0.143589E+04
   0.292193E+00   0.139596E+04
   0.298096E+00   0.136079E+04
   0.304118E+00   0.133030E+04
   0.310261E+00   0.130285E+04
   0.316529E+00   0.127680E+04
   0.322923E+00   0.125061E+04
   0.329447E+00   0.122284E+04
   0.336102E+00   0.119353E+04
   0.342892E+00   0.116309E+04
   0.349819E+00   0.113311E+04
   0.356885E+00   0.110465E+04
   0.364095E+00   0.107866E+04
   0.371450E+00   0.105469E+04
   0.378954E+00   0.103257E+04
   0.386609E+00   0.101109E+04
   0.394419E+00   0.989230E+03
   0.402387E+00   0.967007E+03
   0.410516E+00   0.944567E+03
   0.418809E+00   0.922666E+03
   0.427269E+00   0.901747E+03
   0.435901E+00   0.882196E+03
   0.444706E+00   0.863691E+03
   0.453690E+00   0.845739E+03
   0.462855E+00   0.828018E+03
   0.472206E+00   0.810235E+03
   0.481745E+00   0.792732E+03
   0.491477E+00   0.775849E+03
   0.501405E+00   0.759655E+03
   0.511534E+00   0.744135E+03
   0.521868E+00   0.729102E+03
   0.532411E+00   0.714312E+03
   0.543166E+00   0.699772E+03
   0.554139E+00   0.685536E+03
   0.565333E+00   0.671804E+03
   0.576753E+00   0.658526E+03
   0.588404E+00   0.645617E+03
   0.600291E+00   0.633011E+03
   0.612418E+00   0.620654E+03
   0.624789E+00   0.608623E+03
   0.637411E+00   0.596899E+03
   0.650288E+00   0.585495E+03
   0.663424E+00   0.574387E+03
   0.676826E+00   0.563549E+03
   0.690499E+00   0.552960E+03
   0.704448E+00   0.542608E+03
   0.718679E+00   0.532488E+03
   0.733197E+00   0.522595E+03
   0.748009E+00   0.512925E+03
   0.763119E+00   0.503467E+03
   0.778536E+00   0.494211E+03
   0.794263E+00   0.485144E+03
   0.810308E+00   0.476258E+03
   0.826677E+00   0.467544E+03
   0.843378E+00   0.458995E+03
   0.860415E+00   0.450604E+03
   0.877797E+00   0.442365E+03
   0.895529E+00   0.434270E+03
   0.913620E+00   0.426311E+03
   0.932076E+00   0.418481E+03
   0.950906E+00   0.410772E+03
   0.970115E+00   0.403179E+03
   0.989713E+00   0.395698E+03
   0.100971E+01   0.388322E+03
   0.103010E+01   0.381047E+03
   0.105091E+01   0.373869E+03
   0.107214E+01   0.366780E+03
   0.109380E+01   0.359777E+03
   0.111590E+01   0.352854E+03
   0.113844E+01   0.346009E+03
   0.116144E+01   0.339239E+03
   0.118490E+01   0.332542E+03
   0.120884E+01   0.325915E+03
   0.123326E+01   0.319354E+03
   0.125817E+01   0.312858E+03
   0.128359E+01   0.306423E+03
   0.130952E+01   0.300047E+03
   0.133597E+01   0.293730E+03
   0.136296E+01   0.287471E+03
   0.139049E+01   0.281270E+03
   0.141858E+01   0.275126E+03
   0.144724E+01   0.269038E+03
