#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    53   0.148116E+04  -0.463560E-01   0.734840E-03  -0.463560E-01   0.142415E+00  -0.774317E-06   0.734840E-03  -0.774317E-06   0.132478E-06
    54   0.150188E+04  -0.273481E+00   0.721015E-03  -0.273481E+00   0.151018E+00  -0.898773E-06   0.721015E-03  -0.898773E-06   0.131913E-06
    55   0.152271E+04  -0.512730E+00   0.707718E-03  -0.512730E+00   0.159920E+00  -0.961248E-06   0.707718E-03  -0.961248E-06   0.131335E-06
    56   0.154375E+04  -0.764972E+00   0.694957E-03  -0.764972E+00   0.169120E+00  -0.937865E-06   0.694957E-03  -0.937865E-06   0.130745E-06
    57   0.156511E+04  -0.103109E+01   0.682687E-03  -0.103109E+01   0.178614E+00  -0.847034E-06   0.682687E-03  -0.847034E-06   0.130145E-06
    58   0.158676E+04  -0.131128E+01   0.670851E-03  -0.131128E+01   0.188400E+00  -0.717739E-06   0.670851E-03  -0.717739E-06   0.129535E-06
    59   0.160859E+04  -0.160547E+01   0.659394E-03  -0.160547E+01   0.198478E+00  -0.578961E-06   0.659394E-03  -0.578961E-06   0.128915E-06
    60   0.163060E+04  -0.191315E+01   0.648259E-03  -0.191315E+01   0.208840E+00  -0.459685E-06   0.648259E-03  -0.459685E-06   0.128285E-06
    61   0.165278E+04  -0.223384E+01   0.637393E-03  -0.223384E+01   0.219480E+00  -0.383634E-06   0.637393E-03  -0.383634E-06   0.127648E-06
    62   0.167515E+04  -0.256757E+01   0.626768E-03  -0.256757E+01   0.230393E+00  -0.353491E-06   0.626768E-03  -0.353491E-06   0.127003E-06
    63   0.169771E+04  -0.291445E+01   0.616360E-03  -0.291445E+01   0.241577E+00  -0.366682E-06   0.616360E-03  -0.366682E-06   0.126351E-06
    64   0.172049E+04  -0.327463E+01   0.606144E-03  -0.327463E+01   0.253031E+00  -0.420631E-06   0.606144E-03  -0.420631E-06   0.125694E-06
    65   0.174350E+04  -0.364828E+01   0.596095E-03  -0.364828E+01   0.264753E+00  -0.512762E-06   0.596095E-03  -0.512762E-06   0.125032E-06
    66   0.176677E+04  -0.403564E+01   0.586201E-03  -0.403564E+01   0.276736E+00  -0.637725E-06   0.586201E-03  -0.637725E-06   0.124367E-06
    67   0.179030E+04  -0.443615E+01   0.576495E-03  -0.443615E+01   0.288973E+00  -0.779074E-06   0.576495E-03  -0.779074E-06   0.123698E-06
    68   0.181404E+04  -0.484911E+01   0.567021E-03  -0.484911E+01   0.301456E+00  -0.917589E-06   0.567021E-03  -0.917589E-06   0.123028E-06
    69   0.183795E+04  -0.527382E+01   0.557823E-03  -0.527382E+01   0.314176E+00  -0.103405E-05   0.557823E-03  -0.103405E-05   0.122355E-06
    70   0.186200E+04  -0.570979E+01   0.548946E-03  -0.570979E+01   0.327127E+00  -0.110923E-05   0.548946E-03  -0.110923E-05   0.121680E-06
    71   0.188616E+04  -0.615682E+01   0.540419E-03  -0.615682E+01   0.340304E+00  -0.112932E-05   0.540419E-03  -0.112932E-05   0.121004E-06
    72   0.191056E+04  -0.661583E+01   0.532223E-03  -0.661583E+01   0.353704E+00  -0.110209E-05   0.532223E-03  -0.110209E-05   0.120326E-06
    73   0.193529E+04  -0.708778E+01   0.524325E-03  -0.708778E+01   0.367322E+00  -0.104071E-05   0.524325E-03  -0.104071E-05   0.119648E-06
    74   0.196038E+04  -0.757257E+01   0.516689E-03  -0.757257E+01   0.381145E+00  -0.958366E-06   0.516689E-03  -0.958366E-06   0.118968E-06
    75   0.198583E+04  -0.806977E+01   0.509283E-03  -0.806977E+01   0.395162E+00  -0.868232E-06   0.509283E-03  -0.868232E-06   0.118287E-06
    76   0.201159E+04  -0.857883E+01   0.502075E-03  -0.857883E+01   0.409360E+00  -0.782183E-06   0.502075E-03  -0.782183E-06   0.117606E-06
    77   0.203753E+04  -0.909830E+01   0.495038E-03  -0.909830E+01   0.423727E+00  -0.706886E-06   0.495038E-03  -0.706886E-06   0.116923E-06
    78   0.206364E+04  -0.962773E+01   0.488150E-03  -0.962773E+01   0.438251E+00  -0.647708E-06   0.488150E-03  -0.647708E-06   0.116240E-06
    79   0.208996E+04  -0.101670E+02   0.481386E-03  -0.101670E+02   0.452921E+00  -0.610013E-06   0.481386E-03  -0.610013E-06   0.115557E-06
    80   0.211652E+04  -0.107160E+02   0.474722E-03  -0.107160E+02   0.467726E+00  -0.599169E-06   0.474722E-03  -0.599169E-06   0.114875E-06
    81   0.214333E+04  -0.112745E+02   0.468141E-03  -0.112745E+02   0.482653E+00  -0.618373E-06   0.468141E-03  -0.618373E-06   0.114193E-06
    82   0.217042E+04  -0.118422E+02   0.461651E-03  -0.118422E+02   0.497694E+00  -0.662149E-06   0.461651E-03  -0.662149E-06   0.113513E-06
    83   0.219775E+04  -0.124187E+02   0.455263E-03  -0.124187E+02   0.512837E+00  -0.722851E-06   0.455263E-03  -0.722851E-06   0.112834E-06
    84   0.222532E+04  -0.130036E+02   0.448992E-03  -0.130036E+02   0.528070E+00  -0.792837E-06   0.448992E-03  -0.792837E-06   0.112157E-06
    85   0.225313E+04  -0.135966E+02   0.442851E-03  -0.135966E+02   0.543383E+00  -0.864461E-06   0.442851E-03  -0.864461E-06   0.111482E-06
    86   0.228118E+04  -0.141971E+02   0.436851E-03  -0.141971E+02   0.558766E+00  -0.931259E-06   0.436851E-03  -0.931259E-06   0.110809E-06
    87   0.230944E+04  -0.148046E+02   0.430992E-03  -0.148046E+02   0.574206E+00  -0.991492E-06   0.430992E-03  -0.991492E-06   0.110139E-06
    88   0.233787E+04  -0.154187E+02   0.425272E-03  -0.154187E+02   0.589690E+00  -0.104460E-05   0.425272E-03  -0.104460E-05   0.109471E-06
    89   0.236650E+04  -0.160389E+02   0.419690E-03  -0.160389E+02   0.605204E+00  -0.109002E-05   0.419690E-03  -0.109002E-05   0.108806E-06
    90   0.239533E+04  -0.166648E+02   0.414242E-03  -0.166648E+02   0.620733E+00  -0.112721E-05   0.414242E-03  -0.112721E-05   0.108143E-06
    91   0.242437E+04  -0.172961E+02   0.408927E-03  -0.172961E+02   0.636261E+00  -0.115579E-05   0.408927E-03  -0.115579E-05   0.107484E-06
    92   0.245361E+04  -0.179324E+02   0.403742E-03  -0.179324E+02   0.651775E+00  -0.117624E-05   0.403742E-03  -0.117624E-05   0.106827E-06
    93   0.248307E+04  -0.185732E+02   0.398680E-03  -0.185732E+02   0.667260E+00  -0.118923E-05   0.398680E-03  -0.118923E-05   0.106174E-06
    94   0.251275E+04  -0.192184E+02   0.393738E-03  -0.192184E+02   0.682703E+00  -0.119542E-05   0.393738E-03  -0.119542E-05   0.105524E-06
    95   0.254266E+04  -0.198675E+02   0.388913E-03  -0.198675E+02   0.698089E+00  -0.119549E-05   0.388913E-03  -0.119549E-05   0.104877E-06
    96   0.257279E+04  -0.205199E+02   0.384198E-03  -0.205199E+02   0.713404E+00  -0.119010E-05   0.384198E-03  -0.119010E-05   0.104233E-06
    97   0.260315E+04  -0.211753E+02   0.379591E-03  -0.211753E+02   0.728633E+00  -0.117993E-05   0.379591E-03  -0.117993E-05   0.103592E-06
    98   0.263374E+04  -0.218332E+02   0.375086E-03  -0.218332E+02   0.743762E+00  -0.116564E-05   0.375086E-03  -0.116564E-05   0.102955E-06
    99   0.266453E+04  -0.224931E+02   0.370679E-03  -0.224931E+02   0.758775E+00  -0.114790E-05   0.370679E-03  -0.114790E-05   0.102321E-06
   100   0.269556E+04  -0.231545E+02   0.366367E-03  -0.231545E+02   0.773662E+00  -0.112738E-05   0.366367E-03  -0.112738E-05   0.101690E-06
   101   0.272679E+04  -0.238169E+02   0.362144E-03  -0.238169E+02   0.788408E+00  -0.110476E-05   0.362144E-03  -0.110476E-05   0.101063E-06
   102   0.275825E+04  -0.244800E+02   0.358006E-03  -0.244800E+02   0.802991E+00  -0.108070E-05   0.358006E-03  -0.108070E-05   0.100440E-06
   103   0.278991E+04  -0.251429E+02   0.353949E-03  -0.251429E+02   0.817410E+00  -0.105587E-05   0.353949E-03  -0.105587E-05   0.998202E-07
   104   0.282178E+04  -0.258054E+02   0.349968E-03  -0.258054E+02   0.831637E+00  -0.103094E-05   0.349968E-03  -0.103094E-05   0.992041E-07
   105   0.285384E+04  -0.264669E+02   0.346060E-03  -0.264669E+02   0.845665E+00  -0.100658E-05   0.346060E-03  -0.100658E-05   0.985918E-07
   106   0.288608E+04  -0.271266E+02   0.342220E-03  -0.271266E+02   0.859477E+00  -0.983453E-06   0.342220E-03  -0.983453E-06   0.979833E-07
   107   0.291852E+04  -0.277841E+02   0.338442E-03  -0.277841E+02   0.873068E+00  -0.962239E-06   0.338442E-03  -0.962239E-06   0.973786E-07
   108   0.295112E+04  -0.284389E+02   0.334724E-03  -0.284389E+02   0.886416E+00  -0.943602E-06   0.334724E-03  -0.943602E-06   0.967779E-07
   109   0.298389E+04  -0.290903E+02   0.331061E-03  -0.290903E+02   0.899512E+00  -0.928213E-06   0.331061E-03  -0.928213E-06   0.961811E-07
   110   0.301683E+04  -0.297379E+02   0.327448E-03  -0.297379E+02   0.912336E+00  -0.916740E-06   0.327448E-03  -0.916740E-06   0.955884E-07
   111   0.304992E+04  -0.303811E+02   0.323882E-03  -0.303811E+02   0.924879E+00  -0.909684E-06   0.323882E-03  -0.909684E-06   0.949998E-07
