#    L    TT             EE             BB             TE          
   197   0.556016E+04   0.695334E+00   0.133899E-01  -0.190978E+02
   198   0.557407E+04   0.692386E+00   0.135413E-01  -0.178989E+02
   199   0.558741E+04   0.690192E+00   0.136935E-01  -0.166773E+02
   200   0.560019E+04   0.688787E+00   0.138465E-01  -0.154335E+02
   201   0.561240E+04   0.688209E+00   0.140002E-01  -0.141677E+02
   202   0.562402E+04   0.688493E+00   0.141548E-01  -0.128805E+02
   203   0.563503E+04   0.689677E+00   0.143100E-01  -0.115722E+02
   204   0.564545E+04   0.691797E+00   0.144661E-01  -0.102431E+02
   205   0.565523E+04   0.694888E+00   0.146228E-01  -0.889394E+01
   206   0.566440E+04   0.698988E+00   0.147803E-01  -0.752490E+01
   207   0.567293E+04   0.704133E+00   0.149385E-01  -0.613642E+01
   208   0.568082E+04   0.710360E+00   0.150974E-01  -0.472910E+01
   209   0.568809E+04   0.717704E+00   0.152569E-01  -0.330348E+01
   210   0.569474E+04   0.726202E+00   0.154171E-01  -0.186011E+01
   211   0.570077E+04   0.735892E+00   0.155780E-01  -0.399552E+00
   212   0.570618E+04   0.746807E+00   0.157395E-01   0.107764E+01
   213   0.571100E+04   0.758987E+00   0.159017E-01   0.257091E+01
   214   0.571521E+04   0.772466E+00   0.160644E-01   0.407970E+01
   215   0.571883E+04   0.787276E+00   0.162278E-01   0.560342E+01
   216   0.572183E+04   0.803460E+00   0.163917E-01   0.714147E+01
   217   0.572422E+04   0.821048E+00   0.165562E-01   0.869324E+01
   218   0.572600E+04   0.840069E+00   0.167213E-01   0.102582E+02
   219   0.572715E+04   0.860568E+00   0.168869E-01   0.118357E+02
   220   0.572768E+04   0.882574E+00   0.170530E-01   0.134252E+02
   221   0.572759E+04   0.906116E+00   0.172196E-01   0.150260E+02
   222   0.572686E+04   0.931239E+00   0.173867E-01   0.166376E+02
   223   0.572550E+04   0.957963E+00   0.175543E-01   0.182592E+02
   224   0.572352E+04   0.986327E+00   0.177223E-01   0.198903E+02
   225   0.572092E+04   0.101635E+01   0.178907E-01   0.215301E+02
   226   0.571770E+04   0.104808E+01   0.180596E-01   0.231779E+02
   227   0.571385E+04   0.108154E+01   0.182289E-01   0.248332E+02
   228   0.570938E+04   0.111676E+01   0.183986E-01   0.264953E+02
   229   0.570430E+04   0.115378E+01   0.185686E-01   0.281634E+02
   230   0.569859E+04   0.119261E+01   0.187389E-01   0.298369E+02
   231   0.569228E+04   0.123328E+01   0.189096E-01   0.315150E+02
   232   0.568535E+04   0.127582E+01   0.190806E-01   0.331972E+02
   233   0.567782E+04   0.132027E+01   0.192519E-01   0.348826E+02
   234   0.566967E+04   0.136664E+01   0.194234E-01   0.365705E+02
   235   0.566092E+04   0.141496E+01   0.195952E-01   0.382604E+02
   236   0.565156E+04   0.146526E+01   0.197672E-01   0.399513E+02
   237   0.564161E+04   0.151756E+01   0.199394E-01   0.416426E+02
   238   0.563106E+04   0.157187E+01   0.201118E-01   0.433336E+02
   239   0.561992E+04   0.162821E+01   0.202843E-01   0.450236E+02
   240   0.560818E+04   0.168663E+01   0.204570E-01   0.467116E+02
   241   0.559586E+04   0.174713E+01   0.206298E-01   0.483972E+02
   242   0.558296E+04   0.180972E+01   0.208027E-01   0.500795E+02
   243   0.556949E+04   0.187444E+01   0.209757E-01   0.517577E+02
   244   0.555543E+04   0.194129E+01   0.211487E-01   0.534312E+02
   245   0.554082E+04   0.201029E+01   0.213217E-01   0.550992E+02
   246   0.552565E+04   0.208145E+01   0.214948E-01   0.567611E+02
   247   0.550993E+04   0.215479E+01   0.216678E-01   0.584162E+02
   248   0.549366E+04   0.223034E+01   0.218408E-01   0.600635E+02
   249   0.547685E+04   0.230808E+01   0.220138E-01   0.617026E+02
   250   0.545950E+04   0.238804E+01   0.221866E-01   0.633326E+02
   251   0.544162E+04   0.247022E+01   0.223594E-01   0.649525E+02
   252   0.542321E+04   0.255464E+01   0.225320E-01   0.665619E+02
   253   0.540426E+04   0.264128E+01   0.227045E-01   0.681598E+02
   254   0.538480E+04   0.273017E+01   0.228769E-01   0.697454E+02
   255   0.536481E+04   0.282130E+01   0.230490E-01   0.713179E+02
   256   0.534430E+04   0.291469E+01   0.232210E-01   0.728767E+02
   257   0.532328E+04   0.301033E+01   0.233927E-01   0.744210E+02
   258   0.530177E+04   0.310821E+01   0.235642E-01   0.759500E+02
   259   0.527977E+04   0.320835E+01   0.237354E-01   0.774639E+02
   260   0.525731E+04   0.331074E+01   0.239063E-01   0.789607E+02
   261   0.523439E+04   0.341539E+01   0.240770E-01   0.804409E+02
   262   0.521102E+04   0.352228E+01   0.242473E-01   0.819033E+02
   263   0.518722E+04   0.363143E+01   0.244173E-01   0.833478E+02
   264   0.516299E+04   0.374281E+01   0.245869E-01   0.847728E+02
   265   0.513834E+04   0.385642E+01   0.247562E-01   0.861792E+02
   266   0.511327E+04   0.397225E+01   0.249250E-01   0.875647E+02
   267   0.508780E+04   0.409029E+01   0.250935E-01   0.889287E+02
   268   0.506192E+04   0.421051E+01   0.252616E-01   0.902717E+02
   269   0.503564E+04   0.433293E+01   0.254292E-01   0.915917E+02
   270   0.500896E+04   0.445751E+01   0.255964E-01   0.928894E+02
   271   0.498191E+04   0.458424E+01   0.257631E-01   0.941626E+02
   272   0.495447E+04   0.471312E+01   0.259294E-01   0.954119E+02
   273   0.492669E+04   0.484410E+01   0.260951E-01   0.966360E+02
   274   0.489854E+04   0.497719E+01   0.262604E-01   0.978356E+02
   275   0.487005E+04   0.511234E+01   0.264251E-01   0.990084E+02
   276   0.484124E+04   0.524956E+01   0.265894E-01   0.100155E+03
   277   0.481211E+04   0.538881E+01   0.267530E-01   0.101275E+03
   278   0.478266E+04   0.553007E+01   0.269162E-01   0.102366E+03
   279   0.475292E+04   0.567331E+01   0.270788E-01   0.103430E+03
   280   0.472289E+04   0.581849E+01   0.272408E-01   0.104464E+03
   281   0.469257E+04   0.596560E+01   0.274022E-01   0.105470E+03
   282   0.466199E+04   0.611460E+01   0.275631E-01   0.106447E+03
   283   0.463115E+04   0.626546E+01   0.277234E-01   0.107393E+03
   284   0.460005E+04   0.641815E+01   0.278830E-01   0.108307E+03
   285   0.456872E+04   0.657263E+01   0.280421E-01   0.109191E+03
   286   0.453715E+04   0.672888E+01   0.282005E-01   0.110044E+03
   287   0.450537E+04   0.688685E+01   0.283583E-01   0.110865E+03
   288   0.447338E+04   0.704650E+01   0.285155E-01   0.111652E+03
   289   0.444119E+04   0.720780E+01   0.286720E-01   0.112408E+03
   290   0.440882E+04   0.737070E+01   0.288279E-01   0.113130E+03
   291   0.437627E+04   0.753519E+01   0.289831E-01   0.113818E+03
   292   0.434355E+04   0.770114E+01   0.291377E-01   0.114473E+03
   293   0.431067E+04   0.786860E+01   0.292916E-01   0.115093E+03
   294   0.427765E+04   0.803752E+01   0.294449E-01   0.115678E+03
   295   0.424448E+04   0.820775E+01   0.295975E-01   0.116228E+03
   296   0.421119E+04   0.837935E+01   0.297494E-01   0.116743E+03
   297   0.417777E+04   0.855217E+01   0.299006E-01   0.117221E+03
   298   0.414424E+04   0.872623E+01   0.300511E-01   0.117663E+03
   299   0.411061E+04   0.890144E+01   0.302010E-01   0.118069E+03
   300   0.407688E+04   0.907773E+01   0.303501E-01   0.118438E+03
   301   0.404309E+04   0.925517E+01   0.304986E-01   0.118770E+03
   302   0.400922E+04   0.943354E+01   0.306463E-01   0.119065E+03
   303   0.397531E+04   0.961292E+01   0.307934E-01   0.119323E+03
   304   0.394135E+04   0.979323E+01   0.309397E-01   0.119544E+03
   305   0.390737E+04   0.997440E+01   0.310854E-01   0.119728E+03
   306   0.387336E+04   0.101564E+02   0.312303E-01   0.119874E+03
   307   0.383935E+04   0.103392E+02   0.313746E-01   0.119983E+03
   308   0.380534E+04   0.105226E+02   0.315181E-01   0.120054E+03
   309   0.377135E+04   0.107067E+02   0.316610E-01   0.120087E+03
   310   0.373736E+04   0.108913E+02   0.318031E-01   0.120083E+03
   311   0.370342E+04   0.110764E+02   0.319445E-01   0.120040E+03
   312   0.366951E+04   0.112619E+02   0.320852E-01   0.119960E+03
   313   0.363566E+04   0.114479E+02   0.322253E-01   0.119841E+03
   314   0.360186E+04   0.116341E+02   0.323646E-01   0.119684E+03
   315   0.356814E+04   0.118205E+02   0.325032E-01   0.119488E+03
   316   0.353449E+04   0.120072E+02   0.326411E-01   0.119255E+03
   317   0.350094E+04   0.121939E+02   0.327784E-01   0.118984E+03
   318   0.346749E+04   0.123807E+02   0.329149E-01   0.118675E+03
   319   0.343416E+04   0.125674E+02   0.330508E-01   0.118327E+03
   320   0.340093E+04   0.127541E+02   0.331860E-01   0.117942E+03
   321   0.336785E+04   0.129407E+02   0.333206E-01   0.117520E+03
   322   0.333490E+04   0.131269E+02   0.334544E-01   0.117059E+03
   323   0.330211E+04   0.133129E+02   0.335876E-01   0.116561E+03
   324   0.326947E+04   0.134985E+02   0.337202E-01   0.116026E+03
   325   0.323700E+04   0.136836E+02   0.338521E-01   0.115454E+03
   326   0.320470E+04   0.138683E+02   0.339834E-01   0.114845E+03
   327   0.317260E+04   0.140524E+02   0.341141E-01   0.114199E+03
   328   0.314068E+04   0.142358E+02   0.342441E-01   0.113516E+03
   329   0.310897E+04   0.144185E+02   0.343736E-01   0.112797E+03
   330   0.307748E+04   0.146003E+02   0.345025E-01   0.112043E+03
   331   0.304620E+04   0.147813E+02   0.346308E-01   0.111252E+03
   332   0.301516E+04   0.149615E+02   0.347585E-01   0.110425E+03
   333   0.298434E+04   0.151405E+02   0.348857E-01   0.109564E+03
   334   0.295377E+04   0.153185E+02   0.350123E-01   0.108668E+03
   335   0.292347E+04   0.154953E+02   0.351384E-01   0.107737E+03
   336   0.289342E+04   0.156708E+02   0.352640E-01   0.106772E+03
   337   0.286364E+04   0.158451E+02   0.353891E-01   0.105774E+03
   338   0.283414E+04   0.160181E+02   0.355138E-01   0.104742E+03
   339   0.280493E+04   0.161896E+02   0.356380E-01   0.103678E+03
   340   0.277601E+04   0.163597E+02   0.357617E-01   0.102582E+03
   341   0.274739E+04   0.165282E+02   0.358850E-01   0.101453E+03
   342   0.271908E+04   0.166950E+02   0.360079E-01   0.100293E+03
   343   0.269107E+04   0.168601E+02   0.361304E-01   0.991018E+02
   344   0.266338E+04   0.170233E+02   0.362526E-01   0.978791E+02
   345   0.263601E+04   0.171847E+02   0.363744E-01   0.966259E+02
   346   0.260896E+04   0.173441E+02   0.364958E-01   0.953419E+02
   347   0.258223E+04   0.175014E+02   0.366170E-01   0.940280E+02
   348   0.255585E+04   0.176565E+02   0.367378E-01   0.926841E+02
   349   0.252980E+04   0.178096E+02   0.368584E-01   0.913125E+02
   350   0.250411E+04   0.179604E+02   0.369788E-01   0.899125E+02
   351   0.247878E+04   0.181090E+02   0.370989E-01   0.884854E+02
   352   0.245381E+04   0.182553E+02   0.372188E-01   0.870322E+02
   353   0.242922E+04   0.183992E+02   0.373385E-01   0.855527E+02
   354   0.240500E+04   0.185407E+02   0.374581E-01   0.840493E+02
   355   0.238117E+04   0.186798E+02   0.375775E-01   0.825210E+02
   356   0.235773E+04   0.188163E+02   0.376968E-01   0.809688E+02
   357   0.233468E+04   0.189502E+02   0.378160E-01   0.793934E+02
   358   0.231202E+04   0.190815E+02   0.379352E-01   0.777954E+02
   359   0.228977E+04   0.192099E+02   0.380542E-01   0.761749E+02
   360   0.226791E+04   0.193356E+02   0.381733E-01   0.745334E+02
   361   0.224646E+04   0.194583E+02   0.382923E-01   0.728699E+02
   362   0.222541E+04   0.195781E+02   0.384114E-01   0.711861E+02
   363   0.220478E+04   0.196949E+02   0.385304E-01   0.694827E+02
   364   0.218456E+04   0.198087E+02   0.386496E-01   0.677604E+02
   365   0.216476E+04   0.199194E+02   0.387688E-01   0.660199E+02
   366   0.214539E+04   0.200268E+02   0.388881E-01   0.642621E+02
   367   0.212643E+04   0.201312E+02   0.390075E-01   0.624877E+02
   368   0.210791E+04   0.202322E+02   0.391271E-01   0.606975E+02
   369   0.208981E+04   0.203300E+02   0.392468E-01   0.588923E+02
   370   0.207216E+04   0.204244E+02   0.393667E-01   0.570727E+02
   371   0.205493E+04   0.205155E+02   0.394868E-01   0.552397E+02
   372   0.203814E+04   0.206032E+02   0.396072E-01   0.533938E+02
   373   0.202179E+04   0.206874E+02   0.397277E-01   0.515359E+02
   374   0.200587E+04   0.207682E+02   0.398486E-01   0.496669E+02
   375   0.199039E+04   0.208454E+02   0.399697E-01   0.477873E+02
   376   0.197535E+04   0.209191E+02   0.400911E-01   0.458979E+02
   377   0.196076E+04   0.209891E+02   0.402129E-01   0.439995E+02
   378   0.194660E+04   0.210555E+02   0.403349E-01   0.420929E+02
   379   0.193289E+04   0.211181E+02   0.404574E-01   0.401787E+02
   380   0.191962E+04   0.211770E+02   0.405802E-01   0.382577E+02
   381   0.190680E+04   0.212321E+02   0.407034E-01   0.363306E+02
   382   0.189442E+04   0.212833E+02   0.408271E-01   0.343983E+02
   383   0.188250E+04   0.213308E+02   0.409511E-01   0.324615E+02
   384   0.187101E+04   0.213743E+02   0.410757E-01   0.305210E+02
   385   0.185996E+04   0.214140E+02   0.412007E-01   0.285777E+02
   386   0.184936E+04   0.214499E+02   0.413261E-01   0.266325E+02
   387   0.183921E+04   0.214819E+02   0.414521E-01   0.246861E+02
   388   0.182949E+04   0.215101E+02   0.415786E-01   0.227395E+02
   389   0.182020E+04   0.215344E+02   0.417057E-01   0.207933E+02
   390   0.181136E+04   0.215548E+02   0.418333E-01   0.188484E+02
   391   0.180296E+04   0.215714E+02   0.419615E-01   0.169057E+02
   392   0.179498E+04   0.215840E+02   0.420902E-01   0.149659E+02
   393   0.178745E+04   0.215927E+02   0.422196E-01   0.130298E+02
   394   0.178033E+04   0.215975E+02   0.423496E-01   0.110981E+02
