#    L    TT             EE             BB             TE          
   171   0.501680E+04   0.924089E+00   0.934613E-02  -0.413681E+02
   172   0.504344E+04   0.913254E+00   0.946867E-02  -0.408483E+02
   173   0.506967E+04   0.902351E+00   0.959219E-02  -0.403008E+02
   174   0.509550E+04   0.891402E+00   0.971669E-02  -0.397257E+02
   175   0.512093E+04   0.880444E+00   0.984217E-02  -0.391231E+02
   176   0.514593E+04   0.869493E+00   0.996861E-02  -0.384929E+02
   177   0.517050E+04   0.858585E+00   0.100960E-01  -0.378352E+02
   178   0.519462E+04   0.847743E+00   0.102244E-01  -0.371500E+02
   179   0.521831E+04   0.836989E+00   0.103537E-01  -0.364373E+02
   180   0.524154E+04   0.826360E+00   0.104840E-01  -0.356972E+02
   181   0.526430E+04   0.815886E+00   0.106152E-01  -0.349300E+02
   182   0.528660E+04   0.805596E+00   0.107473E-01  -0.341357E+02
   183   0.530843E+04   0.795514E+00   0.108804E-01  -0.333145E+02
   184   0.532978E+04   0.785675E+00   0.110144E-01  -0.324666E+02
   185   0.535063E+04   0.776118E+00   0.111493E-01  -0.315919E+02
   186   0.537099E+04   0.766864E+00   0.112851E-01  -0.306908E+02
   187   0.539084E+04   0.757943E+00   0.114218E-01  -0.297634E+02
   188   0.541019E+04   0.749397E+00   0.115594E-01  -0.288100E+02
   189   0.542902E+04   0.741256E+00   0.116979E-01  -0.278307E+02
   190   0.544733E+04   0.733553E+00   0.118372E-01  -0.268259E+02
   191   0.546510E+04   0.726322E+00   0.119775E-01  -0.257959E+02
   192   0.548234E+04   0.719596E+00   0.121185E-01  -0.247406E+02
   193   0.549902E+04   0.713410E+00   0.122604E-01  -0.236605E+02
   194   0.551517E+04   0.707798E+00   0.124031E-01  -0.225560E+02
   195   0.553075E+04   0.702797E+00   0.125467E-01  -0.214274E+02
   196   0.554579E+04   0.698441E+00   0.126910E-01  -0.202749E+02
   197   0.556026E+04   0.694768E+00   0.128362E-01  -0.190991E+02
   198   0.557418E+04   0.691814E+00   0.129821E-01  -0.179002E+02
   199   0.558753E+04   0.689613E+00   0.131289E-01  -0.166786E+02
   200   0.560031E+04   0.688201E+00   0.132764E-01  -0.154347E+02
   201   0.561251E+04   0.687617E+00   0.134246E-01  -0.141688E+02
   202   0.562413E+04   0.687894E+00   0.135736E-01  -0.128816E+02
   203   0.563515E+04   0.689072E+00   0.137234E-01  -0.115732E+02
   204   0.564557E+04   0.691184E+00   0.138738E-01  -0.102441E+02
   205   0.565536E+04   0.694270E+00   0.140250E-01  -0.889481E+01
   206   0.566453E+04   0.698363E+00   0.141769E-01  -0.752571E+01
   207   0.567306E+04   0.703501E+00   0.143294E-01  -0.613716E+01
   208   0.568095E+04   0.709722E+00   0.144827E-01  -0.472977E+01
   209   0.568823E+04   0.717059E+00   0.146366E-01  -0.330407E+01
   210   0.569487E+04   0.725551E+00   0.147911E-01  -0.186062E+01
   211   0.570090E+04   0.735234E+00   0.149463E-01  -0.399981E+00
   212   0.570632E+04   0.746143E+00   0.151021E-01   0.107730E+01
   213   0.571114E+04   0.758316E+00   0.152585E-01   0.257065E+01
   214   0.571536E+04   0.771789E+00   0.154155E-01   0.407953E+01
   215   0.571897E+04   0.786592E+00   0.155730E-01   0.560334E+01
   216   0.572198E+04   0.802770E+00   0.157312E-01   0.714148E+01
   217   0.572437E+04   0.820352E+00   0.158899E-01   0.869335E+01
   218   0.572615E+04   0.839367E+00   0.160491E-01   0.102584E+02
   219   0.572731E+04   0.859860E+00   0.162089E-01   0.118360E+02
   220   0.572784E+04   0.881860E+00   0.163691E-01   0.134257E+02
   221   0.572774E+04   0.905396E+00   0.165298E-01   0.150265E+02
   222   0.572702E+04   0.930513E+00   0.166910E-01   0.166383E+02
   223   0.572566E+04   0.957232E+00   0.168527E-01   0.182600E+02
   224   0.572368E+04   0.985590E+00   0.170148E-01   0.198912E+02
   225   0.572109E+04   0.101561E+01   0.171773E-01   0.215310E+02
   226   0.571786E+04   0.104733E+01   0.173402E-01   0.231790E+02
   227   0.571401E+04   0.108079E+01   0.175036E-01   0.248345E+02
   228   0.570955E+04   0.111600E+01   0.176672E-01   0.264966E+02
   229   0.570447E+04   0.115301E+01   0.178312E-01   0.281648E+02
   230   0.569876E+04   0.119184E+01   0.179956E-01   0.298385E+02
   231   0.569245E+04   0.123251E+01   0.181602E-01   0.315168E+02
   232   0.568553E+04   0.127504E+01   0.183252E-01   0.331991E+02
   233   0.567799E+04   0.131949E+01   0.184904E-01   0.348846E+02
   234   0.566985E+04   0.136585E+01   0.186559E-01   0.365727E+02
   235   0.566110E+04   0.141417E+01   0.188216E-01   0.382627E+02
   236   0.565174E+04   0.146447E+01   0.189875E-01   0.399537E+02
   237   0.564179E+04   0.151676E+01   0.191536E-01   0.416452E+02
   238   0.563124E+04   0.157107E+01   0.193198E-01   0.433364E+02
   239   0.562010E+04   0.162741E+01   0.194862E-01   0.450265E+02
   240   0.560837E+04   0.168582E+01   0.196527E-01   0.467147E+02
   241   0.559605E+04   0.174631E+01   0.198194E-01   0.484004E+02
   242   0.558315E+04   0.180890E+01   0.199861E-01   0.500829E+02
   243   0.556967E+04   0.187362E+01   0.201529E-01   0.517612E+02
   244   0.555562E+04   0.194046E+01   0.203197E-01   0.534349E+02
   245   0.554101E+04   0.200947E+01   0.204865E-01   0.551031E+02
   246   0.552585E+04   0.208062E+01   0.206533E-01   0.567652E+02
   247   0.551012E+04   0.215396E+01   0.208201E-01   0.584204E+02
   248   0.549385E+04   0.222951E+01   0.209869E-01   0.600679E+02
   249   0.547704E+04   0.230724E+01   0.211536E-01   0.617071E+02
   250   0.545970E+04   0.238721E+01   0.213202E-01   0.633373E+02
   251   0.544181E+04   0.246939E+01   0.214867E-01   0.649575E+02
   252   0.542340E+04   0.255380E+01   0.216530E-01   0.665670E+02
   253   0.540446E+04   0.264044E+01   0.218192E-01   0.681651E+02
   254   0.538499E+04   0.272934E+01   0.219852E-01   0.697508E+02
   255   0.536500E+04   0.282047E+01   0.221511E-01   0.713236E+02
   256   0.534449E+04   0.291385E+01   0.223167E-01   0.728825E+02
   257   0.532348E+04   0.300949E+01   0.224821E-01   0.744270E+02
   258   0.530196E+04   0.310738E+01   0.226472E-01   0.759561E+02
   259   0.527997E+04   0.320752E+01   0.228121E-01   0.774703E+02
   260   0.525751E+04   0.330991E+01   0.229767E-01   0.789672E+02
   261   0.523458E+04   0.341456E+01   0.231409E-01   0.804477E+02
   262   0.521122E+04   0.352145E+01   0.233049E-01   0.819103E+02
   263   0.518742E+04   0.363060E+01   0.234685E-01   0.833549E+02
   264   0.516319E+04   0.374199E+01   0.236317E-01   0.847801E+02
   265   0.513854E+04   0.385560E+01   0.237946E-01   0.861867E+02
   266   0.511347E+04   0.397144E+01   0.239570E-01   0.875724E+02
   267   0.508799E+04   0.408947E+01   0.241191E-01   0.889366E+02
