#    L    TT             EE             BB             TE          
   244   0.572995E+04   0.165279E+01   0.182761E-01   0.461131E+02
   245   0.571865E+04   0.171105E+01   0.184301E-01   0.477801E+02
   246   0.570679E+04   0.177129E+01   0.185842E-01   0.494455E+02
   247   0.569437E+04   0.183353E+01   0.187384E-01   0.511087E+02
   248   0.568141E+04   0.189778E+01   0.188927E-01   0.527689E+02
   249   0.566790E+04   0.196405E+01   0.190470E-01   0.544258E+02
   250   0.565386E+04   0.203237E+01   0.192014E-01   0.560785E+02
   251   0.563928E+04   0.210272E+01   0.193558E-01   0.577262E+02
   252   0.562416E+04   0.217513E+01   0.195101E-01   0.593683E+02
   253   0.560851E+04   0.224962E+01   0.196644E-01   0.610039E+02
   254   0.559233E+04   0.232621E+01   0.198187E-01   0.626322E+02
   255   0.557561E+04   0.240490E+01   0.199729E-01   0.642524E+02
   256   0.555836E+04   0.248572E+01   0.201271E-01   0.658638E+02
   257   0.554059E+04   0.256868E+01   0.202811E-01   0.674657E+02
   258   0.552232E+04   0.265377E+01   0.204350E-01   0.690570E+02
   259   0.550354E+04   0.274104E+01   0.205888E-01   0.706383E+02
   260   0.548428E+04   0.283048E+01   0.207424E-01   0.722072E+02
   261   0.546454E+04   0.292209E+01   0.208958E-01   0.737646E+02
   262   0.544434E+04   0.301590E+01   0.210490E-01   0.753088E+02
   263   0.542368E+04   0.311191E+01   0.212021E-01   0.768400E+02
   264   0.540257E+04   0.321013E+01   0.213549E-01   0.783565E+02
   265   0.538101E+04   0.331054E+01   0.215074E-01   0.798592E+02
   266   0.535901E+04   0.341316E+01   0.216597E-01   0.813458E+02
   267   0.533657E+04   0.351798E+01   0.218117E-01   0.828155E+02
   268   0.531371E+04   0.362500E+01   0.219635E-01   0.842691E+02
   269   0.529040E+04   0.373423E+01   0.221149E-01   0.857044E+02
   270   0.526667E+04   0.384565E+01   0.222660E-01   0.871220E+02
   271   0.524253E+04   0.395927E+01   0.224167E-01   0.885197E+02
   272   0.521798E+04   0.407508E+01   0.225672E-01   0.898983E+02
   273   0.519303E+04   0.419306E+01   0.227172E-01   0.912563E+02
   274   0.516769E+04   0.431321E+01   0.228669E-01   0.925944E+02
   275   0.514197E+04   0.443552E+01   0.230162E-01   0.939104E+02
   276   0.511588E+04   0.455998E+01   0.231651E-01   0.952050E+02
   277   0.508943E+04   0.468659E+01   0.233135E-01   0.964767E+02
   278   0.506262E+04   0.481533E+01   0.234616E-01   0.977247E+02
   279   0.503546E+04   0.494617E+01   0.236092E-01   0.989498E+02
   280   0.500797E+04   0.507909E+01   0.237563E-01   0.100151E+03
   281   0.498015E+04   0.521409E+01   0.239030E-01   0.101327E+03
   282   0.495201E+04   0.535114E+01   0.240492E-01   0.102478E+03
   283   0.492356E+04   0.549023E+01   0.241950E-01   0.103603E+03
   284   0.489480E+04   0.563133E+01   0.243402E-01   0.104702E+03
   285   0.486575E+04   0.577442E+01   0.244850E-01   0.105774E+03
   286   0.483641E+04   0.591948E+01   0.246292E-01   0.106819E+03
   287   0.480680E+04   0.606646E+01   0.247729E-01   0.107837E+03
   288   0.477692E+04   0.621537E+01   0.249161E-01   0.108826E+03
   289   0.474677E+04   0.636616E+01   0.250587E-01   0.109787E+03
   290   0.471639E+04   0.651880E+01   0.252008E-01   0.110719E+03
   291   0.468576E+04   0.667329E+01   0.253423E-01   0.111622E+03
   292   0.465490E+04   0.682950E+01   0.254833E-01   0.112495E+03
   293   0.462381E+04   0.698752E+01   0.256237E-01   0.113339E+03
   294   0.459251E+04   0.714729E+01   0.257635E-01   0.114151E+03
   295   0.456100E+04   0.730865E+01   0.259027E-01   0.114933E+03
   296   0.452929E+04   0.747172E+01   0.260413E-01   0.115684E+03
   297   0.449737E+04   0.763633E+01   0.261793E-01   0.116402E+03
   298   0.446527E+04   0.780251E+01   0.263167E-01   0.117088E+03
   299   0.443300E+04   0.797019E+01   0.264535E-01   0.117742E+03
   300   0.440056E+04   0.813930E+01   0.265896E-01   0.118363E+03
   301   0.436797E+04   0.830994E+01   0.267251E-01   0.118951E+03
   302   0.433523E+04   0.848189E+01   0.268600E-01   0.119507E+03
   303   0.430236E+04   0.865523E+01   0.269943E-01   0.120030E+03
   304   0.426936E+04   0.882989E+01   0.271278E-01   0.120519E+03
   305   0.423627E+04   0.900582E+01   0.272608E-01   0.120975E+03
   306   0.420307E+04   0.918301E+01   0.273930E-01   0.121396E+03
   307   0.416979E+04   0.936133E+01   0.275246E-01   0.121783E+03
   308   0.413643E+04   0.954079E+01   0.276555E-01   0.122135E+03
   309   0.410301E+04   0.972132E+01   0.277858E-01   0.122453E+03
   310   0.406951E+04   0.990278E+01   0.279153E-01   0.122736E+03
   311   0.403598E+04   0.100853E+02   0.280442E-01   0.122982E+03
   312   0.400240E+04   0.102686E+02   0.281724E-01   0.123193E+03
   313   0.396880E+04   0.104528E+02   0.282999E-01   0.123368E+03
   314   0.393519E+04   0.106378E+02   0.284267E-01   0.123508E+03
   315   0.390155E+04   0.108235E+02   0.285528E-01   0.123610E+03
   316   0.386792E+04   0.110099E+02   0.286782E-01   0.123677E+03
   317   0.383431E+04   0.111969E+02   0.288029E-01   0.123707E+03
   318   0.380072E+04   0.113844E+02   0.289269E-01   0.123701E+03
   319   0.376716E+04   0.115724E+02   0.290502E-01   0.123658E+03
   320   0.373363E+04   0.117609E+02   0.291728E-01   0.123578E+03
   321   0.370017E+04   0.119498E+02   0.292947E-01   0.123462E+03
   322   0.366676E+04   0.121390E+02   0.294159E-01   0.123308E+03
   323   0.363343E+04   0.123284E+02   0.295364E-01   0.123118E+03
   324   0.360016E+04   0.125179E+02   0.296562E-01   0.122892E+03
   325   0.356700E+04   0.127077E+02   0.297753E-01   0.122628E+03
   326   0.353392E+04   0.128975E+02   0.298937E-01   0.122328E+03
   327   0.350095E+04   0.130874E+02   0.300114E-01   0.121991E+03
   328   0.346810E+04   0.132771E+02   0.301284E-01   0.121617E+03
   329   0.343537E+04   0.134667E+02   0.302447E-01   0.121207E+03
   330   0.340278E+04   0.136561E+02   0.303604E-01   0.120761E+03
