#           k/h    P           
   0.330299E-01   0.163848E+05
   0.336972E-01   0.160690E+05
   0.343779E-01   0.157529E+05
   0.350724E-01   0.154374E+05
   0.357809E-01   0.151234E+05
   0.365038E-01   0.148118E+05
   0.372412E-01   0.145033E+05
   0.379935E-01   0.141985E+05
   0.387610E-01   0.138980E+05
   0.395440E-01   0.136020E+05
   0.403429E-01   0.133111E+05
   0.411579E-01   0.130257E+05
   0.419893E-01   0.127469E+05
   0.428375E-01   0.124757E+05
   0.437029E-01   0.122132E+05
   0.445858E-01   0.119603E+05
   0.454865E-01   0.117178E+05
   0.464053E-01   0.114855E+05
   0.473428E-01   0.112632E+05
   0.482992E-01   0.110506E+05
   0.492749E-01   0.108475E+05
   0.502703E-01   0.106536E+05
   0.512858E-01   0.104685E+05
   0.523219E-01   0.102919E+05
   0.533789E-01   0.101234E+05
   0.544572E-01   0.996259E+04
   0.555573E-01   0.980850E+04
   0.566796E-01   0.965990E+04
   0.578246E-01   0.951565E+04
   0.589927E-01   0.937469E+04
   0.601845E-01   0.923604E+04
   0.614003E-01   0.909883E+04
   0.626407E-01   0.896221E+04
   0.639061E-01   0.882533E+04
   0.651971E-01   0.868717E+04
   0.665142E-01   0.854673E+04
   0.678578E-01   0.840310E+04
   0.692287E-01   0.825532E+04
   0.706272E-01   0.810250E+04
   0.720539E-01   0.794381E+04
   0.735095E-01   0.777870E+04
   0.749945E-01   0.760687E+04
   0.765095E-01   0.742811E+04
   0.780551E-01   0.724265E+04
   0.796319E-01   0.705113E+04
   0.812406E-01   0.685430E+04
   0.828817E-01   0.665334E+04
   0.845561E-01   0.644983E+04
   0.862642E-01   0.624530E+04
   0.880068E-01   0.604151E+04
   0.897847E-01   0.584017E+04
   0.915985E-01   0.564296E+04
   0.934489E-01   0.545153E+04
   0.953367E-01   0.526735E+04
   0.972626E-01   0.509165E+04
   0.992274E-01   0.492544E+04
   0.101232E+00   0.476955E+04
   0.103277E+00   0.462455E+04
   0.105363E+00   0.449089E+04
   0.107492E+00   0.436856E+04
   0.109663E+00   0.425683E+04
   0.111879E+00   0.415493E+04
   0.114139E+00   0.406160E+04
   0.116445E+00   0.397541E+04
   0.118797E+00   0.389475E+04
   0.121197E+00   0.381763E+04
   0.123645E+00   0.374218E+04
   0.126143E+00   0.366675E+04
   0.128691E+00   0.358990E+04
   0.131291E+00   0.351049E+04
   0.133943E+00   0.342765E+04
   0.136649E+00   0.334112E+04
   0.139409E+00   0.325119E+04
   0.142226E+00   0.315826E+04
   0.145099E+00   0.306279E+04
   0.148030E+00   0.296595E+04
   0.151020E+00   0.286942E+04
   0.154071E+00   0.277461E+04
   0.157184E+00   0.268272E+04
