#           k/h    P           
   0.281463E-01   0.136753E+05
   0.287149E-01   0.134854E+05
   0.292949E-01   0.132908E+05
   0.298867E-01   0.130920E+05
   0.304905E-01   0.128895E+05
   0.311064E-01   0.126837E+05
   0.317348E-01   0.124752E+05
   0.323759E-01   0.122645E+05
   0.330299E-01   0.120520E+05
   0.336972E-01   0.118384E+05
   0.343779E-01   0.116243E+05
   0.350724E-01   0.114101E+05
   0.357809E-01   0.111965E+05
   0.365038E-01   0.109839E+05
   0.372412E-01   0.107732E+05
   0.379935E-01   0.105648E+05
   0.387610E-01   0.103595E+05
   0.395440E-01   0.101578E+05
   0.403429E-01   0.996009E+04
   0.411579E-01   0.976671E+04
   0.419893E-01   0.957795E+04
   0.428375E-01   0.939406E+04
   0.437029E-01   0.921526E+04
   0.445858E-01   0.904198E+04
   0.454865E-01   0.887484E+04
   0.464053E-01   0.871441E+04
   0.473428E-01   0.856123E+04
   0.482992E-01   0.841573E+04
   0.492749E-01   0.827766E+04
   0.502703E-01   0.814635E+04
   0.512858E-01   0.802117E+04
   0.523219E-01   0.790155E+04
   0.533789E-01   0.778692E+04
   0.544572E-01   0.767674E+04
   0.555573E-01   0.757049E+04
   0.566796E-01   0.746770E+04
   0.578246E-01   0.736780E+04
   0.589927E-01   0.727009E+04
   0.601845E-01   0.717390E+04
   0.614003E-01   0.707857E+04
   0.626407E-01   0.698325E+04
   0.639061E-01   0.688696E+04
   0.651971E-01   0.678879E+04
   0.665142E-01   0.668773E+04
   0.678578E-01   0.658255E+04
   0.692287E-01   0.647206E+04
   0.706272E-01   0.635523E+04
   0.720539E-01   0.623143E+04
   0.735095E-01   0.610021E+04
   0.749945E-01   0.596130E+04
   0.765095E-01   0.581499E+04
   0.780551E-01   0.566176E+04
   0.796319E-01   0.550229E+04
   0.812406E-01   0.533783E+04
   0.828817E-01   0.516969E+04
   0.845561E-01   0.499930E+04
   0.862642E-01   0.482825E+04
   0.880068E-01   0.465804E+04
   0.897847E-01   0.449025E+04
   0.915985E-01   0.432634E+04
   0.934489E-01   0.416781E+04
   0.953367E-01   0.401619E+04
   0.972626E-01   0.387281E+04
   0.992274E-01   0.373887E+04
   0.101232E+00   0.361543E+04
   0.103277E+00   0.350337E+04
   0.105363E+00   0.340289E+04
   0.107492E+00   0.331389E+04
   0.109663E+00   0.323591E+04
   0.111879E+00   0.316758E+04
   0.114139E+00   0.310747E+04
   0.116445E+00   0.305359E+04
   0.118797E+00   0.300372E+04
   0.121197E+00   0.295563E+04
   0.123645E+00   0.290700E+04
   0.126143E+00   0.285573E+04
   0.128691E+00   0.280003E+04
   0.131291E+00   0.273846E+04
   0.133943E+00   0.267026E+04
   0.136649E+00   0.259515E+04
   0.139409E+00   0.251361E+04
   0.142226E+00   0.242656E+04
   0.145099E+00   0.233551E+04
   0.148030E+00   0.224225E+04
   0.151020E+00   0.214906E+04
   0.154071E+00   0.205832E+04
   0.157184E+00   0.197261E+04
   0.160359E+00   0.189415E+04
   0.163598E+00   0.182472E+04
   0.166903E+00   0.176488E+04
   0.170275E+00   0.171434E+04
   0.173715E+00   0.167195E+04
   0.177224E+00   0.163603E+04
   0.180804E+00   0.160452E+04
   0.184457E+00   0.157528E+04
   0.188183E+00   0.154605E+04
   0.191985E+00   0.151458E+04
   0.195863E+00   0.147895E+04
   0.199820E+00   0.143824E+04
   0.203856E+00   0.139267E+04
   0.207974E+00   0.134352E+04
   0.212176E+00   0.129266E+04
   0.216462E+00   0.124223E+04
   0.220835E+00   0.119432E+04
   0.225296E+00   0.115074E+04
   0.229847E+00   0.111265E+04
   0.234490E+00   0.108035E+04
   0.239227E+00   0.105325E+04
   0.244060E+00   0.103006E+04
   0.248990E+00   0.100901E+04
   0.254020E+00   0.988087E+03
   0.259152E+00   0.965504E+03
   0.264387E+00   0.940292E+03
   0.269728E+00   0.912587E+03
   0.275177E+00   0.883345E+03
   0.280736E+00   0.853872E+03
   0.286407E+00   0.825524E+03
   0.292193E+00   0.799533E+03
   0.298096E+00   0.776767E+03
   0.304118E+00   0.757141E+03
   0.310261E+00   0.739640E+03
   0.316529E+00   0.723133E+03
   0.322923E+00   0.706571E+03
   0.329447E+00   0.689062E+03
   0.336102E+00   0.670531E+03
   0.342892E+00   0.651321E+03
   0.349819E+00   0.632437E+03
   0.356885E+00   0.614620E+03
   0.364095E+00   0.598413E+03
   0.371450E+00   0.583625E+03
   0.378954E+00   0.570033E+03
   0.386609E+00   0.556878E+03
   0.394419E+00   0.543519E+03
   0.402387E+00   0.529902E+03
   0.410516E+00   0.516171E+03
   0.418809E+00   0.502782E+03
   0.427269E+00   0.490057E+03
   0.435901E+00   0.478218E+03
   0.444706E+00   0.467062E+03
   0.453690E+00   0.456269E+03
   0.462855E+00   0.445619E+03
   0.472206E+00   0.434943E+03
   0.481745E+00   0.424442E+03
   0.491477E+00   0.414332E+03
   0.501405E+00   0.404669E+03
   0.511534E+00   0.395444E+03
   0.521868E+00   0.386525E+03
   0.532411E+00   0.377763E+03
   0.543166E+00   0.369162E+03
   0.554139E+00   0.360760E+03
   0.565333E+00   0.352673E+03
   0.576753E+00   0.344879E+03
   0.588404E+00   0.337323E+03
   0.600291E+00   0.329961E+03
   0.612418E+00   0.322762E+03
   0.624789E+00   0.315771E+03
   0.637411E+00   0.308981E+03
   0.650288E+00   0.302398E+03
   0.663424E+00   0.296007E+03
   0.676826E+00   0.289793E+03
   0.690499E+00   0.283743E+03
   0.704448E+00   0.277851E+03
   0.718679E+00   0.272113E+03
   0.733197E+00   0.266527E+03
   0.748009E+00   0.261089E+03
   0.763119E+00   0.255794E+03
   0.778536E+00   0.250636E+03
   0.794263E+00   0.245607E+03
   0.810308E+00   0.240703E+03
   0.826677E+00   0.235918E+03
   0.843378E+00   0.231248E+03
   0.860415E+00   0.226689E+03
   0.877797E+00   0.222237E+03
   0.895529E+00   0.217886E+03
   0.913620E+00   0.213633E+03
   0.932076E+00   0.209473E+03
   0.950906E+00   0.205402E+03
   0.970115E+00   0.201415E+03
   0.989713E+00   0.197510E+03
   0.100971E+01   0.193683E+03
   0.103010E+01   0.189931E+03
   0.105091E+01   0.186250E+03
   0.107214E+01   0.182637E+03
   0.109380E+01   0.179087E+03
   0.111590E+01   0.175599E+03
   0.113844E+01   0.172170E+03
   0.116144E+01   0.168796E+03
   0.118490E+01   0.165477E+03
   0.120884E+01   0.162210E+03
   0.123326E+01   0.158991E+03
   0.125817E+01   0.155819E+03
   0.128359E+01   0.152692E+03
   0.130952E+01   0.149606E+03
   0.133597E+01   0.146562E+03
   0.136296E+01   0.143557E+03
   0.139049E+01   0.140589E+03
   0.141858E+01   0.137659E+03
   0.144724E+01   0.134764E+03
   0.147648E+01   0.131903E+03
   0.150630E+01   0.129075E+03
   0.153673E+01   0.126278E+03
   0.156778E+01   0.123513E+03
   0.159945E+01   0.120779E+03
   0.163176E+01   0.118075E+03
   0.166472E+01   0.115401E+03
   0.169835E+01   0.112756E+03
   0.173266E+01   0.110140E+03
   0.176766E+01   0.107553E+03
   0.180337E+01   0.104994E+03
   0.183980E+01   0.102465E+03
   0.187697E+01   0.999641E+02
   0.191489E+01   0.974928E+02
   0.195357E+01   0.950510E+02
   0.199304E+01   0.926384E+02
   0.203330E+01   0.902555E+02
   0.207437E+01   0.879029E+02
   0.211628E+01   0.855812E+02
   0.215903E+01   0.832911E+02
   0.220265E+01   0.810331E+02
   0.224714E+01   0.788078E+02
   0.229254E+01   0.766156E+02
   0.233885E+01   0.744570E+02
