#    L    TT             EE             TE             PP             TP          
   122   0.341791E+04   0.976021E+00  -0.355348E+02   0.363039E+07   0.441615E+04
   123   0.345216E+04   0.984740E+00  -0.360822E+02   0.360748E+07   0.436961E+04
   124   0.348648E+04   0.993083E+00  -0.366194E+02   0.358475E+07   0.432392E+04
   125   0.352085E+04   0.100105E+01  -0.371461E+02   0.356219E+07   0.427908E+04
   126   0.355526E+04   0.100863E+01  -0.376618E+02   0.353980E+07   0.423508E+04
   127   0.358970E+04   0.101582E+01  -0.381658E+02   0.351759E+07   0.419190E+04
   128   0.362417E+04   0.102260E+01  -0.386577E+02   0.349554E+07   0.414955E+04
   129   0.365866E+04   0.102898E+01  -0.391371E+02   0.347368E+07   0.410801E+04
   130   0.369315E+04   0.103494E+01  -0.396034E+02   0.345198E+07   0.406728E+04
   131   0.372764E+04   0.104048E+01  -0.400562E+02   0.343046E+07   0.402735E+04
   132   0.376212E+04   0.104559E+01  -0.404949E+02   0.340911E+07   0.398820E+04
   133   0.379659E+04   0.105027E+01  -0.409191E+02   0.338793E+07   0.394979E+04
   134   0.383104E+04   0.105453E+01  -0.413284E+02   0.336693E+07   0.391211E+04
   135   0.386547E+04   0.105833E+01  -0.417224E+02   0.334609E+07   0.387512E+04
   136   0.389986E+04   0.106170E+01  -0.421004E+02   0.332542E+07   0.383880E+04
   137   0.393422E+04   0.106461E+01  -0.424621E+02   0.330492E+07   0.380311E+04
   138   0.396854E+04   0.106707E+01  -0.428071E+02   0.328458E+07   0.376805E+04
   139   0.400279E+04   0.106908E+01  -0.431351E+02   0.326441E+07   0.373356E+04
   140   0.403700E+04   0.107063E+01  -0.434455E+02   0.324440E+07   0.369964E+04
   141   0.407115E+04   0.107174E+01  -0.437380E+02   0.322455E+07   0.366625E+04
   142   0.410522E+04   0.107239E+01  -0.440122E+02   0.320487E+07   0.363337E+04
   143   0.413922E+04   0.107258E+01  -0.442678E+02   0.318535E+07   0.360096E+04
   144   0.417313E+04   0.107233E+01  -0.445044E+02   0.316598E+07   0.356901E+04
   145   0.420696E+04   0.107161E+01  -0.447214E+02   0.314678E+07   0.353748E+04
   146   0.424067E+04   0.107045E+01  -0.449187E+02   0.312773E+07   0.350635E+04
   147   0.427426E+04   0.106885E+01  -0.450957E+02   0.310883E+07   0.347558E+04
   148   0.430772E+04   0.106681E+01  -0.452522E+02   0.309010E+07   0.344517E+04
   149   0.434104E+04   0.106434E+01  -0.453876E+02   0.307151E+07   0.341507E+04
   150   0.437420E+04   0.106143E+01  -0.455017E+02   0.305308E+07   0.338526E+04
   151   0.440718E+04   0.105811E+01  -0.455942E+02   0.303480E+07   0.335572E+04
   152   0.443999E+04   0.105436E+01  -0.456646E+02   0.301668E+07   0.332644E+04
   153   0.447262E+04   0.105020E+01  -0.457127E+02   0.299870E+07   0.329742E+04
   154   0.450506E+04   0.104565E+01  -0.457383E+02   0.298087E+07   0.326867E+04
   155   0.453731E+04   0.104069E+01  -0.457410E+02   0.296319E+07   0.324019E+04
   156   0.456938E+04   0.103535E+01  -0.457205E+02   0.294565E+07   0.321196E+04
   157   0.460123E+04   0.102963E+01  -0.456766E+02   0.292826E+07   0.318401E+04
   158   0.463289E+04   0.102355E+01  -0.456091E+02   0.291102E+07   0.315632E+04
   159   0.466433E+04   0.101710E+01  -0.455175E+02   0.289392E+07   0.312889E+04
   160   0.469555E+04   0.101031E+01  -0.454018E+02   0.287696E+07   0.310173E+04
   161   0.472653E+04   0.100319E+01  -0.452616E+02   0.286015E+07   0.307484E+04
   162   0.475725E+04   0.995747E+00  -0.450968E+02   0.284347E+07   0.304821E+04
   163   0.478772E+04   0.988007E+00  -0.449069E+02   0.282694E+07   0.302185E+04
   164   0.481790E+04   0.979968E+00  -0.446921E+02   0.281055E+07   0.299576E+04
   165   0.484779E+04   0.971648E+00  -0.444518E+02   0.279429E+07   0.296994E+04
   166   0.487739E+04   0.963067E+00  -0.441861E+02   0.277817E+07   0.294438E+04
   167   0.490669E+04   0.954243E+00  -0.438946E+02   0.276219E+07   0.291909E+04
   168   0.493567E+04   0.945194E+00  -0.435775E+02   0.274634E+07   0.289407E+04
   169   0.496434E+04   0.935940E+00  -0.432346E+02   0.273063E+07   0.286932E+04
   170   0.499267E+04   0.926492E+00  -0.428657E+02   0.271505E+07   0.284484E+04
   171   0.502066E+04   0.916876E+00  -0.424708E+02   0.269960E+07   0.282063E+04
   172   0.504832E+04   0.907110E+00  -0.420498E+02   0.268428E+07   0.279669E+04
   173   0.507562E+04   0.897214E+00  -0.416025E+02   0.266909E+07   0.277302E+04
   174   0.510256E+04   0.887206E+00  -0.411290E+02   0.265404E+07   0.274962E+04
   175   0.512912E+04   0.877120E+00  -0.406294E+02   0.263911E+07   0.272649E+04
   176   0.515531E+04   0.866966E+00  -0.401035E+02   0.262431E+07   0.270364E+04
   177   0.518112E+04   0.856777E+00  -0.395513E+02   0.260963E+07   0.268104E+04
   178   0.520652E+04   0.846570E+00  -0.389728E+02   0.259508E+07   0.265871E+04
   179   0.523152E+04   0.836362E+00  -0.383679E+02   0.258066E+07   0.263664E+04
   180   0.525611E+04   0.826185E+00  -0.377366E+02   0.256635E+07   0.261481E+04
   181   0.528028E+04   0.816063E+00  -0.370791E+02   0.255217E+07   0.259323E+04
   182   0.530403E+04   0.806020E+00  -0.363954E+02   0.253811E+07   0.257189E+04
   183   0.532735E+04   0.796074E+00  -0.356855E+02   0.252416E+07   0.255079E+04
   184   0.535023E+04   0.786257E+00  -0.349496E+02   0.251034E+07   0.252992E+04
   185   0.537267E+04   0.776600E+00  -0.341875E+02   0.249663E+07   0.250926E+04
   186   0.539466E+04   0.767120E+00  -0.333996E+02   0.248304E+07   0.248883E+04
   187   0.541619E+04   0.757844E+00  -0.325858E+02   0.246956E+07   0.246862E+04
   188   0.543725E+04   0.748804E+00  -0.317464E+02   0.245619E+07   0.244861E+04
   189   0.545785E+04   0.740028E+00  -0.308814E+02   0.244294E+07   0.242880E+04
   190   0.547796E+04   0.731544E+00  -0.299910E+02   0.242980E+07   0.240919E+04
   191   0.549760E+04   0.723379E+00  -0.290756E+02   0.241676E+07   0.238978E+04
   192   0.551674E+04   0.715563E+00  -0.281350E+02   0.240384E+07   0.237055E+04
   193   0.553537E+04   0.708123E+00  -0.271696E+02   0.239102E+07   0.235151E+04
   194   0.555351E+04   0.701090E+00  -0.261796E+02   0.237830E+07   0.233264E+04
   195   0.557115E+04   0.694495E+00  -0.251653E+02   0.236570E+07   0.231395E+04
   196   0.558827E+04   0.688368E+00  -0.241270E+02   0.235319E+07   0.229542E+04
   197   0.560489E+04   0.682740E+00  -0.230650E+02   0.234079E+07   0.227705E+04
   198   0.562099E+04   0.677643E+00  -0.219794E+02   0.232849E+07   0.225884E+04
   199   0.563658E+04   0.673106E+00  -0.208706E+02   0.231629E+07   0.224078E+04
   200   0.565164E+04   0.669160E+00  -0.197391E+02   0.230418E+07   0.222287E+04
   201   0.566618E+04   0.665838E+00  -0.185848E+02   0.229218E+07   0.220510E+04
   202   0.568019E+04   0.663176E+00  -0.174085E+02   0.228027E+07   0.218747E+04
   203   0.569363E+04   0.661211E+00  -0.162101E+02   0.226846E+07   0.216998E+04
   204   0.570652E+04   0.659979E+00  -0.149901E+02   0.225674E+07   0.215262E+04
   205   0.571883E+04   0.659518E+00  -0.137489E+02   0.224511E+07   0.213540E+04
   206   0.573056E+04   0.659863E+00  -0.124868E+02   0.223358E+07   0.211831E+04
   207   0.574170E+04   0.661054E+00  -0.112040E+02   0.222215E+07   0.210136E+04
   208   0.575223E+04   0.663126E+00  -0.990103E+01   0.221080E+07   0.208454E+04
   209   0.576219E+04   0.666116E+00  -0.857836E+01   0.219955E+07   0.206786E+04
   210   0.577156E+04   0.670061E+00  -0.723645E+01   0.218838E+07   0.205130E+04
   211   0.578035E+04   0.674999E+00  -0.587574E+01   0.217731E+07   0.203487E+04
   212   0.578857E+04   0.680966E+00  -0.449671E+01   0.216632E+07   0.201858E+04
   213   0.579622E+04   0.687999E+00  -0.309983E+01   0.215542E+07   0.200240E+04
   214   0.580331E+04   0.696135E+00  -0.168555E+01   0.214461E+07   0.198636E+04
   215   0.580983E+04   0.705406E+00  -0.254375E+00   0.213389E+07   0.197044E+04
   216   0.581577E+04   0.715855E+00   0.119320E+01   0.212325E+07   0.195464E+04
   217   0.582112E+04   0.727514E+00   0.265664E+01   0.211269E+07   0.193897E+04
   218   0.582590E+04   0.740412E+00   0.413554E+01   0.210222E+07   0.192341E+04
   219   0.583008E+04   0.754595E+00   0.562931E+01   0.209184E+07   0.190798E+04
