#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.410918E-03   0.197506E+08   0.197500E+08   0.115320E+08   0.112932E+08   0.196947E+08   0.197502E+08   0.197505E+08   0.197531E+08  -0.472049E+00   0.104272E+08   0.104270E+08   0.161731E+03
   0.453733E-03   0.197428E+08   0.197421E+08   0.957789E+07   0.932703E+07   0.196744E+08   0.197424E+08   0.197427E+08   0.197448E+08  -0.471837E+00   0.104230E+08   0.104228E+08   0.170430E+03
   0.501009E-03   0.197336E+08   0.197328E+08   0.763584E+07   0.738179E+07   0.196500E+08   0.197331E+08   0.197335E+08   0.197350E+08  -0.471586E+00   0.104180E+08   0.104177E+08   0.177989E+03
   0.553211E-03   0.197226E+08   0.197216E+08   0.580507E+07   0.555962E+07   0.196205E+08   0.197219E+08   0.197224E+08   0.197234E+08  -0.471291E+00   0.104120E+08   0.104117E+08   0.183961E+03
   0.610852E-03   0.197094E+08   0.197083E+08   0.419474E+07   0.397178E+07   0.195851E+08   0.197087E+08   0.197093E+08   0.197097E+08  -0.470947E+00   0.104050E+08   0.104046E+08   0.187902E+03
   0.674498E-03   0.196939E+08   0.196926E+08   0.290368E+07   0.271732E+07   0.195426E+08   0.196930E+08   0.196937E+08   0.196937E+08  -0.470547E+00   0.103966E+08   0.103962E+08   0.189412E+03
   0.744776E-03   0.196756E+08   0.196741E+08   0.199140E+07   0.185294E+07   0.194919E+08   0.196745E+08   0.196753E+08   0.196750E+08  -0.470083E+00   0.103867E+08   0.103863E+08   0.188206E+03
   0.822377E-03   0.196540E+08   0.196524E+08   0.144800E+07   0.136226E+07   0.194314E+08   0.196528E+08   0.196538E+08   0.196531E+08  -0.469546E+00   0.103751E+08   0.103746E+08   0.184174E+03
   0.908062E-03   0.196288E+08   0.196270E+08   0.117958E+07   0.114198E+07   0.193596E+08   0.196273E+08   0.196285E+08   0.196276E+08  -0.468924E+00   0.103615E+08   0.103610E+08   0.177419E+03
   0.100268E-02   0.195993E+08   0.195974E+08   0.103075E+07   0.102720E+07   0.192745E+08   0.195976E+08   0.195990E+08   0.195978E+08  -0.468205E+00   0.103457E+08   0.103452E+08   0.168258E+03
   0.110715E-02   0.195651E+08   0.195631E+08   0.854690E+06   0.865834E+06   0.191742E+08   0.195630E+08   0.195648E+08   0.195632E+08  -0.467373E+00   0.103274E+08   0.103269E+08   0.157167E+03
   0.122251E-02   0.195254E+08   0.195233E+08   0.602809E+06   0.611792E+06   0.190564E+08   0.195230E+08   0.195251E+08   0.195231E+08  -0.466411E+00   0.103062E+08   0.103057E+08   0.144697E+03
   0.134988E-02   0.194795E+08   0.194773E+08   0.356964E+06   0.356030E+06   0.189191E+08   0.194767E+08   0.194792E+08   0.194767E+08  -0.465299E+00   0.102817E+08   0.102812E+08   0.131422E+03
   0.149053E-02   0.194266E+08   0.194244E+08   0.233290E+06   0.223857E+06   0.187606E+08   0.194232E+08   0.194262E+08   0.194233E+08  -0.464019E+00   0.102535E+08   0.102530E+08   0.117959E+03
   0.164583E-02   0.193658E+08   0.193635E+08   0.221742E+06  -0.172358E+06   0.185787E+08   0.193619E+08   0.193654E+08   0.193619E+08  -0.462548E+00   0.102211E+08   0.102206E+08   0.104995E+03
   0.181732E-02   0.192960E+08   0.192937E+08   0.186114E+06  -0.140848E+06   0.183718E+08   0.192915E+08   0.192956E+08   0.192915E+08  -0.460864E+00   0.101840E+08   0.101835E+08   0.932086E+02
   0.200667E-02   0.192163E+08   0.192140E+08   0.900313E+05  -0.115039E+06   0.181386E+08   0.192110E+08   0.192159E+08   0.192111E+08  -0.458941E+00   0.101416E+08   0.101411E+08   0.830378E+02
   0.221575E-02   0.191254E+08   0.191231E+08   0.524708E+05  -0.939052E+05   0.178782E+08   0.191194E+08   0.191251E+08   0.191194E+08  -0.456751E+00   0.100933E+08   0.100928E+08   0.745440E+02
   0.244662E-02   0.190223E+08   0.190198E+08   0.595646E+05  -0.766042E+05   0.175901E+08   0.190155E+08   0.190219E+08   0.190155E+08  -0.454266E+00   0.100385E+08   0.100380E+08   0.674937E+02
