#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.744649E-03   0.160871E+08   0.160858E+08   0.286666E+07   0.267773E+07   0.159165E+08   0.160861E+08   0.160869E+08   0.160871E+08  -0.530447E+00   0.115576E+08   0.115570E+08   0.248747E+03
   0.822233E-03   0.160696E+08   0.160682E+08   0.207373E+07   0.192178E+07   0.158628E+08   0.160685E+08   0.160694E+08   0.160692E+08  -0.529836E+00   0.115448E+08   0.115441E+08   0.244665E+03
   0.907901E-03   0.160492E+08   0.160476E+08   0.157757E+07   0.146905E+07   0.157990E+08   0.160478E+08   0.160489E+08   0.160483E+08  -0.529131E+00   0.115298E+08   0.115291E+08   0.236622E+03
   0.100249E-02   0.160253E+08   0.160235E+08   0.131258E+07   0.124709E+07   0.157233E+08   0.160236E+08   0.160250E+08   0.160241E+08  -0.528316E+00   0.115124E+08   0.115116E+08   0.224951E+03
   0.110694E-02   0.159974E+08   0.159956E+08   0.115904E+07   0.112861E+07   0.156340E+08   0.159955E+08   0.159971E+08   0.159959E+08  -0.527376E+00   0.114920E+08   0.114912E+08   0.210326E+03
   0.122227E-02   0.159651E+08   0.159632E+08   0.994191E+06   0.985701E+06   0.155292E+08   0.159628E+08   0.159648E+08   0.159632E+08  -0.526290E+00   0.114685E+08   0.114677E+08   0.193651E+03
   0.134962E-02   0.159277E+08   0.159257E+08   0.765320E+06   0.765573E+06   0.154069E+08   0.159250E+08   0.159274E+08   0.159253E+08  -0.525036E+00   0.114413E+08   0.114405E+08   0.175890E+03
   0.149024E-02   0.158845E+08   0.158825E+08   0.527592E+06   0.527917E+06   0.152657E+08   0.158814E+08   0.158842E+08   0.158816E+08  -0.523592E+00   0.114099E+08   0.114091E+08   0.157945E+03
   0.164550E-02   0.158349E+08   0.158329E+08   0.382375E+06   0.379093E+06   0.151039E+08   0.158313E+08   0.158346E+08   0.158314E+08  -0.521933E+00   0.113739E+08   0.113731E+08   0.140648E+03
   0.181694E-02   0.157780E+08   0.157760E+08   0.344262E+06   0.175259E+06   0.149201E+08   0.157738E+08   0.157777E+08   0.157739E+08  -0.520033E+00   0.113326E+08   0.113319E+08   0.124805E+03
   0.200625E-02   0.157130E+08   0.157109E+08   0.307872E+06   0.143150E+06   0.147132E+08   0.157081E+08   0.157127E+08   0.157082E+08  -0.517864E+00   0.112855E+08   0.112847E+08   0.111097E+03
