#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    60   0.163060E+04  -0.191316E+01   0.648577E-03  -0.191316E+01   0.208840E+00  -0.464399E-06   0.648577E-03  -0.464399E-06   0.128240E-06
    61   0.165278E+04  -0.223386E+01   0.637698E-03  -0.223386E+01   0.219480E+00  -0.387062E-06   0.637698E-03  -0.387062E-06   0.127596E-06
    62   0.167515E+04  -0.256758E+01   0.627061E-03  -0.256758E+01   0.230393E+00  -0.354776E-06   0.627061E-03  -0.354776E-06   0.126944E-06
    63   0.169771E+04  -0.291446E+01   0.616643E-03  -0.291446E+01   0.241578E+00  -0.365458E-06   0.616643E-03  -0.365458E-06   0.126286E-06
    64   0.172049E+04  -0.327464E+01   0.606417E-03  -0.327464E+01   0.253031E+00  -0.417021E-06   0.606417E-03  -0.417021E-06   0.125622E-06
    65   0.174350E+04  -0.364830E+01   0.596358E-03  -0.364830E+01   0.264753E+00  -0.507383E-06   0.596358E-03  -0.507383E-06   0.124953E-06
    66   0.176677E+04  -0.403565E+01   0.586453E-03  -0.403565E+01   0.276736E+00  -0.631569E-06   0.586453E-03  -0.631569E-06   0.124281E-06
    67   0.179030E+04  -0.443617E+01   0.576735E-03  -0.443617E+01   0.288974E+00  -0.773046E-06   0.576735E-03  -0.773046E-06   0.123606E-06
    68   0.181404E+04  -0.484913E+01   0.567247E-03  -0.484913E+01   0.301456E+00  -0.912391E-06   0.567247E-03  -0.912391E-06   0.122928E-06
    69   0.183795E+04  -0.527384E+01   0.558035E-03  -0.527384E+01   0.314176E+00  -0.103018E-05   0.558035E-03  -0.103018E-05   0.122248E-06
    70   0.186200E+04  -0.570981E+01   0.549142E-03  -0.570981E+01   0.327127E+00  -0.110699E-05   0.549142E-03  -0.110699E-05   0.121567E-06
    71   0.188616E+04  -0.615684E+01   0.540600E-03  -0.615684E+01   0.340304E+00  -0.112881E-05   0.540600E-03  -0.112881E-05   0.120884E-06
    72   0.191056E+04  -0.661585E+01   0.532388E-03  -0.661585E+01   0.353704E+00  -0.110325E-05   0.532388E-03  -0.110325E-05   0.120199E-06
    73   0.193529E+04  -0.708780E+01   0.524474E-03  -0.708780E+01   0.367321E+00  -0.104333E-05   0.524474E-03  -0.104333E-05   0.119514E-06
    74   0.196038E+04  -0.757259E+01   0.516824E-03  -0.757259E+01   0.381145E+00  -0.962082E-06   0.516824E-03  -0.962082E-06   0.118827E-06
    75   0.198583E+04  -0.806979E+01   0.509405E-03  -0.806979E+01   0.395162E+00  -0.872515E-06   0.509405E-03  -0.872515E-06   0.118140E-06
    76   0.201159E+04  -0.857885E+01   0.502184E-03  -0.857885E+01   0.409360E+00  -0.786405E-06   0.502184E-03  -0.786405E-06   0.117451E-06
    77   0.203753E+04  -0.909832E+01   0.495138E-03  -0.909832E+01   0.423727E+00  -0.710518E-06   0.495138E-03  -0.710518E-06   0.116761E-06
    78   0.206364E+04  -0.962776E+01   0.488241E-03  -0.962776E+01   0.438251E+00  -0.650370E-06   0.488241E-03  -0.650370E-06   0.116071E-06
    79   0.208996E+04  -0.101670E+02   0.481468E-03  -0.101670E+02   0.452921E+00  -0.611474E-06   0.481468E-03  -0.611474E-06   0.115381E-06
    80   0.211652E+04  -0.107160E+02   0.474797E-03  -0.107160E+02   0.467726E+00  -0.599347E-06   0.474797E-03  -0.599347E-06   0.114692E-06
    81   0.214333E+04  -0.112745E+02   0.468208E-03  -0.112745E+02   0.482653E+00  -0.617318E-06   0.468208E-03  -0.617318E-06   0.114004E-06
    82   0.217042E+04  -0.118422E+02   0.461708E-03  -0.118422E+02   0.497694E+00  -0.659985E-06   0.461708E-03  -0.659985E-06   0.113317E-06
    83   0.219775E+04  -0.124188E+02   0.455312E-03  -0.124188E+02   0.512837E+00  -0.719757E-06   0.455312E-03  -0.719757E-06   0.112631E-06
    84   0.222532E+04  -0.130036E+02   0.449031E-03  -0.130036E+02   0.528071E+00  -0.789048E-06   0.449031E-03  -0.789048E-06   0.111947E-06
    85   0.225313E+04  -0.135966E+02   0.442880E-03  -0.135966E+02   0.543384E+00  -0.860269E-06   0.442880E-03  -0.860269E-06   0.111265E-06
    86   0.228118E+04  -0.141971E+02   0.436869E-03  -0.141971E+02   0.558767E+00  -0.926989E-06   0.436869E-03  -0.926989E-06   0.110585E-06
    87   0.230944E+04  -0.148047E+02   0.430998E-03  -0.148047E+02   0.574207E+00  -0.987407E-06   0.430998E-03  -0.987407E-06   0.109908E-06
    88   0.233787E+04  -0.154188E+02   0.425267E-03  -0.154188E+02   0.589690E+00  -0.104088E-05   0.425267E-03  -0.104088E-05   0.109233E-06
    89   0.236650E+04  -0.160389E+02   0.419672E-03  -0.160389E+02   0.605205E+00  -0.108677E-05   0.419672E-03  -0.108677E-05   0.108561E-06
    90   0.239533E+04  -0.166649E+02   0.414213E-03  -0.166649E+02   0.620733E+00  -0.112443E-05   0.414213E-03  -0.112443E-05   0.107892E-06
    91   0.242437E+04  -0.172961E+02   0.408888E-03  -0.172961E+02   0.636261E+00  -0.115344E-05   0.408888E-03  -0.115344E-05   0.107226E-06
