#    L    TT             EE             BB             TE          
   120   0.335614E+04   0.102654E+01   0.466680E-02  -0.358254E+02
   121   0.339041E+04   0.103566E+01   0.474755E-02  -0.363907E+02
   122   0.342475E+04   0.104437E+01   0.482911E-02  -0.369454E+02
   123   0.345916E+04   0.105267E+01   0.491148E-02  -0.374889E+02
   124   0.349364E+04   0.106053E+01   0.499469E-02  -0.380205E+02
   125   0.352816E+04   0.106797E+01   0.507872E-02  -0.385398E+02
   126   0.356272E+04   0.107496E+01   0.516360E-02  -0.390464E+02
   127   0.359732E+04   0.108150E+01   0.524931E-02  -0.395395E+02
   128   0.363193E+04   0.108759E+01   0.533588E-02  -0.400187E+02
   129   0.366657E+04   0.109322E+01   0.542330E-02  -0.404835E+02
   130   0.370121E+04   0.109837E+01   0.551159E-02  -0.409333E+02
   131   0.373585E+04   0.110304E+01   0.560074E-02  -0.413676E+02
   132   0.377048E+04   0.110725E+01   0.569077E-02  -0.417860E+02
   133   0.380508E+04   0.111096E+01   0.578168E-02  -0.421879E+02
   134   0.383967E+04   0.111420E+01   0.587348E-02  -0.425729E+02
   135   0.387422E+04   0.111694E+01   0.596618E-02  -0.429406E+02
   136   0.390873E+04   0.111919E+01   0.605978E-02  -0.432903E+02
   137   0.394319E+04   0.112095E+01   0.615428E-02  -0.436217E+02
   138   0.397759E+04   0.112222E+01   0.624971E-02  -0.439343E+02
   139   0.401193E+04   0.112300E+01   0.634605E-02  -0.442278E+02
   140   0.404620E+04   0.112328E+01   0.644333E-02  -0.445017E+02
   141   0.408038E+04   0.112308E+01   0.654154E-02  -0.447557E+02
   142   0.411447E+04   0.112238E+01   0.664070E-02  -0.449892E+02
   143   0.414848E+04   0.112120E+01   0.674081E-02  -0.452020E+02
   144   0.418237E+04   0.111954E+01   0.684187E-02  -0.453936E+02
   145   0.421615E+04   0.111740E+01   0.694389E-02  -0.455636E+02
   146   0.424979E+04   0.111478E+01   0.704689E-02  -0.457116E+02
   147   0.428328E+04   0.111170E+01   0.715086E-02  -0.458372E+02
   148   0.431661E+04   0.110816E+01   0.725581E-02  -0.459401E+02
   149   0.434976E+04   0.110416E+01   0.736174E-02  -0.460197E+02
   150   0.438273E+04   0.109972E+01   0.746867E-02  -0.460758E+02
   151   0.441549E+04   0.109484E+01   0.757659E-02  -0.461080E+02
   152   0.444804E+04   0.108952E+01   0.768552E-02  -0.461160E+02
   153   0.448037E+04   0.108378E+01   0.779545E-02  -0.460994E+02
   154   0.451248E+04   0.107765E+01   0.790639E-02  -0.460583E+02
   155   0.454436E+04   0.107111E+01   0.801835E-02  -0.459921E+02
   156   0.457603E+04   0.106419E+01   0.813132E-02  -0.459008E+02
   157   0.460744E+04   0.105689E+01   0.824532E-02  -0.457840E+02
   158   0.463863E+04   0.104924E+01   0.836034E-02  -0.456415E+02
   159   0.466956E+04   0.104124E+01   0.847639E-02  -0.454731E+02
   160   0.470023E+04   0.103292E+01   0.859346E-02  -0.452787E+02
   161   0.473062E+04   0.102428E+01   0.871157E-02  -0.450579E+02
   162   0.476071E+04   0.101534E+01   0.883071E-02  -0.448106E+02
   163   0.479051E+04   0.100613E+01   0.895088E-02  -0.445365E+02
   164   0.481999E+04   0.996655E+00   0.907208E-02  -0.442357E+02
   165   0.484915E+04   0.986933E+00   0.919432E-02  -0.439077E+02
   166   0.487797E+04   0.976988E+00   0.931758E-02  -0.435525E+02
   167   0.490644E+04   0.966841E+00   0.944188E-02  -0.431700E+02
   168   0.493457E+04   0.956515E+00   0.956721E-02  -0.427602E+02
   169   0.496233E+04   0.946031E+00   0.969357E-02  -0.423230E+02
   170   0.498972E+04   0.935406E+00   0.982095E-02  -0.418584E+02
   171   0.501673E+04   0.924669E+00   0.994936E-02  -0.413661E+02
   172   0.504337E+04   0.913841E+00   0.100788E-01  -0.408463E+02
   173   0.506960E+04   0.902945E+00   0.102092E-01  -0.402988E+02
   174   0.509543E+04   0.892004E+00   0.103407E-01  -0.397238E+02
   175   0.512085E+04   0.881054E+00   0.104731E-01  -0.391212E+02
   176   0.514585E+04   0.870110E+00   0.106066E-01  -0.384910E+02
   177   0.517042E+04   0.859210E+00   0.107411E-01  -0.378333E+02
   178   0.519454E+04   0.848375E+00   0.108765E-01  -0.371481E+02
   179   0.521822E+04   0.837629E+00   0.110130E-01  -0.364354E+02
   180   0.524145E+04   0.827008E+00   0.111504E-01  -0.356954E+02
   181   0.526421E+04   0.816542E+00   0.112888E-01  -0.349282E+02
   182   0.528651E+04   0.806260E+00   0.114282E-01  -0.341339E+02
   183   0.530834E+04   0.796186E+00   0.115685E-01  -0.333127E+02
   184   0.532968E+04   0.786355E+00   0.117098E-01  -0.324648E+02
   185   0.535053E+04   0.776806E+00   0.118520E-01  -0.315902E+02
   186   0.537088E+04   0.767560E+00   0.119951E-01  -0.306891E+02
   187   0.539074E+04   0.758647E+00   0.121392E-01  -0.297617E+02
   188   0.541008E+04   0.750109E+00   0.122842E-01  -0.288084E+02
   189   0.542891E+04   0.741976E+00   0.124301E-01  -0.278291E+02
   190   0.544721E+04   0.734282E+00   0.125769E-01  -0.268244E+02
   191   0.546498E+04   0.727059E+00   0.127246E-01  -0.257944E+02
   192   0.548222E+04   0.720341E+00   0.128732E-01  -0.247392E+02
   193   0.549890E+04   0.714163E+00   0.130227E-01  -0.236591E+02
   194   0.551504E+04   0.708560E+00   0.131730E-01  -0.225547E+02
   195   0.553062E+04   0.703567E+00   0.133241E-01  -0.214261E+02
   196   0.554565E+04   0.699219E+00   0.134761E-01  -0.202737E+02
   197   0.556013E+04   0.695555E+00   0.136290E-01  -0.190979E+02
   198   0.557404E+04   0.692608E+00   0.137826E-01  -0.178991E+02
   199   0.558739E+04   0.690416E+00   0.139371E-01  -0.166775E+02
   200   0.560016E+04   0.689013E+00   0.140923E-01  -0.154337E+02
   201   0.561237E+04   0.688436E+00   0.142484E-01  -0.141679E+02
   202   0.562399E+04   0.688722E+00   0.144052E-01  -0.128808E+02
   203   0.563500E+04   0.689908E+00   0.145628E-01  -0.115724E+02
   204   0.564542E+04   0.692029E+00   0.147211E-01  -0.102434E+02
   205   0.565520E+04   0.695123E+00   0.148802E-01  -0.889422E+01
   206   0.566437E+04   0.699224E+00   0.150400E-01  -0.752521E+01
   207   0.567290E+04   0.704371E+00   0.152005E-01  -0.613675E+01
   208   0.568079E+04   0.710599E+00   0.153617E-01  -0.472945E+01
   209   0.568806E+04   0.717944E+00   0.155236E-01  -0.330385E+01
   210   0.569470E+04   0.726444E+00   0.156862E-01  -0.186051E+01
   211   0.570073E+04   0.736135E+00   0.158494E-01  -0.399973E+00
   212   0.570615E+04   0.747052E+00   0.160133E-01   0.107720E+01
   213   0.571096E+04   0.759233E+00   0.161778E-01   0.257044E+01
   214   0.571518E+04   0.772714E+00   0.163429E-01   0.407920E+01
   215   0.571879E+04   0.787525E+00   0.165086E-01   0.560290E+01
   216   0.572180E+04   0.803710E+00   0.166750E-01   0.714092E+01
   217   0.572418E+04   0.821300E+00   0.168419E-01   0.869267E+01
   218   0.572596E+04   0.840323E+00   0.170093E-01   0.102576E+02
   219   0.572712E+04   0.860823E+00   0.171773E-01   0.118351E+02
   220   0.572764E+04   0.882830E+00   0.173458E-01   0.134246E+02
   221   0.572755E+04   0.906373E+00   0.175149E-01   0.150253E+02
   222   0.572682E+04   0.931497E+00   0.176844E-01   0.166369E+02
   223   0.572546E+04   0.958223E+00   0.178544E-01   0.182585E+02
   224   0.572348E+04   0.986588E+00   0.180249E-01   0.198895E+02
   225   0.572088E+04   0.101661E+01   0.181958E-01   0.215292E+02
   226   0.571765E+04   0.104834E+01   0.183671E-01   0.231771E+02
   227   0.571381E+04   0.108181E+01   0.185388E-01   0.248324E+02
   228   0.570934E+04   0.111703E+01   0.187110E-01   0.264944E+02
   229   0.570425E+04   0.115404E+01   0.188835E-01   0.281624E+02
   230   0.569855E+04   0.119288E+01   0.190563E-01   0.298359E+02
   231   0.569223E+04   0.123355E+01   0.192295E-01   0.315140E+02
   232   0.568531E+04   0.127609E+01   0.194029E-01   0.331961E+02
   233   0.567777E+04   0.132054E+01   0.195767E-01   0.348815E+02
   234   0.566962E+04   0.136691E+01   0.197508E-01   0.365694E+02
   235   0.566088E+04   0.141523E+01   0.199250E-01   0.382592E+02
   236   0.565151E+04   0.146554E+01   0.200996E-01   0.399501E+02
   237   0.564156E+04   0.151783E+01   0.202743E-01   0.416414E+02
   238   0.563101E+04   0.157214E+01   0.204492E-01   0.433324E+02
   239   0.561987E+04   0.162849E+01   0.206243E-01   0.450223E+02
   240   0.560814E+04   0.168690E+01   0.207995E-01   0.467103E+02
   241   0.559581E+04   0.174740E+01   0.209748E-01   0.483958E+02
   242   0.558291E+04   0.181000E+01   0.211503E-01   0.500781E+02
   243   0.556944E+04   0.187471E+01   0.213258E-01   0.517562E+02
   244   0.555539E+04   0.194156E+01   0.215014E-01   0.534297E+02
   245   0.554077E+04   0.201056E+01   0.216770E-01   0.550977E+02
   246   0.552561E+04   0.208172E+01   0.218526E-01   0.567596E+02
   247   0.550988E+04   0.215507E+01   0.220282E-01   0.584146E+02
   248   0.549361E+04   0.223061E+01   0.222038E-01   0.600619E+02
   249   0.547680E+04   0.230835E+01   0.223793E-01   0.617009E+02
   250   0.545945E+04   0.238832E+01   0.225548E-01   0.633308E+02
   251   0.544157E+04   0.247050E+01   0.227302E-01   0.649508E+02
   252   0.542316E+04   0.255491E+01   0.229054E-01   0.665601E+02
   253   0.540421E+04   0.264155E+01   0.230805E-01   0.681580E+02
   254   0.538475E+04   0.273045E+01   0.232555E-01   0.697435E+02
   255   0.536476E+04   0.282158E+01   0.234303E-01   0.713160E+02
   256   0.534425E+04   0.291496E+01   0.236048E-01   0.728747E+02
   257   0.532323E+04   0.301060E+01   0.237792E-01   0.744190E+02
   258   0.530172E+04   0.310848E+01   0.239533E-01   0.759479E+02
   259   0.527972E+04   0.320862E+01   0.241272E-01   0.774618E+02
   260   0.525726E+04   0.331101E+01   0.243008E-01   0.789585E+02
   261   0.523434E+04   0.341566E+01   0.244741E-01   0.804388E+02
   262   0.521097E+04   0.352255E+01   0.246471E-01   0.819011E+02
   263   0.518717E+04   0.363169E+01   0.248197E-01   0.833455E+02
   264   0.516294E+04   0.374308E+01   0.249920E-01   0.847705E+02
   265   0.513829E+04   0.385669E+01   0.251640E-01   0.861769E+02
   266   0.511322E+04   0.397251E+01   0.253356E-01   0.875623E+02
   267   0.508775E+04   0.409055E+01   0.255067E-01   0.889262E+02
   268   0.506187E+04   0.421077E+01   0.256775E-01   0.902693E+02
   269   0.503559E+04   0.433319E+01   0.258478E-01   0.915892E+02
   270   0.500891E+04   0.445776E+01   0.260177E-01   0.928869E+02
   271   0.498186E+04   0.458450E+01   0.261872E-01   0.941600E+02
   272   0.495442E+04   0.471338E+01   0.263561E-01   0.954093E+02
   273   0.492664E+04   0.484435E+01   0.265246E-01   0.966333E+02
   274   0.489849E+04   0.497744E+01   0.266926E-01   0.978328E+02
   275   0.487000E+04   0.511259E+01   0.268601E-01   0.990056E+02
   276   0.484119E+04   0.524980E+01   0.270271E-01   0.100152E+03
   277   0.481206E+04   0.538905E+01   0.271935E-01   0.101272E+03
   278   0.478262E+04   0.553031E+01   0.273594E-01   0.102363E+03
   279   0.475287E+04   0.567355E+01   0.275248E-01   0.103427E+03
   280   0.472284E+04   0.581873E+01   0.276896E-01   0.104461E+03
   281   0.469252E+04   0.596584E+01   0.278538E-01   0.105467E+03
   282   0.466194E+04   0.611483E+01   0.280174E-01   0.106444E+03
   283   0.463110E+04   0.626569E+01   0.281805E-01   0.107390E+03
   284   0.460001E+04   0.641838E+01   0.283429E-01   0.108304E+03
   285   0.456867E+04   0.657286E+01   0.285048E-01   0.109188E+03
